property_name,entity,city,county,resolution,meeting_date,item_type,minutes_confirmed,investor_1,nonprofit_partner,total_units,rent_restricted_pct,term_years,city_cut,grant_description
4327 S. Vermont Apartments,IF OZ 4300 S VERMONT AVE BLK LP a Delaware limited partnership,Los Angeles,Los Angeles,24-381,2024-09-20,authorize,True,"SoLa Impact, LLC",Housing on Merit,188,59% at 80% AMI,30,16650.0,"Grant up to $10,000 (Charitable Affordable Housing)"
2023 Imperial Apartments,"BIF NON OZ 2000 Imperial Hwy Blk, LP",Los Angeles,Los Angeles,24-382,2024-09-20,authorize,True,"SoLa Impact, LLC",Housing on Merit,90,79% at 80% AMI,30,10650.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Marquee Apartments,"Post Marquee North Hollywood, LP",Los Angeles,Los Angeles,24-383,2024-09-20,authorize,True,Ascenda Capital,Integrity Housing,236,100% at 80% AMI,30,35400.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Meridian Apartments,"400 Meridian, LP, a California limited partnership",San Rafael,Marin,24-384,2024-09-20,authorize,True,Tesseract Capital Group,Housing on Merit,99,100% at 80% AMI,35,,"Grant up to $10,000 (Charitable Affordable Housing)"
Hillsdale Gardens Apartments,Hillsdale Property LP,San Mateo,San Mateo,24-411,2024-10-11,authorize,True,Ethos Real Estate,"Pacific Housing, Inc.",697,100% at 80% AMI,30,74775.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Horizon Apartments,"BWF II ETHOS CA HORIZON LP, a Delaware limited partnership",Santa Ana,Orange,24-410,2024-10-11,authorize,True,Ethos Real Estate,"Affordable Housing Access, Inc.",406,100% at 80% AMI,30,60900.0,"Grant up to $10,000 (Charitable Affordable Housing)"
6171 Mission Gorge Apartments,"6171 Mission Gorge Owner LP, a California limited partnership",San Diego,San Diego,24-412,2024-10-11,authorize,True,Impact Housing,Las Palmas Housing & Development Corporation,488,100% at 80% AMI,30,72450.0,"Grant up to $10,000 (Charitable Affordable Housing)"
4752 Main Street Apartments,"4752 Main, LP",Los Angeles,Los Angeles,24-399,2024-10-11,preliminary_only,True,"Eleos Ventures, LLC",Step Forward Communities,53,100% at 80% AMI,30,7950.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Soto Apartments,"EV 228 Soto, LP, a California limited partnership",Los Angeles,Los Angeles,24-413,2024-10-11,authorize,True,"Eleos Ventures, LLC",Step Forward Communities,41,100% at 80% AMI,30,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Main Street Apartments,"4752 Main, LP",Los Angeles,Los Angeles,,2024-11-01,preliminary_only,False,"Eleos Ventures, LLC",Step Forward Communities,53,100% at 80% AMI,30,7950.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Market Street Village Apartments,699 14TH Street CSLC LP,San Diego,San Diego,24-427,2024-11-01,authorize,True,Community Solutions,Community Solutions,229,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)"
The Carla Apartments,1201 Fulton Ave LP,,Sacramento,24-428,2024-11-01,authorize,True,"Trion Properties, Inc.",Riverside Charitable Corporation,63,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)"
Creekside Villas Apartments,"Post Creekside, LP",San Diego,San Diego,24-429,2024-11-01,authorize,True,Post Investment Group,Integrity Housing,144,100% at 80% AMI,30,21600.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Skylark Place by Trion Living Apartments,"Trion Skylark Properties, LP",,Sacramento,24-430,2024-11-01,authorize,True,"Trion Properties, Inc.",Integrity Housing,198,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)"
Seaport Village Apartments,"Avanath Seaport, LP, a Delaware limited partnership",Long Beach,Los Angeles,,2024-11-22,authorize,False,Avanath Capital,"Pacific Housing, Inc.",42,40% at 80% AMI,30,21600.0,"Grant up to $10,000 (Charitable Affordable Housing)"
1457 Main Street Apartments,1457 Main Owner LP,Los Angeles,Los Angeles,24-443,2024-11-22,authorize,True,Thrive Living,"Kingdom Development, Inc.",377,40% at 80% AMI,30,22650.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Viewpoint Apartments,"651 Addison LLC, a California limited liability company",Berkeley,Alameda,24-470,2024-12-13,authorize,True,BRIDGE Housing Corporation,BRIDGE Housing Corporation,94,75% at 80% AMI,30,10650.0,"Grant up to $10,000 (Charitable Affordable Housing)"
