property_name,entity,city,county,resolution,meeting_date,item_type,minutes_confirmed,minutes_outcome,investor_1,investor_2,nonprofit_partner,total_units,restricted_units,rent_restricted_pct,term_years,city_cut,grant_description,address
685 W 4th Apartments,2 SIOF 685 W Fourth St. LP,Los Angeles,Los Angeles,25-146,2025-04-25,authorize,True,approved,"SoLa Impact, LLC",,Housing on Merit,28,27,100% at 80% AMI,30,4050.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Summer House Apartments,"The Michaels Development Company I, L.P. or an affiliate",Alameda,Alameda,,2025-04-25,preliminary_only,False,,The Michaels Organization,,"Pacific Housing, Inc.",615,615,100% at 80% AMI,30,68625.0,"Grant up to $10,000 (Charitable Affordable Housing)",
569 W 6th Apartments,"SIOF 5 Properties, LP",Los Angeles,Los Angeles,25-147,2025-04-25,authorize,True,approved,"SoLa Impact, LLC",,Housing on Merit,48,47,100% at 80% AMI,30,7050.0,"Grant up to $10,000 (Charitable Affordable Housing)",
1540 W Court Apartments,"1540 W. Court Street, LP",Los Angeles,Los Angeles,25-207,2025-05-16,authorize,True,approved,Visionary Development Enterprises LLC,,Housing on Merit,189,148,78% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Sol Haus Apartments,"Sol Haus Owner LP, California Limited Partnership",San Diego,San Diego,25-209,2025-05-16,authorize,True,approved,CONAM Management Corporation,,Las Palmas Housing & Development Corporation,147,147,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",
Palmilla Apartments,BWF III Ethos CA Palmilla LP,San Diego,San Diego,25-208,2025-05-16,authorize,True,approved,Ethos Real Estate,,"Casa Major, Inc.",203,203,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",
Waterbend Apartments,Axis Fee Owner LP,,San Francisco,25-219,2025-05-16,authorize,True,approved,TruAmerica Multifamily LLC,,Affordable Housing Access,136,20,15% at 55% AMI; 85% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",
Bella Vista at Hilltop Apartments,"Bella Vista Owner, LP",Richmond,Contra Costa,25-229,2025-05-30,authorize,False,pulled,"Vintage Housing Holdings, LLC",Kennedy Wilson,"Pacific Housing, Inc.",8,8,at 80% AMI,30,98100.0,"Grant up to $10,000 (Charitable Affordable Housing)",
9750 Airport Blvd. Apartments,"Perseverance LAX Affordable, L.P.",Los Angeles,Los Angeles,,2025-05-30,preliminary_only,False,,Capital Insight,,"Kingdom Development, Inc.",,229,40% at 80% AMI,30,34350.0,"Grant up to $10,000 (Charitable Affordable Housing)",229 of which are designated as affordable housing for residents earning at or below 80% of
Chadwick Apartments,"Chadwick Owner, LP",Los Angeles,Los Angeles,25-230,2025-05-30,authorize,False,pulled,"Vintage Housing Holdings, LLC",Kennedy Wilson,"Pacific Housing, Inc.",687,687,100% at 80% AMI,30,74025.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Bella Vista at Hilltop Apartments,"Bella Vista Owner, LP",Richmond,Contra Costa,25-247,2025-06-06,authorize,True,approved,"Vintage Housing Holdings, LLC",Kennedy Wilson,"Pacific Housing, Inc.",8,8,at 80% AMI,30,98100.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Chadwick Apartments,"Chadwick Owner, LP",Los Angeles,Los Angeles,25-248,2025-06-06,authorize,True,approved,"Vintage Housing Holdings, LLC",Kennedy Wilson,"Pacific Housing, Inc.",687,687,100% at 80% AMI,30,74025.0,"Grant up to $10,000 (Charitable Affordable Housing)",
17188 Chatsworth St. Apartments,"Chatsworth Housing, LP",Los Angeles,Los Angeles,,2025-06-06,preliminary_only,False,,BMI Developments,,"Kingdom Development, Inc.",69,56,81% at 80% AMI,30,8400.0,"Grant up to $10,000 (Charitable Affordable Housing)","17188 Chatsworth St. Apartments, is a new construction"
Bella Vista at Hilltop Apartments,"Bella Vista Owner, LP",Richmond,Contra Costa,25-281,2025-06-27,authorize,True,approved,"Vintage Housing Holdings, LLC",Kennedy Wilson,"Pacific Housing, Inc.",8,8,at 80% AMI,30,98100.0,"Grant up to $10,000 (Charitable Affordable Housing)",
11630 S. Main Street Apartments,"4 SIOF 11630 S MAIN ST, LP",Los Angeles,Los Angeles,25-291,2025-06-27,authorize,True,approved,"SoLa Impact, LLC",,Housing on Merit,84,17,20% at 80% AMI,30,2550.0,"Grant up to $10,000 (Charitable Affordable Housing)",
685 W. 4th St Apartments,"2 SIOF 685 W Fourth St, LP, a Delaware limited partnership",Los Angeles,Los Angeles,25-289,2025-06-27,authorize,True,approved,"SoLa Impact, LLC",,Housing on Merit,28,27,100% at 80% AMI,30,4050.0,"Grant up to $10,000 (Charitable Affordable Housing)",
569 W. 6th Street. Apartments,"SIOF 5 Properties, LP, a California limited partnership",Los Angeles,Los Angeles,25-288,2025-06-27,authorize,True,approved,"SoLa Impact, LLC",,Housing on Merit,48,47,100% at 80% AMI,30,7050.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Chadwick Apartments,"Chadwick Owner, LP",Los Angeles,Los Angeles,25-290,2025-06-27,authorize,True,approved,"Vintage Housing Holdings, LLC",Kennedy Wilson,"Pacific Housing, Inc.",687,687,100% at 80% AMI,30,74025.0,"Grant up to $10,000 (Charitable Affordable Housing)",
4101 Somerset Dr. Apartments,"6 SIOF 4101 Somerset Dr, LP",Los Angeles,Los Angeles,25-282,2025-06-27,authorize,True,approved,"SoLa Impact, LLC",,Housing on Merit,36,35,100% at 80% AMI,30,5250.0,"Grant up to $10,000 (Charitable Affordable Housing)",
321 E. Florence Apartments,"3 SIOF 321 E Florence Ave, LP",Los Angeles,Los Angeles,25-283,2025-06-27,authorize,True,approved,"SoLa Impact, LLC",,Housing on Merit,32,31,100% at 80% AMI,30,4650.0,"Grant up to $10,000 (Charitable Affordable Housing)",
6401 S. Avalon Blvd. Apartments,"6 SIOF 6401 S Avalon Blvd, LP",Los Angeles,Los Angeles,25-285,2025-06-27,authorize,True,approved,"SoLa Impact, LLC",,Housing on Merit,28,27,100% at 80% AMI,30,4050.0,"Grant up to $10,000 (Charitable Affordable Housing)",
9300 Compton Ave. Apartments,"6 SIOF 9300 Compton Ave, LP",Los Angeles,Los Angeles,25-284,2025-06-27,authorize,True,approved,"SoLa Impact, LLC",,Housing on Merit,20,19,100% at 80% AMI,30,2850.0,"Grant up to $10,000 (Charitable Affordable Housing)",
9515 Compton Ave. Apartments,"6 SIOF 9515 Compton Ave, LP",Los Angeles,Los Angeles,25-286,2025-06-27,authorize,True,approved,"SoLa Impact, LLC",,Housing on Merit,21,20,100% at 80% AMI,30,3000.0,"Grant up to $10,000 (Charitable Affordable Housing)",
10811 S. Compton Ave Apartments,"2 SIOF 10811 S Compton Ave, LP",Los Angeles,Los Angeles,25-287,2025-06-27,authorize,True,approved,"SoLa Impact, LLC",,Housing on Merit,29,28,100% at 80% AMI,30,4200.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Violet on Virgil Apartments,"Post Violet, LP",Los Angeles,Los Angeles,,2025-06-27,preliminary_only,False,,Post Investment Group,,Integrity Housing,302,302,100% at 80% AMI,30,45150.0,"Grant up to $10,000 (Charitable Affordable Housing)",160 S Virgil Ave
Meridian Apartments,400 MERIDIAN LP,San Rafael,Marin,25-307,2025-07-18,authorize,False,pulled,Tesseract Capital Group,,Housing on Merit,99,99,100% at 80% AMI,30,14850.0,"Grant up to $10,000 (Charitable Affordable Housing)",2022 and are sized to offset the electricity needs of all common areas. The grant for this project will create 99 units of affordable housing in
Kalmia Apartments,"Kalmia Supportive Housing, L.P., a California limited partnership",Los Angeles,Los Angeles,25-306,2025-07-18,authorize,False,pulled,A Community of Friends,,A Community of Friends,30,29,100% at 80% AMI,30,4350.0,"Grant up to $10,000 (Charitable Affordable Housing)","452 square feet that were designed to support independent living and housing stability. Every unit will include a private bathroom, kitchen"
Pacific Trails Apartments,"Pacific Trails, LP",Azusa,Los Angeles,25-304,2025-07-18,authorize,True,approved,Langdon Park Capital,,Housing on Merit,84,84,100% at 80% AMI,30,12600.0,"Grant up to $10,000 (Charitable Affordable Housing)",
LINQ Apartments,"Ethos GP I Venture, LP",San Jose,Santa Clara,25-305,2025-07-18,authorize,True,approved,Ethos Real Estate,,"Pacific Housing, Inc.",230,230,100% at 80% AMI,30,34500.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Mosaic Apartments,"Pacific Housing, Inc. and Big 4 Properties, or an affiliate",Pittsburg,Contra Costa,,2025-07-18,preliminary_only,False,,"Big 4 Properties, LLC",,"Pacific Housing, Inc.",208,208,100% at 80% AMI,30,31200.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Ventana Rental Homes Apartments,"Pacific Housing, Inc. and Big 4 Properties, or an affiliate",Pittsburg,Contra Costa,,2025-07-18,preliminary_only,False,,"Big 4 Properties, LLC",,"Pacific Housing, Inc.",148,148,100% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)",
236 Berendo Street Apartments,"Terra Capital Development Group LLC and Pacific Housing, Inc., or an affiliate",Los Angeles,Los Angeles,,2025-07-18,preliminary_only,False,,Terra Capital Development Group LLC,,"Pacific Housing, Inc.",52,51,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)","236 Berendo Street Apartments project is a proposed new construction of a 5-story,"
Chatsworth Apartments,"Chatsworth Housing, LP",Los Angeles,Los Angeles,25-308,2025-07-18,authorize,True,approved,BMI Developments,,"Kingdom Development, Inc.",69,68,100% at 80% AMI,30,10200.0,"Grant up to $10,000 (Charitable Affordable Housing)","17188 Chatsworth St. Apartments, is a new construction"
Meridian Apartments,400 MERIDIAN LP,San Rafael,Marin,25-346,2025-08-08,authorize,False,pulled,Tesseract Capital Group,,Housing on Merit,99,99,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",2022 and are sized to offset the electricity needs of all common areas. The grant for this project will create 99 units of affordable housing in
Huston Affordable Housing Apartments,10910 Huston LP,Los Angeles,Los Angeles,25-353,2025-08-08,authorize,True,approved,"Angeleno Investments, LP",,Las Palmas Housing & Development Corporation,38,37,100% at 80% AMI,30,5550.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Canyon Villa Apartment Homes,"Post Canyon Villa, LP",Chula Vista,San Diego,25-352,2025-08-08,authorize,True,approved,Post Investment Group,,Integrity Housing,183,183,100% at 80% AMI,30,27450.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Azusa Gardens Apartments,"Azusa Gardens Owner, LP",Azusa,Los Angeles,25-347,2025-08-08,authorize,True,approved,TriWest Multifamily,,"Kingdom Development, Inc.",112,112,100% at 80% AMI,30,16800.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Fountain Park Apartments,"Fountain Park, L.P., a California limited partnership",San Jose,Santa Clara,,2025-08-08,authorize,False,,Belveron Partners,,Las Palmas Housing & Development Corporation,164,164,100% at 80% AMI,30,24600.0,"Grant up to $10,000 (Charitable Affordable Housing)","164 total units including 54 studios,"
The Parker Apartments,"Flag VII The Parker, L.P.",El Monte,Los Angeles,25-350,2025-08-08,authorize,True,approved,Belveron Partners,,Las Palmas Housing & Development Corporation,177,177,100% at 80% AMI,30,26550.0,"Grant up to $10,000 (Charitable Affordable Housing)","177 total units including 22 studios,"
Canyon Ridge at Napa Junction Apartments,"Canyon Ridge at Napa Junction, LP",American Canyon,Napa,,2025-08-08,authorize,False,,BRIDGE Housing Corporation,,,148,148,100% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)",
11001 S. Vermont Ave. Apartments,"5 SIOF 11001 S Vermont St, LP",Los Angeles,Los Angeles,,2025-08-08,preliminary_only,False,,"SoLa Impact, LLC",,Housing on Merit,84,83,100% at 80% AMI,30,12450.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Park Kiely Apartments,"Standard Vistria Park Kiely Owner, LP",San Jose,Santa Clara,25-348,2025-08-08,authorize,True,approved,Standard Property Company,,Housing on Merit,948,948,100% at 80% AMI,30,93600.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Citrine Apartments,"Citrine Preservation, LP",Healdsburg,Sonoma,25-428,2025-08-29,authorize,False,pulled,The Transcend Group,,Retail Store Employees Building Corporation,37,37,100% at 80% AMI,30,5550.0,"Grant up to $10,000 (Charitable Affordable Housing)",1 mile north of the historic Healdsburg Plaza
Camden Village Apartments,"Flag VII Camden Village, L.P.",Fremont,Alameda,25-423,2025-08-29,authorize,True,approved,Belveron Partners,,Las Palmas Housing & Development Corporation,192,192,100% at 80% AMI,30,28800.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Passo Barrington Apartments,"Passo Barrington, LP",Los Angeles,Los Angeles,25-424,2025-08-29,authorize,True,approved,Glimcher Capital Group,,Housing on Merit,53,52,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Passo Centinela I Apartments,"Passo Centinela, LP",Los Angeles,Los Angeles,25-425,2025-08-29,authorize,True,approved,Glimcher Capital Group,,Housing on Merit,72,71,100% at 80% AMI,30,10650.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Passo Centinela II Apartments,"Passo Centinela 2, LP",Los Angeles,Los Angeles,25-426,2025-08-29,authorize,True,approved,Glimcher Capital Group,,Housing on Merit,73,72,100% at 80% AMI,30,10800.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Passo Stoner Apartments,"Passo Stoner, LP",Los Angeles,Los Angeles,25-427,2025-08-29,authorize,True,approved,Glimcher Capital Group,,Housing on Merit,53,52,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)",
4th Street Apartments,2025 E 4th Street LLLP,Los Angeles,Los Angeles,25-448,2025-09-19,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",25,25,100% at 80% AMI,30,3750.0,"Grant up to $10,000 (Charitable Affordable Housing)",2025
Alexandria I Apartments,247 S Alexandria LLLP,Los Angeles,Los Angeles,25-449,2025-09-19,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",27,27,100% at 80% AMI,30,4050.0,"Grant up to $10,000 (Charitable Affordable Housing)",247 S. Alexandria Avenue in Los Angeles. The property is a three-story building that contains 27
Ashby Apartments,808 S Hobart LLLP,Los Angeles,Los Angeles,25-450,2025-09-19,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",49,49,100% at 80% AMI,30,7350.0,"Grant up to $10,000 (Charitable Affordable Housing)",808 S
Catalina Apartments,454 Catalina LLLP,Los Angeles,Los Angeles,25-451,2025-09-19,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",48,48,100% at 80% AMI,30,7200.0,"Grant up to $10,000 (Charitable Affordable Housing)",454
Edgemont Apartments,103 S Edgemont LLLP,Los Angeles,Los Angeles,25-452,2025-09-19,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",43,43,100% at 80% AMI,30,6450.0,"Grant up to $10,000 (Charitable Affordable Housing)",103
Gramercy Apartments,Carson Gramercy LLLP // 974 S Gramercy LLLP,Los Angeles,Los Angeles,25-453,2025-09-19,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",38,38,100% at 80% AMI,30,5700.0,"Grant up to $10,000 (Charitable Affordable Housing)",974
Irolo Apartments,Irolo 16 LLLP,Los Angeles,Los Angeles,25-454,2025-09-19,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",32,32,100% at 80% AMI,30,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)",832 Irolo
Kenmore I Apartments,Kenmore 20 LLLP,Los Angeles,Los Angeles,25-455,2025-09-19,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",24,24,100% at 80% AMI,30,3600.0,"Grant up to $10,000 (Charitable Affordable Housing)",941
Manhattan III Apartments,426 Manhattan LLLP,Los Angeles,Los Angeles,25-456,2025-09-19,authorize,True,approved,,,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)",
Mariposa II Apartments,260 S Mariposa LLLP,Los Angeles,Los Angeles,25-457,2025-09-19,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",40,40,100% at 80% AMI,30,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)",260 S. Mariposa Avenue in Los Angeles. The property is a four-story building that contains 40
Sandpiper Cove Apartments,Sandpiper Cove Apartments,Yuba City,Sutter,,2025-09-19,preliminary_only,False,,Cahill Realty,,Central Valley Coalition for Affordable Housing,90,90,100% at 80% AMI,30,13500.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Normandie Apartments,739 Normandie LLLP,Los Angeles,Los Angeles,25-458,2025-09-19,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",32,32,100% at 80% AMI,30,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)",739 S. Normandie Avenue in Los Angeles. The property is a four-story building that contains 32
Norton Apartments,1111 Norton LLLP,Los Angeles,Los Angeles,25-459,2025-09-19,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",20,20,100% at 80% AMI,30,3000.0,"Grant up to $10,000 (Charitable Affordable Housing)",1111
Oxford I Apartments,Oxford 19 LLLP,Los Angeles,Los Angeles,25-460,2025-09-19,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",60,60,100% at 80% AMI,30,9000.0,"Grant up to $10,000 (Charitable Affordable Housing)",975-
Oxford III Apartments,960 S Oxford LLLP,Los Angeles,Los Angeles,25-461,2025-09-19,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",73,73,100% at 80% AMI,30,10950.0,"Grant up to $10,000 (Charitable Affordable Housing)",960
Seven Lions Apartments,3715 W 1st Street LLLP,Los Angeles,Los Angeles,25-462,2025-09-19,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",55,55,100% at 80% AMI,30,8250.0,"Grant up to $10,000 (Charitable Affordable Housing)",3715 W. 1st Street in Los Angeles. The property is a six-story building that contains 55 units. The
St. Andrews I Apartments,515 S St. Andrews LLLP,Los Angeles,Los Angeles,25-463,2025-09-19,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",40,40,100% at 80% AMI,30,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)",515 St. Andrews Place in Los Angeles. The property is a three-story building that contains 40 units
St. Andrews II Apartments,516 St. Andrews LLLP,Los Angeles,Los Angeles,25-464,2025-09-19,authorize,True,approved,,,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)",
12th Street Apartments,12th Street 19 LLLP,Los Angeles,Los Angeles,25-486,2025-10-10,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",16,16,100% at 80% AMI,30,2500.0,"Grant up to $10,000 (Charitable Affordable Housing)",3048
Alexandria II Apartments,130 Alexandria LLLP,Los Angeles,Los Angeles,25-487,2025-10-10,authorize,True,approved,,,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)",
Fedora Apartments,861 Fedora LLLP,Los Angeles,Los Angeles,25-488,2025-10-10,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",39,39,100% at 80% AMI,30,5850.0,"Grant up to $10,000 (Charitable Affordable Housing)",861
Kenmore II Apartments,Kenmore II 20 LLLP,Los Angeles,Los Angeles,25-489,2025-10-10,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",48,48,100% at 80% AMI,30,7200.0,"Grant up to $10,000 (Charitable Affordable Housing)",200 S. Kenmore Avenue in Los Angeles. The property is a four-story building that contains 48
Kenmore III Apartments,915 S Kenmore LLLP,Los Angeles,Los Angeles,25-490,2025-10-10,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",18,18,100% at 80% AMI,30,2700.0,"Grant up to $10,000 (Charitable Affordable Housing)",915 S. Kenmore Avenue in Los Angeles. The property is a three-story building that contains 18
Kinglsey Apartments,530 Kingsley LLLP,Los Angeles,Los Angeles,25-491,2025-10-10,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",45,45,100% at 80% AMI,30,6750.0,"Grant up to $10,000 (Charitable Affordable Housing)",530
Mariposa I Apartments,Mariposa 20 LLLP,Los Angeles,Los Angeles,25-492,2025-10-10,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",40,40,100% at 80% AMI,30,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)",727
The Falls at Arden Apartments,"GB Falls, LP",Sacramento,Sacramento,25-484,2025-10-10,authorize,True,approved,Jackson Square Properties,,Housing on Merit,272,272,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",
Citrine Apartments,"Citrine Preservation, LP",Healdsburg,Sonoma,25-485,2025-10-10,authorize,True,approved,The Transcend Group,,Retail Store Employees Building Corporation,37,37,100% at 80% AMI,30,5550.0,"Grant up to $10,000 (Charitable Affordable Housing)",1 mile north of the historic Healdsburg Plaza
Mariposa III Apartments,750 Mariposa LLLP,Los Angeles,Los Angeles,25-493,2025-10-10,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",23,23,100% at 80% AMI,30,3450.0,"Grant up to $10,000 (Charitable Affordable Housing)",750-752 S. Mariposa Avenue in Los Angeles. The property is a five-story building that contains 23
Mariposa IV Apartments,520 Mariposa LLLP,Los Angeles,Los Angeles,25-494,2025-10-10,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",48,48,100% at 80% AMI,30,7200.0,"Grant up to $10,000 (Charitable Affordable Housing)",520 S. Mariposa Avenue in Los Angeles. The property is a four-story building that contains 48
Oxford II Apartments,Oxford 20 LLLP,Los Angeles,Los Angeles,25-495,2025-10-10,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",32,32,100% at 80% AMI,30,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)",207
Western Apartments,Western 19 LLLP,Los Angeles,Los Angeles,25-496,2025-10-10,authorize,True,approved,K3 Holdings,,"Kingdom Development, Inc.",76,76,100% at 80% AMI,30,11400.0,"Grant up to $10,000 (Charitable Affordable Housing)",1057
10705 Avalon Blvd Apartments,"PS 10705 Avalon Blvd, LP",Los Angeles,Los Angeles,25-512,2025-10-24,authorize,True,approved,California State Teachers’ Retirement System,,Housing On Merit,69,68,100% at 80% AMI,20,10200.0,"Grant up to $10,000 (Charitable Affordable Housing)",
7524 S. Hoover St Apartments,"PS 7518 Hoover St, LP",Los Angeles,Los Angeles,25-513,2025-10-24,authorize,True,approved,California State Teachers’ Retirement System,,Housing On Merit,79,78,100% at 80% AMI,20,11850.0,"Grant up to $10,000 (Charitable Affordable Housing)",
236 Berendo Apartments,236 Berendo Holdings OZ LP,Los Angeles,Los Angeles,25-510,2025-10-24,authorize,True,approved,Terra Capital Development Group LLC,,"Pacific Housing, Inc.",52,52,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)","236 Berendo Street Apartments project is a proposed new construction of a 5-story,"
4228 Western Apartments,"PS 4228 Western Ave, LP, a Delaware limited partnership",Healdsburg,Sonoma,25-511,2025-10-24,authorize,False,pulled,,,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)",
4228 Western Ave Apartments,"PS 4228 Western Ave, LP",Los Angeles,Los Angeles,25-531,2025-11-07,authorize,True,approved,California State Teachers’ Retirement System,,Housing on Merit,68,14,21% at 80% AMI,30,2500.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Kittridge Affordable Housing Apartments,"18337 Kittridge, LP",Los Angeles,Los Angeles,25-552,2025-11-21,authorize,False,,"Angeleno Investments, LP",,Las Palmas Housing & Development Corporation,42,41,100% at 80% AMI,30,6150.0,"Grant up to $10,000 (Charitable Affordable Housing)",
9033 Ramsgate Apartments,9033 Ramsgate LP,Los Angeles,Los Angeles,25-553,2025-11-21,authorize,False,,Six Peak Capital,,Housing on Merit,116,116,100% at 80% AMI,30,17400.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Renaissance Apartment Homes,"Post Renaissance Apartments, LP",Fresno,Fresno,25-551,2025-11-21,authorize,False,,Post Investment Group,,Foundation for Affordable Housing,278,278,100% at 80% AMI,30,41700.0,"Grant up to $10,000 (Charitable Affordable Housing)","882 square feet. The community is just three miles from California State University, Fresno"
Montecito Apartments,"Flag VII Montecito, L.P.",Santa Clara,Santa Clara,25-557,2025-11-21,authorize,False,pulled,Belveron Partners,,Las Palmas Housing & Development Corporation,114,114,100% at 80% AMI,30,17100.0,"Grant up to $10,000 (Charitable Affordable Housing)","114 total units including 4 studios,"
Thornbridge Apartments,"Thornbridge Holdings, L.P.",San Jose,Santa Clara,25-556,2025-11-21,authorize,False,,Community HousingWorks,,,286,286,100% at 80% AMI,30,42900.0,"Grant up to $10,000 (Charitable Affordable Housing)",
The Crossings Apartments,"Ethos GP I Venture, LP",Sunnyvale,Santa Clara,25-555,2025-11-21,authorize,False,,"Ethos GP I Venture, LP",,"Pacific Housing, Inc",148,148,100% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Hawaiian Gardens Senior Apartments,"MKCR Capital, LLC",Hawaiian Gardens,Los Angeles,,2025-11-21,preliminary_only,False,,"MKCR Capital, LLC",,Foundation for Affordable Housing,101,41,40% at 80% AMI,30,15150.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Coliseum Connections Transit Village Apartments,"Coliseum Transit Village One, LP",Oakland,Alameda,25-554,2025-11-21,authorize,False,,UrbanCore Development,,"Pacific Housing, Inc.",110,22,20% at 50% AMI; 30% at 60% AMI,30,8250.0,"Grant up to $10,000 (Charitable Affordable Housing)",
The Hive at Ackerfield Apartments,"Ackerfield 2 LP, a Delaware limited partnership",Long Beach,Los Angeles,25-568,2025-12-12,authorize,False,pulled,Golden Bee Properties,,"Kingdom Development, Inc.",52,152,100% at 80% AMI,30,22800.0,"Grant up to $10,000 (Charitable Affordable Housing)",5565 Ackerfield Avenue and 5700 Ackerfield Avenue in
Crystal Springs Terrace Apartments,"Crystal Springs Terrace Apartments, LP, a limited partnership",San Bruno,San Mateo,25-570,2025-12-12,authorize,True,approved,Prometheus Real Estate Group,,Integrity Housing,482,216,45% at 80% AMI,30,32400.0,"Grant up to $10,000 (Charitable Affordable Housing)","45 new affordable units at the same site, bringing the total unit count to"
Casa Serena Apartments,A limited partnership to be formed by Kairos Investment Management and Pacific Housing,Fremont,Alameda,25-572,2025-12-12,authorize,True,approved,Kairos Investment Management Company,,"Pacific Housing, Inc.",170,170,100% at 80% AMI,30,25500.0,"Grant up to $10,000 (Charitable Affordable Housing)","36000 Fremont Blvd. in Fremont, CA"
Trailview Apartments,A limited partnership to be formed by Kairos Investment Management and Pacific Housing,Concord,Contra Costa,25-571,2025-12-12,authorize,True,approved,Kairos Investment Management Company,,"Pacific Housing, Inc.",120,120,100% at 80% AMI,30,18000.0,"Grant up to $10,000 (Charitable Affordable Housing)","1070 San Miguel Road in Concord, CA"
Park Wilshire Apartments,Concord Park Wilshire LP,Los Angeles,Los Angeles,25-564,2025-12-12,authorize,True,approved,Concord Companies,,"Pacific Housing, Inc.",170,170,100% at 80% AMI,30,25500.0,"Grant up to $10,000 (Charitable Affordable Housing)",2424 Wilshire
Sir Francis Drake Villa Apartments,Concord Sir Francis Drake LP,Los Angeles,Los Angeles,25-565,2025-12-12,authorize,True,approved,Concord Companies,,"Pacific Housing, Inc.",61,61,100% at 80% AMI,30,9150.0,"Grant up to $10,000 (Charitable Affordable Housing)",841 Serrano
The Langham Apartments,Concord Langham LP,Los Angeles,Los Angeles,25-566,2025-12-12,authorize,True,approved,Concord Companies,,"Pacific Housing, Inc.",181,181,100% at 80% AMI,30,27150.0,"Grant up to $10,000 (Charitable Affordable Housing)",
The Piccadilly Apartments,Concord Piccadilly LP,Los Angeles,Los Angeles,25-567,2025-12-12,authorize,True,approved,Concord Companies,,"Pacific Housing, Inc.",74,74,100% at 80% AMI,30,11100.0,"Grant up to $10,000 (Charitable Affordable Housing)",682 Irolo Street in the
