agency,property_name,entity,city,county,resolution,meeting_date,item_type,minutes_status,investor_1,investor_2,nonprofit_partner,total_units,restricted_units,rent_restricted_pct,term_years,city_cut,grant_description,address,estimated_closing,source
CMFA,Seaport Village Apartments,"Avanath Seaport, LP, a Delaware limited partnership",Long Beach,Los Angeles,24-442,2024-11-22,authorize,approved,Avanath Capital,,"Pacific Housing, Inc.",356,144,40% at 80% AMI,30,21600.0,"Grant up to $10,000 (Charitable Affordable Housing)",5601 North Paramount Boulevard,,cmfa-meeting-docs
CMFA,1457 Main Street Apartments,1457 Main Owner LP,Los Angeles,Los Angeles,24-443,2024-11-22,authorize,approved,Thrive Living,,"Kingdom Development, Inc.",377,151,40% at 80% AMI,30,22650.0,"Grant up to $10,000 (Charitable Affordable Housing)","1457 North Main Street, Los Angeles, CA",,cmfa-meeting-docs
CMFA,Viewpoint Apartments,"651 Addison LLC, a California limited liability company",Berkeley,Alameda,24-470,2024-12-13,authorize,approved,BRIDGE Housing Corporation,,BRIDGE Housing Corporation,94,71,75% at 80% AMI,30,10650.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Ventana Residences Apartments,"99 Ocean Avenue LP, a Delaware limited partnership",,San Francisco,24-471,2024-12-13,authorize,approved,"Presidio Bay Ventures, LLC",,"Pacific Housing, Inc.",193,100,52% at 80% AMI,30,15000.0,"Grant up to $10,000 (Charitable Affordable Housing)","100 units will be deed restricted, targeting tenants earning",,cmfa-meeting-docs
CMFA,SoFi Los Gatos Creek Apartments,"BWF III Ethos CA Los Gatos Creek LP, a Delaware limited partnership",San Jose,Santa Clara,24-472,2024-12-13,authorize,approved,Ethos Real Estate,,"Casa Major, Inc.",193,193,100% at 80% AMI,30,28950.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Chaparral Apartments,"Post Chaparral, LP, a Delaware limited partnership",Palmdale,Los Angeles,24-473,2024-12-13,authorize,approved,Post Investment Group,,Integrity Housing,296,296,100% at 80% AMI,30,44400.0,"Grant up to $10,000 (Charitable Affordable Housing)",283 covered and 205 uncovered spots. The grant for this project will create affordable housing in,,cmfa-meeting-docs
CMFA,Elevate Long Beach Apartments,"Gelt on 3rd LB, LP",Long Beach,Los Angeles,,2025-01-10,preliminary_only,,Gelt Ventures Partners,,Integrity Housing,171,171,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)","700 square feet. Amenities at the property include a rooftop sky deck with barbeque area and fireplace, fully equipped fitness center",,cmfa-meeting-docs
CMFA,2245 Amherst Apartments,2245 Amherst LLC,Los Angeles,Los Angeles,,2025-01-10,preliminary_only,,HVN Development,,Integrity Housing,38,38,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Bella Vista Apartments,"Vintage Housing Holdings, LLC",Richmond,Contra Costa,25-038,2025-01-10,authorize,pulled,"Vintage Housing Holdings, LLC",,Hearthstone Housing Foundation,1008,8,at 80% AMI,30,98100.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Electric Lofts Apartments,"Electric Lofts, LP",Oakland,Alameda,25-066,2025-01-31,authorize,approved,Trestle Development LLC,,AOF / Pacific Affordable Housing Corp,89,80,10% at 60% AMI; 90% at 80% AMI,30,13350.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Harken Apartments,"PREG 5150 ECR Los Altos, LP, a California limited partnership",Los Altos,Santa Clara,25-065,2025-01-31,authorize,approved,Prometheus Real Estate Group,,Hearthstone Housing Foundation,29,29,15% at 60% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
