agency,property_name,entity,city,county,resolution,meeting_date,item_type,minutes_status,investor_1,investor_2,nonprofit_partner,total_units,restricted_units,rent_restricted_pct,term_years,city_cut,grant_description,address,estimated_closing,source
CMFA,Sierra Park Apartments,"Sierra Park LP, a California Limited Partnership",,Sacramento,24-278,2024-08-09,authorize,approved,Tesseract Capital Group,,Housing on Merit,104,104,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,7524 S. Hoover St. Apartments,"BIF NON OZ 7524 S HOOVER ST, LP",Los Angeles,Los Angeles,24-279,2024-08-09,authorize,approved,SoLa Impact,,Housing On Merit,79,48,61% at 80% AMI,30,11850.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Santa Monica Portfolio A Apartments,"GC 1422-1428 6th, LP",Santa Monica,Los Angeles,24-280,2024-08-09,authorize,approved,Gortikov Capital,,"Kingdom Development, Inc.",24,32,60% at 80% AMI,26,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Santa Monica Portfolio B Apartments,"GC 1422-1432 7th, LP",Santa Monica,Los Angeles,24-281,2024-08-09,authorize,approved,Gortikov Capital,,"Kingdom Development, Inc.",22,49,60% at 80% AMI,26,7350.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Santa Monica Portfolio C Apartments,"GC 1423-1425 6th, LP",Santa Monica,Los Angeles,24-282,2024-08-09,authorize,approved,Gortikov Capital,,"Kingdom Development, Inc.",24,29,60% at 80% AMI,27,4350.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Santa Monica Portfolio D Apartments,"GC 1522 6th, LP",Santa Monica,Los Angeles,24-283,2024-08-09,authorize,approved,Gortikov Capital,,"Kingdom Development, Inc.",26,25,100% at 80% AMI,30,3750.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Santa Monica Portfolio E Apartments,"GC 1537 7th, LP",Santa Monica,Los Angeles,24-284,2024-08-09,authorize,approved,Gortikov Capital,,"Kingdom Development, Inc.",26,25,100% at 80% AMI,30,3750.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Santa Monica Portfolio F Apartments,"GC 2001-2029 Olympic, LP",Santa Monica,Los Angeles,24-285,2024-08-09,authorize,approved,Gortikov Capital,,"Kingdom Development, Inc.",65,98,60% at 80% AMI,30,14700.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Harbor Terrace Apartments,"Post Harbor Terrace, LP",Los Angeles,Los Angeles,24-286,2024-08-09,authorize,approved,Ascenda Capital,,Integrity Housing,93,93,100% at 80% AMI,30,13950.0,"Grant up to $10,000 (Charitable Affordable Housing)",295 square feet of rentable area. It features 93 units with three different floor plans,,cmfa-meeting-docs
CMFA,2330 3rd Street Apartments,2330 3rd Street Apartments L.P.,Los Angeles,Los Angeles,24-363,2024-08-30,authorize,approved,Terra Capital Development Group LLC,,"Pacific Housing, Inc.",53,53,100% at 80% AMI,30,7950.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Stadium Village Apartments,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Inglewood,Los Angeles,24-361,2024-08-30,authorize,approved,Community HousingWorks,,Community HousingWorks,80,80,100% at 80% AMI,30,12000.0,"Grant up to $10,000 (Charitable Affordable Housing)",9301 – 9609 Crenshaw,,cmfa-meeting-docs
CMFA,Hillsdale Gardens Apartments,Hillsdale Property LP,San Mateo,San Mateo,24-362,2024-08-30,authorize,approved,Ethos Real Estate,,"Pacific Housing, Inc.",697,697,100% at 80% AMI,30,74775.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Horizon Apartments,"BWF II ETHOS CA HORIZON LP, a Delaware limited partnership",Santa Ana,Orange,24-377,2024-09-20,authorize,approved,Ethos Real Estate,,"Affordable Housing Access, Inc.",406,406,100% at 80% AMI,30,60900.0,"Grant up to $10,000 (Charitable Affordable Housing)","5 and State Highway 55 and is close to the Downtown Santa Ana and Irvine Business complexes, which are two large employment hubs in the area",,cmfa-meeting-docs
CMFA,6171 Mission Gorge Apartments,6171 MISSION GORGE OWNER LP,San Diego,San Diego,24-378,2024-09-20,authorize,pulled,Impact Housing,,Las Palmas Housing & Development Corporation,488,483,100% at 80% AMI,30,72450.0,"Grant up to $10,000 (Charitable Affordable Housing)","5 levels of Type III construction, consisting of",,cmfa-meeting-docs
CMFA,6200 S. Broadway Apartments,"BIF NON OZ 6200 BROADWAY BLK, LP",Los Angeles,Los Angeles,24-379,2024-09-20,authorize,approved,"SoLa Impact, LLC",,Housing on Merit,66,51,80% at 80% AMI,30,7950.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,4228 Western Ave. Apartments,"BIF NON OZ 4228 WESTERN AVE, LP",Los Angeles,Los Angeles,24-380,2024-09-20,authorize,approved,"SoLa Impact, LLC",,Housing on Merit,68,14,21% at 80% AMI,30,2500.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,4327 S. Vermont Apartments,IF OZ 4300 S VERMONT AVE BLK LP a Delaware limited partnership,Los Angeles,Los Angeles,24-381,2024-09-20,authorize,approved,"SoLa Impact, LLC",,Housing on Merit,188,111,59% at 80% AMI,30,16650.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,2023 Imperial Apartments,"BIF NON OZ 2000 Imperial Hwy Blk, LP",Los Angeles,Los Angeles,24-382,2024-09-20,authorize,approved,"SoLa Impact, LLC",,Housing on Merit,90,71,79% at 80% AMI,30,10650.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Marquee Apartments,"Post Marquee North Hollywood, LP",Los Angeles,Los Angeles,24-383,2024-09-20,authorize,approved,Ascenda Capital,,Integrity Housing,236,236,100% at 80% AMI,30,35400.0,"Grant up to $10,000 (Charitable Affordable Housing)","236 units. These include 194 studios,",,cmfa-meeting-docs
CMFA,Meridian Apartments,"400 Meridian, LP, a California limited partnership",San Rafael,Marin,24-384,2024-09-20,authorize,approved,Tesseract Capital Group,,Housing on Merit,99,99,100% at 80% AMI,35,,"Grant up to $10,000 (Charitable Affordable Housing)",2022 and are sized to offset the electricity needs of all common areas. The grant for this project will create 99 units of affordable housing in,,cmfa-meeting-docs
CMFA,Hillsdale Gardens Apartments,Hillsdale Property LP,San Mateo,San Mateo,24-411,2024-10-11,authorize,approved,Ethos Real Estate,,"Pacific Housing, Inc.",697,697,100% at 80% AMI,30,74775.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Horizon Apartments,"BWF II ETHOS CA HORIZON LP, a Delaware limited partnership",Santa Ana,Orange,24-410,2024-10-11,authorize,approved,Ethos Real Estate,,"Affordable Housing Access, Inc.",406,406,100% at 80% AMI,30,60900.0,"Grant up to $10,000 (Charitable Affordable Housing)","5 and State Highway 55 and is close to the Downtown Santa Ana and Irvine Business complexes, which are two large employment hubs in the area",,cmfa-meeting-docs
CMFA,6171 Mission Gorge Apartments,"6171 Mission Gorge Owner LP, a California limited partnership",San Diego,San Diego,24-412,2024-10-11,authorize,approved,Impact Housing,,Las Palmas Housing & Development Corporation,488,483,100% at 80% AMI,30,72450.0,"Grant up to $10,000 (Charitable Affordable Housing)","5 levels of Type III construction, consisting of",,cmfa-meeting-docs
CMFA,4752 Main Street Apartments,"4752 Main, LP",Los Angeles,Los Angeles,24-399,2024-10-11,preliminary_only,approved,"Eleos Ventures, LLC",,Step Forward Communities,53,53,100% at 80% AMI,30,7950.0,"Grant up to $10,000 (Charitable Affordable Housing)","4752 Main Street Apartments project is a proposed new construction project of a 4-story,",,cmfa-meeting-docs
CMFA,Soto Apartments,"EV 228 Soto, LP, a California limited partnership",Los Angeles,Los Angeles,24-413,2024-10-11,authorize,approved,"Eleos Ventures, LLC",,Step Forward Communities,41,40,100% at 80% AMI,30,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Main Street Apartments,"4752 Main, LP",Los Angeles,Los Angeles,,2024-11-01,preliminary_only,,"Eleos Ventures, LLC",,Step Forward Communities,53,53,100% at 80% AMI,30,7950.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Market Street Village Apartments,699 14TH Street CSLC LP,San Diego,San Diego,24-427,2024-11-01,authorize,approved,Community Solutions,,Community Solutions,229,229,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)","699 14th Street. The project consists of 229 units, all of which are currently market rate",,cmfa-meeting-docs
CMFA,The Carla Apartments,1201 Fulton Ave LP,,Sacramento,24-428,2024-11-01,authorize,approved,"Trion Properties, Inc.",,Riverside Charitable Corporation,63,62,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",1201 Fulton Avenue. The property,,cmfa-meeting-docs
CMFA,Creekside Villas Apartments,"Post Creekside, LP",San Diego,San Diego,24-429,2024-11-01,authorize,approved,Post Investment Group,,Integrity Housing,144,144,100% at 80% AMI,30,21600.0,"Grant up to $10,000 (Charitable Affordable Housing)",27 garden-style buildings across a five-acre lot. The community was,,cmfa-meeting-docs
CMFA,Skylark Place by Trion Living Apartments,"Trion Skylark Properties, LP",,Sacramento,24-430,2024-11-01,authorize,approved,"Trion Properties, Inc.",,Integrity Housing,198,198,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",793 rentable square feet. It features 198 units across five floor plans,,cmfa-meeting-docs
