project_id,ain,assignment_check
59,6954018,no-situs
61,6087002036,situs-match
62,5049009082,no-situs
63,1701000273,no-situs
64,5160009020,situs-match
65,26324146,no-situs
66,5092023021,situs-match
67,12918108,no-situs
68,2764001013,situs-match
69,2731008014,situs-match
70,006312850,no-situs
70,006312860,no-situs
70,006312870,no-situs
70,006312880,no-situs
70,006312890,no-situs
70,006312900,no-situs
70,006312910,no-situs
70,006312920,no-situs
71,52082450,no-situs
72,5431A041,no-situs
73,5159020026,no-situs
73,5159020010,situs-match
73,5159020009,situs-match
74,5484004400,situs-match
75,4635902700,situs-match
76,5036031006,documented
77,6083010040,documented
78,4054900073,no-situs
79,6070003041,situs-match
80,5032015003,situs-match
81,6011008052,situs-match
82,6048022067,situs-match
83,6006018001,situs-match
84,6048004025,situs-match
85,7451037031,situs-match
86,7451026002,situs-match
87,5501013028,situs-match
88,2695003030,situs-match
90,8630009026,situs-match
91,2421011010,situs-match
92,8576001024,situs-match
93,59020050000,no-situs
94,6390806100,situs-match
97,8608030071,situs-match
98,50115064010,no-situs
99,4262018026,no-situs
100,4231018020,situs-match
101,4221007056,situs-match
102,4262016011,situs-match
103,5183012030,situs-match
104,5518008009,situs-match
105,5093017031,situs-match
106,5502011009,situs-match
107,5518013007,situs-match
108,5081032007,situs-match
109,5094021028,situs-match
110,5094023030,situs-match
111,5503015016,situs-match
112,5518008014,situs-match
113,5094004004,situs-match
114,5081006014,situs-match
115,5080008006,situs-match
115,5080008007,situs-match
115,5080008008,situs-match
116,5080015003,situs-match
117,5518027010,situs-match
118,5504029006,situs-match
119,5503017013,situs-match
120,28502100410000,no-situs
121,5518013024,situs-match
122,5094017020,situs-match
123,5518020021,situs-match
124,5094023025,situs-match
125,5503024012,situs-match
126,5094005005,situs-match
127,5094006003,situs-match
128,5502019004,situs-match
129,5517005016,situs-match
130,5080006008,situs-match
132,6020022027,no-situs
134,6063029029,situs-match
135,5518026004,situs-match
137,2125017014,no-situs
141,41805060,no-situs
142,4125011053,situs-match
144,123140018,no-situs
144,123140019,no-situs
144,123140020,no-situs
144,123140021,no-situs
146,6022014002,situs-match
