ain,apn,situs_address,situs_house_no,situs_street,use_description,year_built,roll_year,roll_land_value,roll_imp_value,roll_total_value,real_estate_exemp,homeowners_exemp,units,value_source,fetch_date
5080006008,5080-006-008,1057 S WESTERN AVE LOS ANGELES CA 90006,1057,WESTERN AVE,Five or more apartments,1926,2026,11378292,2912841,14291133,0,0,76,la-county-api,2026-08-22
5080008006,5080-008-006,975 S OXFORD AVE LOS ANGELES CA 90006,975,OXFORD AVE,Five or more apartments,1922,2026,2705131,784207,3489338,0,0,20,la-county-api,2026-08-22
5080008007,5080-008-007,979 S OXFORD AVE LOS ANGELES CA 90006,979,OXFORD AVE,Five or more apartments,1920,2026,2705131,901336,3606467,0,0,20,la-county-api,2026-08-22
5080008008,5080-008-008,985 S OXFORD AVE LOS ANGELES CA 90006,985,OXFORD AVE,Five or more apartments,1922,2026,2705131,902453,3607584,0,0,20,la-county-api,2026-08-22
5080011007,5080-011-007,3048 W 12TH ST LOS ANGELES CA 90006,3048,12TH ST,Five or more apartments,1928,2026,2048090,694072,2742162,0,0,16,la-county-api,2026-08-22
5080015003,5080-015-003,960 S OXFORD AVE LOS ANGELES CA 90006,960,OXFORD AVE,Five or more apartments,1923,2026,10080257,4410801,14491058,0,0,73,la-county-api,2026-08-22
5081006014,5081-006-014,1111 S NORTON AVE LOS ANGELES CA 90019,1111,NORTON AVE,Five or more apartments,1928,2026,2228536,955087,3183623,0,0,20,la-county-api,2026-08-22
5081032007,5081-032-007,974 S GRAMERCY PL LOS ANGELES CA 90019,974,GRAMERCY PL,Five or more apartments,1928,2026,4329728,3030809,7360537,0,0,38,la-county-api,2026-08-22
5092023021,5092-023-021,920 S GRAMERCY PL LOS ANGELES CA 90019,920,GRAMERCY PL,Five or more apartments,2024,2026,1632000,6324000,7956000,0,0,13,la-county-api,2026-08-22
5092029007,5092-029-007,3950 INGRAHAM ST LOS ANGELES CA 90005,3950,INGRAHAM ST,Four Units (Any Combination),,2026,1237872,0,1237872,0,0,0,la-county-api,2026-08-22
5093010009,5093-010-009,841 S SERRANO AVE LOS ANGELES CA 90005,841,SERRANO AVE,Five or more apartments,1929,2026,3600000,5400000,9000000,0,0,62,la-county-api,2026-08-22
5093017031,5093-017-031,808 S HOBART BLVD LOS ANGELES CA 90005,808,HOBART BLVD,Five or more apartments,1930,2026,4784000,3200000,7984000,0,0,49,la-county-api,2026-08-22
5093023056,5093-023-056,938 S KINGSLEY DR LOS ANGELES CA 90006,938,KINGSLEY DR,Single,1912,2026,2827070,1172181,3999251,0,0,3,la-county-api,2026-08-22
5093023059,5093-023-059,939 S KINGSLEY DR LOS ANGELES CA 90006,939,KINGSLEY DR,Single,1913,2026,4800320,1382526,6182846,0,0,3,la-county-api,2026-08-22
5094002004,5094-002-004,682 IROLO ST LOS ANGELES CA 90005,682,IROLO ST,Five or more apartments,1929,2026,2600000,9400000,12000000,0,0,74,la-county-api,2026-08-22
5094004004,5094-004-004,739 S NORMANDIE AVE LOS ANGELES CA 90005,739,NORMANDIE AVE,Five or more apartments,1927,2026,3395865,1697932,5093797,0,0,32,la-county-api,2026-08-22
5094004007,5094-004-007,715 S NORMANDIE AVE LOS ANGELES CA 90005,715,NORMANDIE AVE,Five or more apartments,1927,2026,5500000,20600000,26100000,0,0,181,la-county-api,2026-08-22
5094005005,5094-005-005,727 S MARIPOSA AVE LOS ANGELES CA 90005,727,MARIPOSA AVE,Five or more apartments,1925,2026,5409995,1821732,7231727,0,0,40,la-county-api,2026-08-22
5094006003,5094-006-003,750 S MARIPOSA AVE LOS ANGELES CA 90005,750,MARIPOSA AVE,Five or more apartments,1925,2026,4946714,1731890,6678604,0,0,23,la-county-api,2026-08-22
5094017020,5094-017-020,861 FEDORA ST LOS ANGELES CA 90005,861,FEDORA ST,Five or more apartments,1930,2026,7577025,2327228,9904253,0,0,39,la-county-api,2026-08-22
5094021028,5094-021-028,932 IROLO ST LOS ANGELES CA 90006,932,IROLO ST,Five or more apartments,1927,2026,4971947,2367593,7339540,0,0,32,la-county-api,2026-08-22
5094023025,5094-023-025,915 S KENMORE AVE LOS ANGELES CA 90006,915,KENMORE AVE,Five or more apartments,1923,2026,2208161,745253,2953414,0,0,18,la-county-api,2026-08-22
5094023030,5094-023-030,941 S KENMORE AVE LOS ANGELES CA 90006,941,KENMORE AVE,Five or more apartments,1923,2026,2939546,1485691,4425237,0,0,24,la-county-api,2026-08-22
5109003001,5109-003-001,4760 S MAIN ST LOS ANGELES CA 90037,4760,MAIN ST,Parking Lots (Commercial Use Properties),1955,2026,711026,1102,712128,0,0,1,la-county-api,2026-08-22
5109003014,5109-003-014,4752 S MAIN ST LOS ANGELES CA 90037,4752,MAIN ST,Parking Lots (Commercial Use Properties),1955,2026,611659,1102,612761,0,0,1,la-county-api,2026-08-22
5126020009,5126-020-009,225 W 25TH ST LOS ANGELES CA 90007,225,25TH ST,Five or more apartments,1925,2026,2052553,3078830,5131383,0,0,29,la-county-api,2026-08-22
5134009024,5134-009-024,1419 S FLOWER ST LOS ANGELES CA 90015,1419,FLOWER ST,Five or more apartments,2024,2026,4499681,4588800,9088481,9088481,0,227,la-county-api,2026-08-22
5134009025,5134-009-025,1411 S FLOWER ST LOS ANGELES CA 90015,1411,FLOWER ST,Five or more apartments,2024,2026,4499681,4588800,9088481,9088481,0,227,la-county-api,2026-08-22
5134017037,5134-017-037,1317 S GRAND AVE LOS ANGELES CA 90015,1317,GRAND AVE,Five or more apartments,2023,2026,6022684,5995825,12018509,0,0,147,la-county-api,2026-08-22
5136019013,5136-019-013,1136 S ALVARADO ST LOS ANGELES CA 90006,1136,ALVARADO ST,Five or more apartments,1912,2026,2122416,2414248,4536664,4536664,0,24,la-county-api,2026-08-22
5136019023,5136-019-023,1136 S ALVARADO ST LOS ANGELES CA 90006,1136,ALVARADO ST,"Auto, Recreation EQPT, Construction EQPT, Sales & Service",1952,2026,1039983,0,1039983,0,0,0,la-county-api,2026-08-22
5141004003,5141-004-003,2424 WILSHIRE BLVD LOS ANGELES CA 90057,2424,WILSHIRE BLVD,Five or more apartments,1924,2026,8600000,11100000,19700000,0,0,170,la-county-api,2026-08-22
