project_id,county,property_name,ain,apn,situs_address,legacy_redundant,assignment_source,method,notes
36,Los Angeles,Stadium Village Apartments,4025014014,4025-014-014,9509 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025014015,4025-014-015,9517 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025014016,4025-014-016,9525 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025014017,4025-014-017,9533 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025014018,4025-014-018,9541 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025015001,4025-015-001,9601 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025015002,4025-015-002,9609 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
37,Los Angeles,2330 E. 3rd Street Apartments,5183013023,5183-013-023,2330 E 3RD ST,False,collaborator-sheet,parcel_in_transition,Legacy AIN 5183013001 consolidated to 5183013023
38,Los Angeles,Marquee Apartments,2321001019,2321-001-019,12300 SHERMAN WAY LOS ANGELES CA 91605,False,collaborator-sheet,manual_verified,
39,Los Angeles,6200 S. Broadway Apartments,6005021032,6005-021-032,6200 S BROADWAY LOS ANGELES CA 90003,False,collaborator-sheet,manual_verified,
40,Los Angeles,4228 Western Ave. Apartments,5021009036,5021-009-036,4238 S WESTERN AVE LOS ANGELES CA 90062,False,collaborator-sheet,manual_verified,
41,Los Angeles,4327 S. Vermont Apartments,5020025039,5020-025-039,4301 S VERMONT AVE LOS ANGELES CA 90037,False,collaborator-sheet,manual_verified,
42,Los Angeles,2023 Imperial Apartments,6083001009,6083-001-009,110 E IMPERIAL HWY LOS ANGELES CA 90061,False,collaborator-sheet,manual_verified,
43,Marin,Meridian Apartments,01419405,,400 CANAL ST SAN RAFAEL CA 94901-4173,False,collaborator-sheet,,
44,Los Angeles,Soto Apartments,5180001024,5180-001-024,228 N SOTO ST,False,collaborator-sheet,parcel_in_transition,Legacy AIN 5180001013 consolidated to 5180001024
45,Orange,Horizon Apartments,39626156,,2414 N TUSTIN AVE SANTA ANA CA 92705-1602,False,collaborator-sheet,,
45,Orange,Horizon Apartments,39626155,,2414 N TUSTIN AVE SANTA ANA CA 92705-1602,False,collaborator-sheet,,
46,Los Angeles,4752 Main Street Apartments,5109003014,5109-003-014,4752 S MAIN ST LOS ANGELES CA 90037,False,collaborator-sheet,manual_verified_multi,Multi-parcel (2)
46,Los Angeles,4752 Main Street Apartments,5109003001,5109-003-001,4760 S MAIN ST LOS ANGELES CA 90037,False,collaborator-sheet,manual_verified_multi,Multi-parcel (2)
47,San Diego,6171 Mission Gorge Apartments,4610304300,,6171.0 MISSION GORGE RD SAN DIEGO CA 92120-3426,False,collaborator-sheet,,
48,San Mateo,Hillsdale Gardens Apartments,039481250,,"3500 Edison St, San Mateo, CA",False,collaborator-sheet,,
48,San Mateo,Hillsdale Gardens Apartments,039482130,,"3500 Edison St, San Mateo, CA",False,collaborator-sheet,,
48,San Mateo,Hillsdale Gardens Apartments,042112240,,242 36TH AVE SAN MATEO,False,collaborator-sheet,,
48,San Mateo,Hillsdale Gardens Apartments,042113250,,3640 EDISON ST,False,collaborator-sheet,,
48,San Mateo,Hillsdale Gardens Apartments,042121090,,186 36TH AVE SAN MATEO,False,collaborator-sheet,,
