input_address,normalized_address,geocode_status,geocode_score,geocode_address,lat,lon,parcel_count,primary_ain,primary_apn,error,row_id,orig_cand_parcelnumb_no_formatting,orig_query_Address,orig_cand_address,orig_cand_usecode,orig_cand_usedesc,orig_cand_zoning,orig_cand_zoning_description,orig_cand_numunits,orig_cand_parvaltype,orig_cand_parval,orig_exemption value,orig_cand_owner,orig_cand_mailadd,orig_cand_saddno,orig_cand_saddstr,orig_cand_county,orig_cand_gisacre,orig_cand_ll_gisacre,orig_query_Applicant / Entity,orig_query_Property Name,orig_query_City,orig_query_County,orig_query_Grant Description,orig_query_Resolution,orig_query_Date,orig_query_Investor 1,orig_query_Investor 2,orig_query_Nonprofit Partner,orig_query_Link,orig_query_New build?,orig_query_Acquisition Price (M),orig_query_Acquisition Date,orig_query_TOTAL UNITS,orig_query_Rent Restricted,orig_PERCENT AFFORDABLE,orig_ESTIMATED VALUE OF EXEMPTION IF IT GOES THROUGH,orig_query_Built,orig_query_HAVE RECIEVED WELFARE TAX EXEMPTION,orig_query_Leasing Link,orig_query_APN No. 1,orig_query_APN No. 2,orig_query_Unnamed: 22,orig_query_Property Taxes Link,orig_query_23 Ass. Value,orig_query_25 Ass. Value,orig_query_Unnamed: 26,orig_query_City's Cut,orig_query_ED 1?,orig_query_Last Tax Amt,orig_query_Last Tax Yr,orig_query_Current Amt,orig_query_Current Yr,orig_query_address_number
1422 6TH ST SANTA MONICA CA 90401-2542,"1422 6TH ST, SANTA MONICA, CA, 90401-2542",fetched,100.0,"1422 6th St, Santa Monica, CA, 90401",34.01760513868272,-118.49290487157573,1,4291019004,4291-019-004,,17,4291019006,1422-1428 6TH ST SANTA MONICA CA,1422 6TH ST SANTA MONICA CA 90401-2542,1210,Commercial - Store Combination,TA,Transit Adjacent,28.0,GROSS ASSESSED,"$5,022,833.00",,GC 1422 1428 6TH LP,3019 OCEAN PARK BLVD,1422.0,6TH,los-angeles,,0.17217,"GC 1422-1428 6th, LP",Santa Monica Portfolio A Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-280,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",https://www.1422on6th.com/,NO,"$17,170,000",09/12/2024,52.0,32.0,0.6153846154,"$3,090,974.15",1997,YES,,4291019006,4291019007,,,,,,"$4,800",,,,,,1422.0
1422 7TH ST SANTA MONICA CA 90401-2653,"1422 7TH ST, SANTA MONICA, CA, 90401-2653",fetched,100.0,"1422 7th St, Santa Monica, CA, 90401",34.018360810929046,-118.49198964144762,1,4291020029,4291-020-029,,18,4291020005,1422-1432 7TH SANTA MONICA CA,1422 7TH ST SANTA MONICA CA 90401-2653,500,Residential - Five or more apartments,NV,Neighborhood Village,28.0,GROSS ASSESSED,"$5,022,833.00",,GC 1422 1432 7TH LP,3019 OCEAN PARK BLVD STE 730,1422.0,7TH,los-angeles,,0.17165,"GC 1422-1432 7th, LP",Santa Monica Portfolio B Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-281,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,,,72.0,49.0,0.6805555556,"$3,418,316.90",,YES,,,,,,,,,"$7,350",,,,,,1422.0
1423 6TH ST SANTA MONICA CA 90401-2593,"1423 6TH ST, SANTA MONICA, CA, 90401-2593",fetched,100.0,"1423 6th St, Santa Monica, CA, 90401",34.01768021517493,-118.49280846431029,3,4291020020,4291-020-020,,19,4291020019,1423-1425 6TH SANTA MONICA CA,1423 6TH ST SANTA MONICA CA 90401-2593,500,Residential - Five or more apartments,NV,Neighborhood Village,24.0,GROSS ASSESSED,"$4,290,695.00",,GC 1423 1425 6TH LP,3019 OCEAN PARK BLVD STE 730,1423.0,6TH,los-angeles,,0.17268,"GC 1423-1425 6th, LP",Santa Monica Portfolio C Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-282,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,,,48.0,29.0,0.6041666667,"$2,592,294.90",,YES,,,,,,,,,"$4,350",,,,,,1423.0
1522 6TH ST SANTA MONICA CA 90401-2548,"1522 6TH ST, SANTA MONICA, CA, 90401-2548",fetched,100.0,"1522 6th St, Santa Monica, CA, 90401",34.016392453886034,-118.49152759260666,2,4291024001,4291-024-001,,20,4291024007,1522 6TH ST SANTA MONICA CA,1522 6TH ST SANTA MONICA CA 90401-2548,550,Residential - Five or more apartments,TA,Transit Adjacent,26.0,GROSS ASSESSED,"$4,530,218.00",,GC 1522 6TH LP,3019 OCEAN PARK BLVD STE 730,1522.0,6TH,los-angeles,,0.17185,"GC 1522 6th, LP",Santa Monica Portfolio D Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-283,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,,,26.0,25.0,0.9615384615,"$4,355,978.85",2004,YES,,4291024007,,,,"4,363,959","871,160",,"$3,750",,,,,,1522.0
1537 7TH ST SANTA MONICA CA 90401-2672,"1537 7TH ST, SANTA MONICA, CA, 90401-2672",fetched,100.0,"1537 7th St, Santa Monica, CA, 90401",34.01692523551779,-118.49011192797633,61,4291022030,4291-022-030,,21,4291022015,1537 7TH SANTA MONICA CA,1537 7TH ST SANTA MONICA CA 90401-2672,540,Residential - Five or more apartments,TA,Transit Adjacent,36.0,GROSS ASSESSED,"$4,620,825.00",,GC 1537 7TH LP,3019 OCEAN PARK BLVD STE 730,1537.0,7TH,los-angeles,,0.17212,"GC 1537 7th, LP",Santa Monica Portfolio E Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-284,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,"$5,390,000",9/12/2024,26.0,25.0,0.9615384615,"$4,443,100.96",,YES,,4291022015,,,,"4,469,095","532,780",,"$3,750",,,,,,1537.0
1734 S BARRINGTON AVE LOS ANGELES CA 90025-4010,"1734 S BARRINGTON AVE, LOS ANGELES, CA, 90025-4010",fetched,99.3,"1734 South Barrington Avenue, Los Angeles, CA, 90025",34.04092997073517,-118.45353582165963,8,4262018022,4262-018-022,,23,4262018026,1734 S BARRINGTON AVE LOS ANGELES CA 90025,1734 S BARRINGTON AVE LOS ANGELES CA 90025-4010,300,Residential - Three Units (Any Combination),[Q]RD1.5-1,Qualified Restricted Density Multiple Dwelling,3.0,GROSS ASSESSED,"$1,883,105.00",,PASSO BARRINGTON LP,121 S PALM DR APT 301,1734.0,BARRINGTON,los-angeles,,0.16967,"Passo Barrington, LP",Passo Barrington Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-424,8/29/2025,Glimcher Capital Group,,Housing on Merit,,YES,,,53.0,53.0,1.0,"$1,883,105.00",,,,,,,,,,,"$7,800",YES,,,,,1734.0
1747 STONER AVE LOS ANGELES CA 90025-1812,"1747 STONER AVE, LOS ANGELES, CA, 90025-1812",fetched,99.3,"1747 Stoner Avenue, Los Angeles, CA, 90025",34.04013140158404,-118.45445227405436,18,4262016041,4262-016-041,,25,4262016011,1747 STONER AVENUE LOS ANGELES CA 90025,1747 STONER AVE LOS ANGELES CA 90025-1812,300,Residential - Three Units (Any Combination),[Q]R3-1,Qualified Multiple Residential,3.0,GROSS ASSESSED,"$2,175,258.00",,PASSO STONER LP,121 S PALM DR APT 301,1747.0,STONER,los-angeles,,0.16902,"Passo Stoner, LP",Passo Stoner Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-427,8/29/2025,Glimcher Capital Group,,Housing on Merit,,YES,,,53.0,52.0,0.9811320755,"$2,134,215.40",,,,,,,,,,,"$7,800",,,,,,1747.0
18325 SATICOY ST RESEDA CA 91335-2965,"18325 SATICOY ST, RESEDA, CA, 91335-2965",fetched,100.0,"18325 Saticoy St, Reseda, CA, 91335",34.20844925773657,-118.53229995463215,2,2119001028,2119-001-028,,26,2119001222,18325 SATICOY ST RESEDA CA 91335,18325 SATICOY ST RESEDA CA 91335-2965,501,Residential - Five or more apartments,QR3-1,Qualified Multiple Residential,52.0,GROSS ASSESSED,"$16,626,000.00",,HACIENDA INVESTORS LP,15301 VENTURA BLVD STE 5B70,18325.0,SATICOY,los-angeles,,1.39432,Hacienda Investors LP,Windmere Court Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-221,6/7/2024,GHC Housing Partners,,Foundation for Affordable Housing,,,06/13/2024,"$16,300,000",52.0,52.0,1.0,"$16,626,000.00",,,,2119001222,,,,"10,060,677",,,"$7,800",,,,,,18325.0
18337 KITTRIDGE ST RESEDA CA 91335-6108,"18337 KITTRIDGE ST, RESEDA, CA, 91335-6108",fetched,100.0,"18337 Kittridge St, Reseda, CA, 91335",34.19028804977441,-118.53235987265782,1,2125017016,2125-017-016,,27,2125017014,18337 KITTRIDGE ST RESEDA CA 91335,18337 KITTRIDGE ST RESEDA CA 91335-6108,100,Residential - Single,R3-1-RIO,Multiple Residential River Improvement Overlay,1.0,GROSS ASSESSED,"$943,500.00",,18337 KITTRIDGE LLC,8549 WILSHIRE BLVD PMB 3456,18337.0,KITTRIDGE,los-angeles,,0.21164,"18337 Kittridge, LP",Kittridge Affordable Housing Apartments,Los Angeles,Los Angeles,,,11/21/2025,"Angeleno Investments, LP",,Las Palmas Housing & Development Corporation,,YES,,,42.0,41.0,0.9761904762,"$921,035.71",,,,,,,,,,,"$6,150",,,,,,18337.0
18615 E ARROW HWY COVINA CA 91722-1828,"18615 E ARROW HWY, COVINA, CA, 91722-1828",fetched,100.0,"18615 East Arrow Hwy, Covina, CA, 91722",34.10683966650253,-117.88785083454444,1,8630009026,8630-009-026,,28,8630009026,18615 E ARROW HWY COVINA CA 91722,18615 E ARROW HWY COVINA CA 91722-1828,501,Residential - Five or more apartments,CAH,Corridor Arrow Highway,82.0,GROSS ASSESSED,"$21,864,168.00",,PACIFIC TRAILS LP,2566 OVERLAND AVE STE 700,18615.0,ARROW,los-angeles,,3.21037,"Pacific Trails, LP",Pacific Trails Apartments,Azusa,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-304,7/18/2025,Langdon Park Capital,,Housing on Merit,,NO,,,84.0,84.0,1.0,"$21,864,168.00",,,,,,,,,,,"$12,600",,,,,,18615.0
200 S KENMORE AVE LOS ANGELES CA 90004-5650,"200 S KENMORE AVE, LOS ANGELES, CA, 90004-5650",fetched,99.3,"200 South Kenmore Avenue, Los Angeles, CA, 90004",34.0711387733033,-118.29656437057868,2,5518020021,5518-020-021,,29,5518020021,200 S KENMORE AVENUE LOS ANGELES CA,200 S KENMORE AVE LOS ANGELES CA 90004-5650,500,Residential - Five or more apartments,R3-1,Multiple Residential,48.0,GROSS ASSESSED,"$9,200,673.00",,KENMORE II 20 LLC,345 N MAPLE DR STE 135,200.0,KENMORE,los-angeles,,0.19015,Kenmore II 20 LLLP,Kenmore II Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-489,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,48.0,48.0,1.0,"$9,200,673.00",,,,,,,,,,,"$7,200",,,,,,200.0
2001 OLYMPIC BLVD SANTA MONICA CA 90404-3942,"2001 OLYMPIC BLVD, SANTA MONICA, CA, 90404-3942",fetched,100.0,"2001 Olympic Boulevard, Santa Monica, CA, 90404",34.02443332374291,-118.47498554195651,0,,,,30,4275024005,2001-2029 OLYMPIC BLVD SANTA MONICA,2001 OLYMPIC BLVD SANTA MONICA CA 90404-3942,500,Residential - Five or more apartments,IC,Industrial Conservation,100.0,GROSS ASSESSED,"$8,990,000.00",,GC 20012029 OLYMPIC LP,3019 OCEAN PARK BLVD STE 730,2001.0,OLYMPIC,los-angeles,,0.16334,"GC 2001-2029 Olympic, LP",Santa Monica Portfolio F Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-285,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,,,165.0,98.0,0.5939393939,"$5,339,515.15",2008,YES,,4275024005,"4275024007, 4275-024-011, 4275-024-016",,,,,,"$14,700",,,,,,2001.0
2025 E 4TH ST LOS ANGELES CA 90033-4364,"2025 E 4TH ST, LOS ANGELES, CA, 90033-4364",fetched,99.3,"2025 East 4th St, Los Angeles, CA, 90033",34.0427275205078,-118.21635748222593,1,5183012039,5183-012-039,,31,5183012030,2025 E 4TH STREET LOS ANGELES CA,2025 E 4TH ST LOS ANGELES CA 90033-4364,500,Residential - Five or more apartments,[Q]C2-1-CUGU,Qualified Commercial Clean Up Green Up Overlay,24.0,GROSS ASSESSED,"$4,166,030.00",,9040 HARRATT LLC AND,345 N MAPLE DR STE 135,2025.0,4TH,los-angeles,,0.15456,2025 E 4th Street LLLP,4th Street Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-448,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,25.0,25.0,1.0,"$4,166,030.00",,,,,,,,,,,"$3,750",,,,,,2025.0
2025 NEW JERSEY ST LOS ANGELES CA 90033-2883,"2025 NEW JERSEY ST, LOS ANGELES, CA, 90033-2883",fetched,99.3,"2025 New Jersey St, Los Angeles, CA, 90033",34.048021908625216,-118.21293494737101,2,5183001023,5183-001-023,,32,5183001017,2025 NEW JERSEY ST LOS ANGELES CA,2025 NEW JERSEY ST LOS ANGELES CA 90033-2883,050V,Residential - Five or more apartments,[Q]R4-1-CUGU,Qualified Multiple Residential Clean Up Green Up Overlay,0.0,GROSS ASSESSED,"$527,950.00",,2025 NJ LP,269 S BEVERLY DR PMB 182,2025.0,NEW JERSEY,los-angeles,,0.13646,"2025 NJ, LP",2025 New Jersey Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",23-203,08/04/23,"Eleos Ventures, LLC",,Step Forward Communities,,,,,15.0,14.0,0.9333333333,"$492,753.33",2023,,,5183001017,,,,,,,"$2,250",,,,,,2025.0
207 N OXFORD AVE LOS ANGELES CA 90004-4230,"207 N OXFORD AVE, LOS ANGELES, CA, 90004-4230",fetched,99.3,"207 North Oxford Avenue, Los Angeles, CA, 90004",34.07506409787444,-118.30801062920266,2,5517005012,5517-005-012,,33,5517005016,207 S OXFORD AVENUE LOS ANGELES CA,207 N OXFORD AVE LOS ANGELES CA 90004-4230,500,Residential - Five or more apartments,R4-1,Multiple Residential,32.0,GROSS ASSESSED,"$6,452,506.00",,OXFORD 20 LLC,345 N MAPLE DR STE 135,207.0,OXFORD,los-angeles,,0.16373,Oxford 20 LLLP,Oxford II Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-495,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,32.0,32.0,1.0,"$6,452,506.00",,,,,,,,,,,"$4,800",,,,,,207.0
209 S WESTMORELAND AVE LOS ANGELES CA 90004-6109,"209 S WESTMORELAND AVE, LOS ANGELES, CA, 90004-6109",fetched,99.3,"209 South Westmoreland Avenue, Los Angeles, CA, 90004",34.07027893552326,-118.28797755184333,1,5501013028,5501-013-028,,34,5501013028,209 WESTMORELAND AVE LOS ANGELES CA 90004,209 S WESTMORELAND AVE LOS ANGELES CA 90004-6109,501,Residential - Five or more apartments,R4-1,Multiple Residential,687.0,GROSS ASSESSED,"$129,082,596.00",,KW WESTMORELAND TIC LLC AND,151 EL CAMINO DR,209.0,WESTMORELAND,los-angeles,,8.42745,"Chadwick Owner, LP",Chadwick Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-290,6/27/2025,Vintage Housing Holdings,Kennedy Wilson,"Pacific Housing, Inc",,NO,,,687.0,687.0,1.0,"$129,082,596.00",,,,,,,,,,,"$74,025",,,,,,209.0
228 N SOTO ST LOS ANGELES CA 90033-2915,"228 N SOTO ST, LOS ANGELES, CA, 90033-2915",fetched,99.3,"228 North Soto St, Los Angeles, CA, 90033",34.04569285019092,-118.2084317769402,2,5180001004,5180-001-004,,36,5180001013,228 N SOTO STREET LOS ANGELES CA,228 N SOTO ST LOS ANGELES CA 90033-2915,010V,Residential - Single,R4-1-CUGU,Multiple Residential Clean Up Green Up Overlay,0.0,GROSS ASSESSED,"$2,509,100.00",,EV 228 SOTO LLC,269 S BEVERLY DR PMB 182,228.0,SOTO,los-angeles,,0.19646,"EV 228 Soto, LP, a California limited partnership",Soto Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-413,10/11/2024,"Eleos Ventures, LLC",,Step Forward Comminities,,YES,,,41.0,40.0,0.9756097561,"$2,447,902.44",,,,,,,,,,,"$6,000",,,,,,228.0
2330 E 3RD ST LOS ANGELES CA 90033-4012,"2330 E 3RD ST, LOS ANGELES, CA, 90033-4012",fetched,99.3,"2330 East 3rd St, Los Angeles, CA, 90033",34.04184016227193,-118.21208630752189,2,5183013010,5183-013-010,,37,5183013023,2330 E 3RD STREET LOS ANGELES CA,2330 E 3RD ST LOS ANGELES CA 90033-4012,,,RD1.5-1-CUGU,Restricted Density Multiple Dwelling Clean Up Green Up Overlay,,,,,,,2330.0,3RD,los-angeles,,0.19687,2330 3rd Street Apartments L.P.,2330 E. 3rd Street Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-363,8/30/2024,Terra Capital Development Group LLC,,Pacific Housing,,YES,,,53.0,53.0,1.0,$0.00,,,,,,,,,,,"$7,950",,,,,,2330.0
