Agency,Applicant / Entity,Property Name,City,County,Grant Description,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Link,New build?,Acquisition Price (M),Acquisition Date,Total Unit Count,Rent Restricted Unit Count,Built,Address,City's Cut,Leasing Link,HAVE RECIEVED WELFARE TAX EXEMPTION
CMFA,651 Addison LLC,Viewpoint Apartments,Berkeley,Alameda,"Grant up to $10,000",24-470,12/13/2024,Bridge Housing,,Bridge Housing,,,,,94,71,,"651 Addison St, Berkeley, CA 94710","$10,650",https://bridgehousing.com/properties/viewpoint/,
CMFA,BWF III Ethos CA Los Gatos Creek LP,SoFi Los Gatos Creek Apartments,San Jose,Santa Clara,"Grant up to $10,000",24-472,12/13/2024,Ethos Real Estate,Bridge Investment Group,"Casa Major, Inc.",https://www.ethos-re.com/news/sofi-at-los-gatos-creek-adam-siegman-comments-on-affordable-housing,NO,61.1,12/31/2024,193,193,1969,"2130 Southwest Expy, San Jose, CA 95126","$28,950",https://www.losgatoslandingapts.com/,
CMFA,"Post Chaparral, LP",Chaparral Apartments,Palmdale,Los Angeles,"Grant up to $10,000",24-473,12/13/2024,Post Investment Group,,Integrity Housing,,NO,,,296,296,,"38441 5th St W, Palmdale, CA 93551","$44,400",,YES
CMFA,99 Ocean Avenue LP,Ventana Residences Apartments,San Francisco,San Francisco,"Grant up to $10,000",24-471,12/13/2024,"Presidio Bay Ventures, LLC",,"Pacific Housing, Inc",,YES,,,193,100,2023,"99 OCEAN AVE SAN FRANCISCO, CA 94112-2548","$15,000",,
CMFA,Prometheus Real Estate Group,HARKEN APARTMENTS,Los Altos,Santa Clara,,25-065,1/31/2025,"Prometheus Real Estate Group, Inc.",,Hearthstone Housing Foundation,,YES,,,196,29,,"5150 El Camino Real, Los Altos, CA","$4,350",,
CMFA,"BIF IMPACT OZ 1100 BROADWAY BLK, LP",11422 Broadway Apartments,Los Angeles,Los Angeles,,25-081,2/21/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,166,165,,"11422 S Broadway, Los Angeles, CA 90061","$24,750",,
CMFA,"2533 Mansfield Owner, L.P., a California limited partnership",Mansfield Micro Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-084,2/21/2025,"CIM Group, LLC",,"Pacific Housing, Inc.",,YES,,,116,115,,"2533 S Mansfield Ave, Los Angeles, CA 90016","$17,250",,
CMFA,"ENCLAVE LP, a California limited partnership",The Enclave Apartments,Walnut Creek,Contra Costa,"Grant up to $10,000 (Charitable Affordable Housing)",25-082,2/21/2025,Tesseract Capital Group,,Housing on Merit,,,,,32,32,,"3081 N Main St, Walnut Creek, CA 94597","$4,800",,
CMFA,"333 Douglas Street, LP, a California limited partnership",333 Douglas Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-080,2/21/2025,Visionary Development Enterprises LLC,,Housing on Merit,,,,,33,32,,"333 Douglas St, Los Angeles, CA","$4,800",,
CMFA,"7777 Valley View, L.P., a California limited partnership",Casa La Palma Apartments,La Palma,Orange,"Grant up to $10,000 (Charitable Affordable Housing)",25-103,3/14/2025,Mariman & Co.,,AOF/Pacific Affordable Housing Corporation,,NO,,,272,270,1978,"7777 Valley View Street, La Palma, CA","$40,500",,
CMFA,"920 Gramercy Upwell, LP, a Delaware limited partnership",The Eaves Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-104,3/14/2025,Treehouse Community,,Butterfly’s Haven,,,,,13,13,,"920 S. Gramercy Place, Los Angeles, CA","$2,500",,
CMFA,"Coronado Owner, LP",Coronado Palms Apartments,Anaheim,Orange,"Grant up to $10,000 (Charitable Affordable Housing)",25-102,3/14/2025,TriWest Multifamily,,"Kingdom Development, Inc.",,,,,169,68,,"1250 S. Euclid St., Anaheim, CA","$10,200",,
CMFA,"Post Candlewood North, LP",Candlewood North Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-117,4/4/2025,Post Investment Group,,Integrity Housing,,NO,,,189,189,1964,"9830 Reseda Blvd, Northridge, CA 91324","$28,350",,
CMFA,10535 Lindley Affordable L.P.,Lindley Parc Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-116,4/4/2025,Taylor Equities,,Housing on Merit,,,,,50,50,,"10535 Lindley Ave, Granada Hills, CA 91326","$4,800",,
CMFA,"SFF 4, LLC",Terrace View Apartments,Daly City,San Mateo,"Grant up to $10,000 (Charitable Affordable Housing)",25-144,4/25/2025,The Sobrato Organization,,"Pacific Housing, Inc.",,,,,122,,,"26 Terrace View Ct, Daly City, CA 94015","$18,300",,
CMFA,"SFF 3, LLC",SoFi Redwood Park Apartments,Redwood City,San Mateo,"Grant up to $10,000 (Charitable Affordable Housing)",25-145,4/25/2025,The Sobrato Organization,,"Pacific Housing, Inc.",,,,12/5/2024,112,112,,"1212 Whipple Ave, Redwood City, CA 94062","$16,800",https://www.theheltsley.com/,
CMFA,AXIS FEE OWNER LP,Waterbend Apartments,San Francisco,San Francisco,,25-219,4/25/2025,TruAmerica Multifamily LLC,Angeleno Investments LP,Affordable Housing Access,,NO,,,136,136,2016,"5880 3rd St, San Francisco, CA 94124","$20,400",,
CMFA,"1540 W. Court Street, LP",1540 W Court Apartments,Los Angeles,Los Angeles,,25-207,5/16/2025,Visionary Development Enterprises LLC,,Housing on Merit,,YES,,,189,148,,"1540 W Court St, Los Angeles, CA 90026","$22,200",,
CMFA,"Sol Haus Owner LP, California Limited Partnership",Sol Haus Apartments,San Diego,San Diego,"Grant up to $10,000 (Charitable Affordable Housing)",25-209,5/16/2025,CONAM Management Corporation,,Las Palmas Housing & Development Corporation,,YES,,,147,145,,"5040 Logan Avenue, San Diego, CA 92113","$22,050",,
CMFA,BWF III Ethos CA Palmilla LP,Palmilla Apartments,San Diego,San Diego,"Grant up to $10,000 (Charitable Affordable Housing)",25-208,5/16/2025,Ethos Real Estate,Bridge Investment Group,"Casa Major, Inc.",,NO,,,203,203,,"5474 Reservoir Dr, San Diego, CA 92120","$30,450",,
CMFA,1451 W. MLK Boulevard Apartments,1451 W. MLK Boulevard Apartments,Los Angeles,Los Angeles,,Proposed ,6/6/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,50,49,,"1451 W. MLK Blvd, Los Angeles, CA","$7,350",,
CMFA,"4 SIOF 11630 S MAIN ST, LP",11630 S. Main Street Apartments,Los Angeles,Los Angeles,,25-291,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,84,17,,"11630 Main St, Los Angeles, CA 90061","$2,550",,
CMFA,"Bella Vista Owner, LP",Bella Vista at Hilltop Apartments,Richmond,Contra Costa,"Grant up to $10,000 (Charitable Affordable Housing)",25-281,6/27/2025,Kennedy Wilson,Vintage Housing Holdings,Hearthstone Housing Foundation,https://www.cmfa-ca.com/wp-content/uploads/2025/01/CMFA-Staff-Reports-01-10-25.pdf,NO,,,1008,1008,,"3400 Richmond Pkwy, Richmond, CA 94806","$98,100",,
CMFA,10811 S. Compton Ave Apartments,10811 S. Compton Ave Apartments,Los Angeles,Los Angeles,,25-287,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,29,28,,"10811 S. Compton Avenue, Los Angeles, CA","$4,200",,
CMFA,"6 SIOF 4101 Somerset Dr, LP",4101 Somerset Dr. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-282,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,36,35,,"4101 Somerset Drive, Los Angeles, CA","$5,250",,
CMFA,"3 SIOF 321 E Florence Ave, LP",321 E. Florence Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-283,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,31,30,,"321 E. Florence Ave, Los Angeles, CA ","$4,500",,
CMFA,"6 SIOF 9300 Compton Ave, LP",9300 Compton Ave. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-284,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,20,19,,"9300 Compton Ave., Los Angeles, CA","$2,850",,
CMFA,"6 SIOF 6401 S Avalon Blvd, LP",6401 S. Avalon Blvd. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-285,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,28,27,,"6401 S. Avalon Blvd., Los Angeles, CA","$4,050",,
CMFA,"6 SIOF 9515 Compton Ave, LP",9515 Compton Ave. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-286,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,21,20,,"9515 Compton Avenue, Los Angeles, CA","$3,000",,
CMFA,"SIOF 5 Properties, LP, California limited partnership",569 W. 6th Street Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-288,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,48,47,,"569 W. 6th Street, San Pedro, CA","$7,050",,
CMFA,"2 SIOF 685 W Fourth St, LP, Delaware limited partnership",685 W. 4th St Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-289,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,28,27,,"685 W. 4th St., Los Angeles, CA ","$4,050",,
CMFA,"Chadwick Owner, LP",Chadwick Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-290,6/27/2025,Vintage Housing Holdings,Kennedy Wilson,"Pacific Housing, Inc",,NO,,,687,687,,"209 Westmoreland Ave, Los Angeles, CA 90004","$74,025",,
CMFA,"Chatsworth Housing, LP",Chatsworth Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-308,7/18/2025,BMI Developments,,"Kingdom Development, Inc.",,YES,,,69,68,,"17188 Chatsworth St., Los Angeles, CA","$10,200",,
CMFA,"Ethos GP I Venture, LP",LINQ Apartments,San Jose,Santa Clara,"Grant up to $10,000 (Charitable Affordable Housing)",25-305,7/18/2025,Ethos Real Estate,,"Pacific Housing, Inc",,,,9/3/2025,230,230,,"1700 Newbury Park Dr, San Jose, CA 95133","$34,500",,
CMFA,"Pacific Trails, LP",Pacific Trails Apartments,Azusa,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-304,7/18/2025,Langdon Park Capital,,Housing on Merit,,NO,,,84,84,,"18615 E Arrow Hwy, Covina, CA 91722","$12,600",,
CMFA,10910 Huston LP,Huston Affordable Housing Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-353,8/8/2025,"Angeleno Investments, LP",,Las Palmas Housing & Development Corporation,,YES,,,38,37,,"10910 Huston St, North Hollywood, CA 91601","$5,550",,
CMFA,"Flag VII The Parker, L.P.",The Parker Apartments,El Monte,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-350,8/8/2025,Belveron Partners,,Las Palmas Housing & Development Corporation,,NO,,,177,177,,"4640 Arden Way, El Monte, CA 91731","$26,550",,
CMFA,"Canyon Ridge at Napa Junction, LP",Canyon Ridge at Napa Junction Apartments,American Canyon,Napa,"Grant up to $10,000 (Charitable Affordable Housing)",25-351,8/8/2025,BRIDGE Housing Corp.,,BRIDGE Housing Corp.,,NO,,,148,148,,"800 Reliant Wy, American Canyon, CA 94503","$22,200",,
CMFA,"Post Canyon Villa, LP",Canyon Villa Apartment Homes,Chula Vista,San Diego,"Grant up to $10,000 (Charitable Affordable Housing)",25-352,8/8/2025,Post Investment Group,,Integrity Housing,,NO,,,183,183,1981,"601 Telegraph Road, Chula Vista, CA 91910","$27,450",,
