Project ID,Property Name,Applicant / Entity,City,County,Agency,Grant Description,Resolution,Date,DEAD?,Investor 1,Investor 2,Nonprofit Partner,Stale,Total Unit Count,Restricted Unit Count,Restricted Ratio,Address,City's Cut,Parcel Identified,Welfare Exemption On 2025 Roll,Total Roll Value,Confirmed Exemption,Best Estimate Exemption,Confirmed or Best Estimate Exemption,Tax Rate,Confirmed Annual Revenue Loss,Best Estimate Annual Revenue Loss,Link,Leasing Link,New build?,Built,Acquisition Price (M),Acquisition Date,Regulatory Term,Closing Fee,CMFA Annual Fee,YEARS IN SERVICE,ANNUAL FEES PAID,SCC FILED?
42,2023 Imperial Apartments,"BIF NON OZ 2000 Imperial Hwy Blk, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-382,2024-09-20,True,"SoLa Impact, LLC",,Housing on Merit,False,90,71,0.7888888889,"110 Imperial Highway, Los Angeles, CA",10650,True,False,429364,0,304848.44,304848.44,0.0118738,0,3619.709407,,,YES,,,,,54000,13500,0,0,
38,Marquee Apartments,"Post Marquee North Hollywood, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-383,2024-09-20,,Ascenda Capital,,Integrity Housing,False,236,236,1,"12300 Sherman Way, North Hollywood, CA 91605",35400,True,False,43800000,0,39420000,39420000,0.0118738,0,468065.196,,,NO,1965,,,,141600,35400,1,35400,True
43,Meridian Apartments,"400 Meridian, LP, a California limited partnership",San Rafael,Marin,CMFA,"Grant up to $10,000",24-384,2024-09-20,True,Tesseract Capital Group,,Housing on Merit,False,99,99,,"400 Canal St, San Rafael, CA 94901",14850,True,False,33879341,0,30491406.9,30491406.9,0.01084,0,330526.8508,,,NO,,,,,59400,14850,1,14850,
46,4752 Main Street Apartments,"4752 Main, LP",Los Angeles,Los Angeles,CMFA,,24-399,2024-10-11,True,"Eleos Ventures, LLC",,Step Forward Communities,False,53,53,1,"4752 Main St, Los Angeles, CA 90037",,True,False,1298913,0,1169021.7,1169021.7,0.0118738,0,13880.72986,,,YES,,,,,31800,7950,0,0,
45,Horizon Apartments,"BWF II ETHOS CA HORIZON LP, a Delaware limited partnership",Santa Ana,Orange,CMFA,"Grant up to $10,000",24-410,2024-10-11,,Ethos Real Estate,Bridge Investment Group,Affordable Housing Access Inc,False,406,406,,"2414 N Tustin Ave, Santa Ana, CA 92705",60900,True,False,129200000,0,116280000,116280000,0.011195,0,1301754.6,,,NO,,,,,243600,60900,1,60900,True
48,Hillsdale Gardens Apartments,Hillsdale Property LP,San Mateo,San Mateo,CMFA,"Grant up to $10,000",24-411,2024-10-11,,Vistria Group,Ethos Real Estate,"Pacific Housing, Inc.",False,697,697,,"3500 Edison St, San Mateo, CA 94403",74775,True,True,252362500,28000,227126250,28000,0.011201,,313.628,,,NO,,,,,418200,104550,1,104550,True
47,6171 Mission Gorge Apartments,"6171 Mission Gorge Owner LP, a California limited partnership",San Diego,San Diego,CMFA,"Grant up to $10,000",24-412,2024-10-11,,Impact Housing,,Las Palmas Housing & Development Corporation,False,488,483,,"6171 Mission Gorge Rd, San Diego, CA 92120",72450,True,False,13362000,0,11902584.84,11902584.84,0.0125114,0,148917.9999,,,YES,,,,,292800,73200,0,0,True
44,Soto Apartments,"EV 228 Soto, LP, a California limited partnership",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-413,2024-10-11,,"Eleos Ventures, LLC",,Step Forward Comminities,False,41,40,0.9756097561,"228 N Soto Street, Los Angeles, CA",6000,True,False,2509100,0,2203112.195,2203112.195,0.0118738,0,26159.31358,,,YES,,,,,24600,6150,0,0,True
50,Market Street Village Apartments,699 14TH Street CSLC LP,San Diego,San Diego,CMFA,"Grant up to $10,000",24-427,2024-11-01,,Community Solutions,,Community Solutions,False,229,229,,"699 14th Street, San Diego, CA",34350,True,False,53339453,0,48005507.7,48005507.7,0.0125114,0,600616.109,,,NO,,,,,137400,34350,1,34350,True
52,The Carla Apartments,1201 Fulton Ave LP,Unincorporated,Sacramento,CMFA,"Grant up to $10,000",24-428,2024-11-01,True,"Trion Properties, Inc.",,Riverside Charitable Corporation,False,63,62,,"1201 Fulton Ave, Sacramento, CA 95825",9300,True,False,15111810,0,13384746,13384746,0.011454,0,153308.8807,,,NO,,,,,37800,9450,1,9450,
