Project ID,Property Name,Applicant / Entity,City,County,Agency,Grant Description,Resolution,Date,DEAD?,Investor 1,Investor 2,Nonprofit Partner,Stale,Total Unit Count,Restricted Unit Count,Restricted Ratio,Address,City's Cut,Parcel Identified,Welfare Exemption On 2025 Roll,Total Roll Value,Confirmed Exemption,Best Estimate Exemption,Confirmed or Best Estimate Exemption,Tax Rate,Confirmed Annual Revenue Loss,Best Estimate Annual Revenue Loss,Link,Leasing Link,New build?,Built,Acquisition Price (M),Acquisition Date,Regulatory Term,Closing Fee,CMFA Annual Fee,YEARS IN SERVICE,ANNUAL FEES PAID,SCC FILED?
35,Sierra Park Apartments,"Sierra Park LP, a California Limited Partnership",Unincorporated,Sacramento,CMFA,"Grant up to $10,000",24-278,2024-08-09,,Tesseract Capital Group,,Housing on Merit,False,104,104,,"4930 Polk St, North Highlands, CA 95660",15600,True,True,25646900,23179668,23082210,23179668,0.011785,273172.3874,273172.3874,,,,,,,,62400,15600,1,15600,True
33,7524 S. Hoover St. Apartments,"BIF NON OZ 7524 S HOOVER ST, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-279,2024-08-09,,"SoLa Impact, LLC",,Housing on Merit,True,79,48,0.6075949367,"7518 S. Hoover, Los Angeles, CA",11850,True,False,0,0,0,0,0.0118738,0,0,,,YES,,,,,47400,11850,0,0,
27,Santa Monica Portfolio A Apartments,"GC 1422-1428 6th, LP",Santa Monica,Los Angeles,CMFA,"Grant up to $10,000",24-280,2024-08-09,,Gortikov Capital,,"Kingdom Development, Inc.",False,52,32,0.6153846154,"1422-1428 6th St., Santa Monica, CA",4800,True,True,17170000,4062807,9509538.462,4062807,0.01203757,48906.32366,48906.32366,https://www.1422on6th.com/,,NO,1997,17170000,2024-09-12,,31200,7800,1,7800,True
28,Santa Monica Portfolio B Apartments,"GC 1422-1432 7th, LP",Santa Monica,Los Angeles,CMFA,"Grant up to $10,000",24-281,2024-08-09,,Gortikov Capital,,"Kingdom Development, Inc.",False,72,49,0.6805555556,"1422-1432 7th, Santa Monica, CA",7350,True,True,23070000,10578326,14130375,10578326,0.01203757,127337.3397,127337.3397,,,,,,,,43200,10800,1,10800,True
29,Santa Monica Portfolio C Apartments,"GC 1423-1425 6th, LP",Santa Monica,Los Angeles,CMFA,"Grant up to $10,000",24-282,2024-08-09,,Gortikov Capital,,"Kingdom Development, Inc.",False,48,29,0.6041666667,"1423-1425 6th, Santa Monica, CA",4350,True,True,20900000,10886810,11364375,10886810,0.01203757,131050.7375,131050.7375,,,,,,,,28800,7200,1,7200,True
30,Santa Monica Portfolio D Apartments,"GC 1522 6th, LP",Santa Monica,Los Angeles,CMFA,"Grant up to $10,000",24-283,2024-08-09,,Gortikov Capital,,"Kingdom Development, Inc.",False,26,25,0.9615384615,"1522 6th St, Santa Monica, CA",3750,True,True,7050000,3659058,6100961.538,3659058,0.01203757,44046.16681,44046.16681,,,,2004,,,,15600,3900,1,3900,True
31,Santa Monica Portfolio E Apartments,"GC 1537 7th, LP",Santa Monica,Los Angeles,CMFA,"Grant up to $10,000",24-284,2024-08-09,,Gortikov Capital,,"Kingdom Development, Inc.",False,26,25,0.9615384615,"1537 7th, Santa Monica, CA",3750,True,True,6580000,4088045,5694230.769,4088045,0.01203757,49210.12785,49210.12785,,,,,5390000,2024-09-12,,15600,3900,1,3900,True
32,Santa Monica Portfolio F Apartments,"GC 2001-2029 Olympic, LP",Santa Monica,Los Angeles,CMFA,"Grant up to $10,000",24-285,2024-08-09,,Gortikov Capital,,"Kingdom Development, Inc.",False,165,98,0.5939393939,"2001-2029 Olympic Blvd, Santa Monica",14700,True,True,29350000,22352409,15688909.09,22352409,0.01203757,269068.688,269068.688,,,,2008,,,,99000,24750,1,24750,True
26,Harbor Terrace Apartments,"Post Harbor Terrace, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-286,2024-08-09,,Ascenda Capital,,Integrity Housing,False,93,93,1,"441 W 3rd St, San Pedro, CA 90731",13950,True,True,24250000,16429375,21825000,16429375,0.0118738,195079.1129,195079.1129,,,,1987,,,,55800,13950,1,13950,True
36,Stadium Village Apartments,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Inglewood,Los Angeles,CMFA,"Grant up to $10,000",24-361,2024-08-30,,Community HousingWorks,,Community HousingWorks,False,80,80,1,"9301 – 9609 Crenshaw
Blvd, Inglewood, CA",12000,True,False,26900000,0,24210000,24210000,0.01280765,0,310073.2065,,,,,,,,48000,12000,1,12000,True
37,2330 E. 3rd Street Apartments,2330 3rd Street Apartments L.P.,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-363,2024-08-30,,Terra Capital Development Group LLC,,Pacific Housing,False,53,53,1,"2330 E. 3rd Street, Los Angeles, CA",7950,True,False,1275000,0,1147500,1147500,0.0118738,0,13625.1855,,,YES,,,,,31800,7950,0,0,True
39,6200 S. Broadway Apartments,"BIF NON OZ 6200 BROADWAY BLK, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-379,2024-09-20,,"SoLa Impact, LLC",,Housing on Merit,False,66,51,0.7727272727,"6200 S Broadway, Los Angeles, CA",7950,True,False,1326510,0,922527.4091,922527.4091,0.0118738,0,10953.90595,,,YES,,,,,39600,9900,0,0,True
40,4228 Western Ave. Apartments,"BIF NON OZ 4228 WESTERN AVE, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-380,2024-09-20,True,"SoLa Impact, LLC",,Housing on Merit,False,68,14,0.2058823529,"4228 Western Avenue, Los Angeles, CA",2500,True,False,17790840,0,3296538,3296538,0.0118738,0,39142.4329,,,YES,,,,,40800,10200,0,0,
41,4327 S. Vermont Apartments,"IF OZ 4300 S VERMONT AVE BLK LP, a Delaware limited partnership",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-381,2024-09-20,,"SoLa Impact, LLC",,Housing on Merit,False,188,111,0.5904255319,"4327 S Vermont, Los Angeles, CA",16650,True,False,3719558,0,1976509.81,1976509.81,0.0118738,0,23468.68218,,,YES,,,,,112800,28200,0,0,
