cand_parcelnumb_no_formatting,query_Address,cand_address,cand_usecode,cand_usedesc,cand_zoning,cand_zoning_description,cand_numunits,cand_parvaltype,cand_parval,exemption value,cand_owner,cand_mailadd,cand_saddno,cand_saddstr,cand_county,cand_gisacre,cand_ll_gisacre,query_Applicant / Entity,query_Property Name,query_City,query_County,query_Grant Description,query_Resolution,query_Date,query_Investor 1,query_Investor 2,query_Nonprofit Partner,query_Link,query_New build?,query_Acquisition Price (M),query_Acquisition Date,query_TOTAL UNITS,query_Rent Restricted,PERCENT AFFORDABLE,ESTIMATED VALUE OF EXEMPTION IF IT GOES THROUGH,query_Built,query_HAVE RECIEVED WELFARE TAX EXEMPTION,query_Leasing Link,query_APN No. 1,query_APN No. 2,query_Unnamed: 22,query_Property Taxes Link,query_23 Ass. Value,query_25 Ass. Value,query_Unnamed: 26,query_City's Cut,query_ED 1?,query_Last Tax Amt,query_Last Tax Yr,query_Current Amt,query_Current Yr,query_address_number
4262016011,1747 STONER AVENUE LOS ANGELES CA 90025,1747 STONER AVE LOS ANGELES CA 90025-1812,300,Residential - Three Units (Any Combination),[Q]R3-1,Qualified Multiple Residential,3,GROSS ASSESSED,"$2,175,258.00",,PASSO STONER LP,121 S PALM DR APT 301,1747,STONER,los-angeles,,0.16902,"Passo Stoner, LP",Passo Stoner Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-427,8/29/2025,Glimcher Capital Group,,Housing on Merit,,YES,,,53,52,0.9811320755,"$2,134,215.40",,,,,,,,,,,"$7,800",,,,,,1747
2119001222,18325 SATICOY ST RESEDA CA 91335,18325 SATICOY ST RESEDA CA 91335-2965,501,Residential - Five or more apartments,QR3-1,Qualified Multiple Residential,52,GROSS ASSESSED,"$16,626,000.00",,HACIENDA INVESTORS LP,15301 VENTURA BLVD STE 5B70,18325,SATICOY,los-angeles,,1.39432,Hacienda Investors LP,Windmere Court Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-221,6/7/2024,GHC Housing Partners,,Foundation for Affordable Housing,,,06/13/2024,"$16,300,000",52,52,1,"$16,626,000.00",,,,2119001222,,,,"10,060,677",,,"$7,800",,,,,,18325
2125017014,18337 KITTRIDGE ST RESEDA CA 91335,18337 KITTRIDGE ST RESEDA CA 91335-6108,100,Residential - Single,R3-1-RIO,Multiple Residential River Improvement Overlay,1,GROSS ASSESSED,"$943,500.00",,18337 KITTRIDGE LLC,8549 WILSHIRE BLVD PMB 3456,18337,KITTRIDGE,los-angeles,,0.21164,"18337 Kittridge, LP",Kittridge Affordable Housing Apartments,Los Angeles,Los Angeles,,,11/21/2025,"Angeleno Investments, LP",,Las Palmas Housing & Development Corporation,,YES,,,42,41,0.9761904762,"$921,035.71",,,,,,,,,,,"$6,150",,,,,,18337
8630009026,18615 E ARROW HWY COVINA CA 91722,18615 E ARROW HWY COVINA CA 91722-1828,501,Residential - Five or more apartments,CAH,Corridor Arrow Highway,82,GROSS ASSESSED,"$21,864,168.00",,PACIFIC TRAILS LP,2566 OVERLAND AVE STE 700,18615,ARROW,los-angeles,,3.21037,"Pacific Trails, LP",Pacific Trails Apartments,Azusa,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-304,7/18/2025,Langdon Park Capital,,Housing on Merit,,NO,,,84,84,1,"$21,864,168.00",,,,,,,,,,,"$12,600",,,,,,18615
5518020021,200 S KENMORE AVENUE LOS ANGELES CA,200 S KENMORE AVE LOS ANGELES CA 90004-5650,500,Residential - Five or more apartments,R3-1,Multiple Residential,48,GROSS ASSESSED,"$9,200,673.00",,KENMORE II 20 LLC,345 N MAPLE DR STE 135,200,KENMORE,los-angeles,,0.19015,Kenmore II 20 LLLP,Kenmore II Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-489,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,48,48,1,"$9,200,673.00",,,,,,,,,,,"$7,200",,,,,,200
4275024005,2001-2029 OLYMPIC BLVD SANTA MONICA,2001 OLYMPIC BLVD SANTA MONICA CA 90404-3942,500,Residential - Five or more apartments,IC,Industrial Conservation,100,GROSS ASSESSED,"$8,990,000.00",,GC 20012029 OLYMPIC LP,3019 OCEAN PARK BLVD STE 730,2001,OLYMPIC,los-angeles,,0.16334,"GC 2001-2029 Olympic, LP",Santa Monica Portfolio F Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-285,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,,,165,98,0.5939393939,"$5,339,515.15",2008,YES,,4275024005,"4275024007, 4275-024-011, 4275-024-016",,,,,,"$14,700",,,,,,2001
5183012030,2025 E 4TH STREET LOS ANGELES CA,2025 E 4TH ST LOS ANGELES CA 90033-4364,500,Residential - Five or more apartments,[Q]C2-1-CUGU,Qualified Commercial Clean Up Green Up Overlay,24,GROSS ASSESSED,"$4,166,030.00",,9040 HARRATT LLC AND,345 N MAPLE DR STE 135,2025,4TH,los-angeles,,0.15456,2025 E 4th Street LLLP,4th Street Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-448,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,25,25,1,"$4,166,030.00",,,,,,,,,,,"$3,750",,,,,,2025
5183001017,2025 NEW JERSEY ST LOS ANGELES CA,2025 NEW JERSEY ST LOS ANGELES CA 90033-2883,050V,Residential - Five or more apartments,[Q]R4-1-CUGU,Qualified Multiple Residential Clean Up Green Up Overlay,0,GROSS ASSESSED,"$527,950.00",,2025 NJ LP,269 S BEVERLY DR PMB 182,2025,NEW JERSEY,los-angeles,,0.13646,"2025 NJ, LP",2025 New Jersey Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",23-203,08/04/23,"Eleos Ventures, LLC",,Step Forward Communities,,,,,15,14,0.9333333333,"$492,753.33",2023,,,5183001017,,,,,,,"$2,250",,,,,,2025
5517005016,207 S OXFORD AVENUE LOS ANGELES CA,207 N OXFORD AVE LOS ANGELES CA 90004-4230,500,Residential - Five or more apartments,R4-1,Multiple Residential,32,GROSS ASSESSED,"$6,452,506.00",,OXFORD 20 LLC,345 N MAPLE DR STE 135,207,OXFORD,los-angeles,,0.16373,Oxford 20 LLLP,Oxford II Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-495,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,32,32,1,"$6,452,506.00",,,,,,,,,,,"$4,800",,,,,,207
5501013028,209 WESTMORELAND AVE LOS ANGELES CA 90004,209 S WESTMORELAND AVE LOS ANGELES CA 90004-6109,501,Residential - Five or more apartments,R4-1,Multiple Residential,687,GROSS ASSESSED,"$129,082,596.00",,KW WESTMORELAND TIC LLC AND,151 EL CAMINO DR,209,WESTMORELAND,los-angeles,,8.42745,"Chadwick Owner, LP",Chadwick Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-290,6/27/2025,Vintage Housing Holdings,Kennedy Wilson,"Pacific Housing, Inc",,NO,,,687,687,1,"$129,082,596.00",,,,,,,,,,,"$74,025",,,,,,209
