Applicant / Entity,Property Name,City,County,Grant Description,Agency,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Link,New build?,Acquisition Price (M),Acquisition Date,TOTAL UNITS,Rent Restricted,Built,Address,HAVE RECIEVED WELFARE TAX EXEMPTION,Leasing Link,APN No. 1,APN No. 2,,Property Taxes Link,23 Ass. Value,25 Ass. Value,,City's Cut,ED 1?,Last Tax Amt,Last Tax Yr,Current Amt,Current Yr
"GC 1423-1425 6th, LP",Santa Monica Portfolio C Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",CMFA,24-282,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,,,48,29,,"1423-1425 6th, Santa Monica, CA",YES,,,,,,,,,"$4,350",,,,,
"GC 1522 6th, LP",Santa Monica Portfolio D Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",CMFA,24-283,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,,,26,25,2004,"1522 6th St, Santa Monica, CA",YES,,4291024007,,,,"4,363,959","871,160",,"$3,750",,,,,
"GC 1537 7th, LP",Santa Monica Portfolio E Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",CMFA,24-284,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,"$5,390,000",9/12/2024,26,25,,"1537 7th, Santa Monica, CA",YES,,4291022015,,,,"4,469,095","532,780",,"$3,750",,,,,
"GC 2001-2029 Olympic, LP",Santa Monica Portfolio F Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",CMFA,24-285,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,,,165,98,2008,"2001-2029 Olympic Blvd, Santa Monica",YES,,4275024005,"4275024007, 4275-024-011, 4275-024-016",,,,,,"$14,700",,,,,
"BIF NON OZ 7524 S HOOVER ST, LP",7524 S. Hoover St. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,24-279,8/9/2024,"SoLa Impact, LLC",,Housing on Merit,,YES,,,79,48,,"7518 S. Hoover, Los Angeles, CA",,,,,,,,,,"$11,850",,,,,
APPIAN LP,Appian Terrace Apartments,El Sobrante,Contra Costa,"Grant up to $10,000",CMFA,24-277,8/9/2024,Tesseract Capital Group,,Housing on Merit,,,,,41,41,,"4481 Appian Way, El Sobrante, CA 94803",,,425-110-018-8,,,,,,,"$6,150",,,,,
"Sierra Park LP, a California Limited Partnership",Sierra Park Apartments,Unincorporated,Sacramento,"Grant up to $10,000",CMFA,24-278,8/9/2024,Tesseract Capital Group,,Housing on Merit,,,,,104,104,,"4930 Polk St, North Highlands, CA 95660",,,,,,,,,,"$15,600",,,,,
"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles,"Grant up to $10,000",CMFA,24-361,8/30/2024,Community HousingWorks,,Community HousingWorks,,,,,80,80,,"9301 – 9609 Crenshaw
Blvd, Inglewood, CA",,,,,,,,,,"$12,000",,,,,
2330 3rd Street Apartments L.P.,2330 E. 3rd Street Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,24-363,8/30/2024,Terra Capital Development Group LLC,,Pacific Housing,,YES,,,53,53,,"2330 E. 3rd Street, Los Angeles, CA",,,,,,,,,,"$7,950",,,,,
"Post Marquee North Hollywood, LP",Marquee Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,24-383,9/20/2024,Ascenda Capital,,Integrity Housing,,NO,,,236,236,1965,"12300 Sherman Way, North Hollywood, CA 91605",,,,,,,,,,"$35,400",,,,,
