cand_parcelnumb_no_formatting,query_Address,cand_address,cand_usecode,cand_usedesc,cand_zoning,cand_zoning_description,cand_numunits,cand_parvaltype,cand_parval,exemption value,cand_owner,cand_mailadd,cand_saddno,cand_saddstr,cand_county,cand_gisacre,cand_ll_gisacre,query_Applicant / Entity,query_Property Name,query_City,query_County
128102080,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$1,202.00",-,,,,,,,,,,,
128102070,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$1,202.00",-,,,,,,,,,,,
128102060,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$1,202.00",-,,,,,,,,,,,
128102050,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$32,653.00",-,,,,,,,,,,,
128102040,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$32,653.00",-,,,,,,,,,,,
128102030,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$32,697.00",-,,,,,,,,,,,
128102020,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$32,612.00",-,,,,,,,,,,,
128102010,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$40,431.00",-,,,,,,,,,,,
128102210,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$47,216.00",-,,,,,,,,,,,
128102200,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$29,071.00",-,,,,,,,,,,,
128102190,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$29,025.00",-,,,,,,,,,,,
128102180,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$29,025.00",-,,,,,,,,,,,
128102170,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$29,025.00",-,,,,,,,,,,,
128102160,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$7,331.00",-,,,,,,,,,,,
128102150,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$7,331.00",-,,,,,,,,,,,
128102140,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$6,988.00",-,,,,,,,,,,,
128102130,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$1,018.00",-,,,,,,,,,,,
128102120,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$1,223.00",-,,,,,,,,,,,
128103090,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$1,507.00",-,,,,,,,,,,,
128103080,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$1,101.00",-,,,,,,,,,,,
128103070,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$1,101.00",-,,,,,,,,,,,
128103060,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$1,101.00",-,,,,,,,,,,,
128103050,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$1,101.00",-,,,,,,,,,,,
128103040,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$29,932.00",-,,,,,,,,,,,
128103030,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$29,932",-,,,,,,,,,,,
128103020,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$29,932",-,,,,,,,,,,,
128103010,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$55,923",-,,,,,,,,,,,
128103180,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$47,738",-,,,,,,,,,,,
128103170,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$27,211",-,,,,,,,,,,,
128103160,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$27,211",-,,,,,,,,,,,
128103150,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$27,211",-,,,,,,,,,,,
128103140,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$6,874",-,,,,,,,,,,,
128103130,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$6,874",-,,,,,,,,,,,
128103120,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$6,874",-,,,,,,,,,,,
128103110,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$6,874",-,,,,,,,,,,,
128103100,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$8,329",-,,,,,,,,,,,
128105060,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,-,-,,,,,,,,,,,
128105050,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$11,538",-,,,,,,,,,,,
128105040,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$11,625",-,,,,,,,,,,,
128105030,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$11,618",-,,,,,,,,,,,
128105020,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$11,609",-,,,,,,,,,,,
128105010,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$11,771",-,,,,,,,,,,,
128104020,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$56,604",-,,,,,,,,,,,
128104010,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$60,404",-,,,,,,,,,,,
6320-011-041,2701 RANDOLPH ST HUNTINGTON PARK CA,,,,,,,,"$34,540,259","$31,941,172",,,,,,,,BG Apartments Investors LP,Seville Gardens Apartments,Huntington Park,Los Angeles
7418-014-021,445 N AVALON BOULEVARD LOS ANGELES CA,,,,,,,,"$8,899,678",-,,,,,,,,"RMG Fee Avalon, LP, a California limited partnership",Harbour Residences Apartments,Los Angeles,Los Angeles
6020-022-025,7518 S HOOVER LOS ANGELES CA,,,,,,,,"$2,856,000",-,,,,,,,,"BIF NON OZ 7524 S HOOVER ST, LP",7524 S. Hoover St. Apartments,Los Angeles,Los Angeles
,4930 POLK ST NORTH HIGHLANDS CA 95660,,,,,,,,,,,,,,,,,"Sierra Park LP, a California Limited Partnership",Sierra Park Apartments,Unincorporated,Sacramento
5020-025-039,4327 S VERMONT LOS ANGELES CA,,,,,,,,"$3,719,558",-,,,,,,,,"IF OZ 4300 S VERMONT AVE BLK LP, a Delaware limited partnership",4327 S. Vermont Apartments,Los Angeles,Los Angeles
039-481-250,"3500 Edison St, San Mateo, CA",,,,,,,,"$31,083,000","$7,000",,,,,,,,Hillsdale Property LP,Hillsdale Garden Apartments,San Mateo,San Mateo
039-482-130,"3500 Edison St, San Mateo, CA",,,,,,,,"$62,932,900","$7,000",,,,,,,,Hillsdale Property LP,Hillsdale Garden Apartments,San Mateo,San Mateo
042-112-240,"3500 Edison St, San Mateo, CA",242 36TH AVE SAN MATEO,,,,,,,"$44,821,400","$7,000",,,,,,,,Hillsdale Property LP,Hillsdale Garden Apartments,San Mateo,San Mateo
042-113-250,"3500 Edison St, San Mateo, CA",3640 EDISON ST,,,,,,,"$31,161,700","$7,000",,,,,,,,Hillsdale Property LP,Hillsdale Garden Apartments,San Mateo,San Mateo
042-121-090,"3500 Edison St, San Mateo, CA",186 36TH AVE SAN MATEO,,,,,,,"$41,355,000",$0,,,,,,,,Hillsdale Property LP,Hillsdale Garden Apartments,San Mateo,San Mateo
042-122-050,"3500 Edison St, San Mateo, CA",3675 EDISON ST SAN MATEO,,,,,,,"$41,008,500",$0,,,,,,,,Hillsdale Property LP,Hillsdale Garden Apartments,San Mateo,San Mateo
7157031001,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2697 E 56TH WAY LONG BEACH CA 908055068,,,,,,,"$2,857,832","$1,693,979",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031002,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2687 E 56TH WAY LONG BEACH CA 908057003,,,,,,,"$2,780,364","$1,263,955",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031003,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2677 E 56TH WAY LONG BEACH CA 908055067,,,,,,,"$2,780,364","$1,516,689",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031004,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2667 E 56TH WAY LONG BEACH CA 908055066,,,,,,,"$2,806,895","$1,276,016",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031005,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2657 E 56TH WAY LONG BEACH CA 908055096,,,,,,,"$5,889,027","$2,263,665",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031006,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",5679 LANGPORT AVE LONG BEACH CA 908057012,,,,,,,"$2,633,916","$1,580,350",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031007,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",5649 LANGPORT AVE LONG BEACH CA 908055064,,,,,,,"$2,633,916","$790,176",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031008,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",5639 LANGPORT AVE LONG BEACH CA 908057010,,,,,,,"$2,633,916","$790,176",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031009,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",5599 LANGPORT AVE LONG BEACH CA 908057009,,,,,,,"$2,633,916","$526,784",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031010,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",5579 LANGPORT AVE LONG BEACH CA 908055063,,,,,,,"$2,633,916","$1,316,958",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031011,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",5549 LANGPORT AVE LONG BEACH CA 908057007,,,,,,,"$2,633,916","$1,316,958",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031012,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",5539 LANGPORT AVE LONG BEACH CA 908055061,,,,,,,"$2,659,386","$797,817",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031013,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2656 E 55TH WAY LONG BEACH CA 908055079,,,,,,,"$4,505,211","$2,375,621",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031014,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2666 E 55TH WAY LONG BEACH CA 908055080,,,,,,,"$2,728,365","$1,091,347",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031015,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2676 E 55TH WAY LONG BEACH CA 908055055,,,,,,,"$2,728,365","$818,511",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031016,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2686 E 55TH WAY LONG BEACH CA 908055084,,,,,,,"$2,728,365","$545,674",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031017,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2696 E 55TH WAY LONG BEACH CA 908055074,,,,,,,"$2,806,895","$1,403,448",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031018,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2666 E 56TH WAY LONG BEACH CA 908055073,,,,,,,"$2,728,365","$744,299",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031019,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2676 E 56TH WAY LONG BEACH CA 908055072,,,,,,,"$2,728,365","$2,232,349",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031020,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2686 E 56TH WAY LONG BEACH CA 908057002,,,,,,,"$2,728,365","$992,308",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031021,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2696 E 56TH ST LONG BEACH CA 908055058,,,,,,,"$2,806,895","$1,122,759",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031022,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2667 E 56TH ST LONG BEACH CA 908055089,,,,,,,"$2,728,365","$1,736,332",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031023,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2677 E 56TH ST LONG BEACH CA 908055071,,,,,,,"$2,728,365","$1,091,347",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031024,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2687 E 56TH ST LONG BEACH CA 908055093,,,,,,,"$2,728,835","$818,981",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031025,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2697 E 56TH ST LONG BEACH CA 908055095,,,,,,,"$2,809,395","$2,248,017",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031026,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2666 E 56TH ST LONG BEACH CA 908055088,,,,,,,"$2,728,365","$545,674",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031027,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2676 E 56TH ST LONG BEACH CA 908055060,,,,,,,"$2,728,365","$818,511",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031028,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2686 E 56TH ST LONG BEACH CA 908055092,,,,,,,"$2,728,365","$1,364,183",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031029,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2696 E 56TH ST LONG BEACH CA 908055058,,,,,,,"$2,806,895","$1,403,448",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031030,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2667 E 55TH WAY LONG BEACH CA 908055081,,,,,,,"$2,728,365","$1,637,020",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031031,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2677 E 55TH WAY LONG BEACH CA 908055083,,,,,,,"$2,728,365","$1,091,347",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031032,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2687 E 55TH WAY LONG BEACH CA 908055057,,,,,,,"$2,728,365","$1,091,347",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
7157031033,"5601 NORTH PARAMOUNT BOULEVARD, Long Beach",2697 E 55TH WAY LONG BEACH CA 908055087,,,,,,,"$2,806,895","$1,403,448",,,,,,,,,AVANATH SEAPORT LP,Long Beach,Los Angeles
56-1954-9,651 ADDISON ST BERKELEY CA 94710,2020 3RD ST BERKELEY 94710,,,,,,,"$31,916,224",$0,,,,,,,,651 Addison LLC,Viewpoint Apartments,Berkeley,Alameda
284-24-015,2130 SOUTHWEST EXPY SAN JOSE CA 95126,"2070 Southwest Ex, San Jose, CA 95128",,,,,,,"$36,559,633","$18,850,147",,,,,,,,BWF III Ethos CA Los Gatos Creek LP,SoFi Los Gatos Creek Apartments,San Jose,Santa Clara
5049-009-082,2533 S MANSFIELD AVE LOS ANGELES CA 90016,N/A,,,,,,,"$2,065,837",-,,,,,,,,"2533 Mansfield Owner, L.P., a California limited partnership",Mansfield Micro Apartments,Los Angeles,Los Angeles
263-241-46,7777 VALLEY VIEW STREET LA PALMA CA,7799 VALLEY VIEW ST LA PALMA,,,,,,,"$53,482,929","$53,482,929",,,,,,,,"7777 Valley View, L.P., a California limited partnership",Casa La Palma Apartments,La Palma,Orange
2731-008-014,10535 LINDLEY AVE GRANADA HILLS CA 91326,,,,,,,,"$14,893,295",-,,,,,,,,10535 Lindley Affordable L.P.,Lindley Parc Apartments,Los Angeles,Los Angeles
006312850,26 TERRACE VIEW CT DALY CITY CA 94015,"4 Terrace View Ct, Daly City, CA 94015",,,,,,,"$3,870,288",-,,,,,,,,SFF 4 LLC,Terrace View Apartments,Daly City,San Mateo
006312860,26 TERRACE VIEW CT DALY CITY CA 94015,"35 Eastmoor Ave, Daly City, CA 94015",,,,,,,"$4,765,032",-,,,,,,,,SFF 4 LLC,Terrace View Apartments,Daly City,San Mateo
006312870,26 TERRACE VIEW CT DALY CITY CA 94015,"45 Eastmoor Ave, Daly City, CA 94015",,,,,,,"$4,452,912",-,,,,,,,,SFF 4 LLC,Terrace View Apartments,Daly City,San Mateo
006312880,26 TERRACE VIEW CT DALY CITY CA 94015,"55 Eastmoor Ave, Daly City, CA 94015",,,,,,,"$4,317,660",-,,,,,,,,SFF 4 LLC,Terrace View Apartments,Daly City,San Mateo
006312890,26 TERRACE VIEW CT DALY CITY CA 94015,"65 Eastmoor Ave, Daly City, CA 94015",,,,,,,"$4,317,660",-,,,,,,,,SFF 4 LLC,Terrace View Apartments,Daly City,San Mateo
006312900,26 TERRACE VIEW CT DALY CITY CA 94015,"75 Eastmoor Ave, Daly City, CA 94015",,,,,,,"$4,713,012",-,,,,,,,,SFF 4 LLC,Terrace View Apartments,Daly City,San Mateo
006312910,26 TERRACE VIEW CT DALY CITY CA 94015,"85 Eastmoor Ave, Daly City, CA 94015",,,,,,,"$5,784,624",-,,,,,,,,SFF 4 LLC,Terrace View Apartments,Daly City,San Mateo
006312920,26 TERRACE VIEW CT DALY CITY CA 94015,"95 Eastmoor Ave, Daly City, CA 94015",,,,,,,"$2,590,596",-,,,,,,,,SFF 4 LLC,Terrace View Apartments,Daly City,San Mateo
5036-031-006,1451 W MLK BLVD LOS ANGELES CA,,,,,,,,"$1,569,525",-,,,,,,,,1451 W. MLK Boulevard Apartments,1451 W. MLK Boulevard Apartments,Los Angeles,Los Angeles
6011-008-052,321 E FLORENCE AVE LOS ANGELES CA,,,,,,,,"$5,960,901",-,,,,,,,,"3 SIOF 321 E Florence Ave, LP",321 E. Florence Apartments,Los Angeles,Los Angeles
7451-037-031,"569 W 6TH STREET, San Pedro, CA",,,,,,,,"$1,363,864",-,,,,,,,,"SIOF 5 Properties, LP, California limited partnership",569 W. 6th Street Apartments,Los Angeles,Los Angeles
2695-003-001,17188 CHATSWORTH ST LOS ANGELES CA,,,,,,,,"$647,700",-,,,,,,,,"Chatsworth Housing, LP",Chatsworth Apartments,Los Angeles,Los Angeles
8576-001-024,4640 ARDEN WAY EL MONTE CA 91731,,,,,,,,"$45,150,518",-,,,,,,,,"Flag VII The Parker, L.P.",The Parker Apartments,El Monte,Los Angeles
372-26-016,1026 S DE ANZA BLVD SAN JOSE CA 95129,"1028 S De Anza Bl, San Jose, CA 95129",,,,,,,"$4,853,048",-,,,,,,,,"Fountain Park, L.P.",Fountain Park Apartments,San Jose,Santa Clara
296-40-005,355 KIELY BLVD SAN JOSE CA 95129,"355 Kiely Bl, San Jose, CA 95129",,,,,,,"$129,482,004",-,,,,,,,,"Standard Vistria Park Kiely Owner, LP",Park Kiely Apartments,San Jose,Santa Clara
296-40-004,355 KIELY BLVD SAN JOSE CA 95129,"4240 Albany Dr, San Jose, CA 95129",,,,,,,"$95,469,825",-,,,,,,,,"Standard Vistria Park Kiely Owner, LP",Park Kiely Apartments,San Jose,Santa Clara
296-40-003,355 KIELY BLVD SAN JOSE CA 95129,"4280 Albany Dr, San Jose, CA 95129",,,,,,,"$72,364,911",-,,,,,,,,"Standard Vistria Park Kiely Owner, LP",Park Kiely Apartments,San Jose,Santa Clara
5094-021-028,832 IROLO STREET LOS ANGELES CA,932 IROLO STREET LOS ANGELES CA,,,,,,,,,,,,,,,,Irolo 16 LLLP,Irolo Apartments,Los Angeles,Los Angeles
684-29-011,5210 MONTEREY RD SAN JOSE CA 95111,"5150 Monterey Rd, San Jose, CA 95111",,,,,,,"$51,700,304","$51,700,304",,,,,,,,"Thornbridge Holdings, L.P.",Thornbridge Apartments,San Jose,Santa Clara
684-28-078,5210 MONTEREY RD SAN JOSE CA 95111,"70 Crocker Ct, San Jose, CA 95111",,,,,,,"$8,396,294","$8,396,294",,,,,,,,"Thornbridge Holdings, L.P.",Thornbridge Apartments,San Jose,Santa Clara
41805060,5669 N FRESNO ST FRESNO CA 93710,5669 N FRESNO ST FRESNO CA 93710,,,,,,,"$30,330,305",-,,,,,,,,"Post Renaissance Apartments, LP",Renaissance Apartment Homes,Fresno,Fresno
4125-011-010,9033 RAMSGATE AVENUE WESTCHESTER CA,9033 RAMSGATE AVENUE WESTCHESTER CA,,,,,,,"$1,206,999",-,,,,,,,,9033 Ramsgate LP,9033 Ramsgate Apartments,Los Angeles,Los Angeles
5134-017-016,1317 S GRAND AVE LOS ANGELES CA 90015,1317 S GRAND AVE LOS ANGELES CA 90015,,,,,,,,,,,,,,,,"1317 SGA QOZB, LP or an affiliate thereof",1317 S. Grand Apartments,Los Angeles,Los Angeles
5134-009-008,1411 S FLOWER ST LOS ANGELES CA 90015,1411 S FLOWER ST LOS ANGELES CA 90015,,,,,,,,,,,,,,,,Housing Diversity or an affiliate thereof,1411 S. Flower Apartments,Los Angeles,Los Angeles
5134-009-007,1412 S FLOWER ST LOS ANGELES CA 90015,1419 S FLOWER ST LOS ANGELES CA 90015,,,,,,,,,,,,,,,,Housing Diversity or an affiliate thereof,1411 S. Flower Apartments,Los Angeles,Los Angeles
5109-003-014,4752 S MAIN ST LOS ANGELES CA 90037,4752 S MAIN ST LOS ANGELES CA 90037,,,,,,,,,,,,,,,,"4752 Main, LP",4752 Main Street Apartments,Los Angeles,Los Angeles
5109-003-001,4752 S MAIN ST LOS ANGELES CA 90037,4760 S MAIN ST LOS ANGELES CA 90037,,,,,,,,,,,,,,,,"4752 Main, LP",4752 Main Street Apartments,Los Angeles,Los Angeles
5020-017-007,1130 W MARTIN LUTHER KING JR BLVD LOS ANGELES CA 90037,1130 W MARTIN LUTHER KING JR BLVD LOS ANGELES CA 90037,,,,,,,,,,,,,,,,"BIF NON OZ 1100 MLK BLK, LP, a California limited partnership",1130 Martin Luther King Jr. Blvd Apartments,Los Angeles,Los Angeles
428-16-49,"21701 FOOTHILL BLVD, HAYWARD, CA 94541","21701 FOOTHILL BLVD, HAYWARD, CA 94541",,,,,,,"$38,656,726",-,,,,,,,,Standard Properties or an affiliated thereof,Summerwood Apartments Homes Apartments,Hayward,Alameda
5409-005-030,1457 N MAIN ST LOS ANGELES CA 90012,1457 N MAIN ST LOS ANGELES CA 90012,,,,,,,,,,,,,,,,1457 Main Owner LP,1457 Main Street Apartments,Los Angeles,Los Angeles
6087-002-036,11422 S BROADWAY LOS ANGELES CA 90061,11422 S BROADWAY LOS ANGELES CA 90061,,,,,,,,,,,,,,,,"BIF IMPACT OZ 1100 BROADWAY BLK, LP",11422 Broadway Apartments,Los Angeles,Los Angeles
5159-020-012,1540 W COURT ST LOS ANGELES CA 90026,1536 W COURT ST Los Angeles CA 90026,,,,,,,,,,,,,,,,"1540 W. Court Street, LP",1540 W Court Apartments,Los Angeles,Los Angeles
5159-020-013,1540 W COURT ST LOS ANGELES CA 90026,1540 W COURT ST LOS ANGELES CA 90026,,,,,,,,,,,,,,,,"1541 W. Court Street, LP",1541 W Court Apartments,Los Angeles,Los Angeles
5159-020-014,1540 W COURT ST LOS ANGELES CA 90026,-,,,,,,,,,,,,,,,,"1542 W. Court Street, LP",1542 W Court Apartments,Los Angeles,Los Angeles
5159-020-015,1540 W COURT ST LOS ANGELES CA 90026,1552 W COURT ST LOS ANGELES CA 90026,,,,,,,,,,,,,,,,"1543 W. Court Street, LP",1543 W Court Apartments,Los Angeles,Los Angeles
5159-020-011,1540 W COURT ST LOS ANGELES CA 90026,-,,,,,,,,,,,,,,,,"1544 W. Court Street, LP",1544 W Court Apartments,Los Angeles,Los Angeles
5159-020-010,1540 W COURT ST LOS ANGELES CA 90026,-,,,,,,,,,,,,,,,,"1545 W. Court Street, LP",1545 W Court Apartments,Los Angeles,Los Angeles
5159-020-009,1540 W COURT ST LOS ANGELES CA 90026,1520 W COURT ST LOS ANGELES CA 90026,,,,,,,,,,,,,,,,"1546 W. Court Street, LP",1546 W Court Apartments,Los Angeles,Los Angeles
6083-010-038,"11630 Main St, Los Angeles, CA 90061",-,,,,,,,,,,,,,,,,"4 SIOF 11630 S MAIN ST, LP",11630 S. Main Street Apartments,Los Angeles,Los Angeles
123-140-018,"740 S. Western Avenue, Santa Maria, CA 93458","740 S WESTERN AVE, SANTA MARIA, CA 93458",,,,,,,"$6,695,000",-,,,,,,,,LP,La Vista Apartment Homes,Santa Maria,Santa Barbara
123-140-019,"740 S. Western Avenue, Santa Maria, CA 93458",-,,,,,,,"$4,460,000",-,,,,,,,,LP,La Vista Apartment Homes,Santa Maria,Santa Barbara
123-140-020,"740 S. Western Avenue, Santa Maria, CA 93458",-,,,,,,,"$4,460,000",-,,,,,,,,LP,La Vista Apartment Homes,Santa Maria,Santa Barbara
123-140-021,"740 S. Western Avenue, Santa Maria, CA 93458",-,,,,,,,"$7,113,000",-,,,,,,,,LP,La Vista Apartment Homes,Santa Maria,Santa Barbara
,"2130 N Marks Ave, Fresno, CA 93722",,,,,,,,"$10,673,404",,,,,,,,,Golden Gardens Housing Partners LP,Golden Gardens Apartments,Fresno,Fresno
6022-014-002,"7655 S San Pedro St, Los Angeles, CA 90003",7655 S SAN PEDRO ST LOS ANGELES CA 90003,,,,,,,,,,,,,,,,"7655 San Pedro, LP",San Pedro Apartments,Los Angeles,Los Angeles
41-4166-54,"805 71st Avenue, Oakland, CA","805 71ST AVE, OAKLAND, CA 94621",,,,,,,-,-,,,,,,,,"Coliseum Transit Village One, LP",Coliseum Connections,Oakland,Alameda
4276-017-047,"2424 Wilshire Blvd, Los Angeles, CA 90057",2424 WILSHIRE BLVD SANTA MONICA CA 90403,,,,,,,,,,,,,,,,Concord Park Wilshire LP,Park Wilshire Apartments,Los Angeles,Los Angeles
5093-010-009,"841 S Serrano Ave, Los Angeles, CA 90005",841 S SERRANO AVE LOS ANGELES CA 90005,,,,,,,,,,,,,,,,Concord Sir Francis Drake LP,Sir Francis Drake Villa Apartments,Los Angeles,Los Angeles
5094-004-007,"715 Normandie Ave, Los Angeles, CA 90005",715 S NORMANDIE AVE LOS ANGELES CA 90005,,,,,,,,,,,,,,,,Concord Langham LP,Langham Apartments,Los Angeles,Los Angeles
5094-002-004,"682 Irolo Street, Los Angeles, CA",682 IROLO ST LOS ANGELES CA 90005,,,,,,,,,,,,,,,,Concord Piccadilly LP,Piccadilly Apartments,Los Angeles,Los Angeles
7157-012-023,"5565-5700 Ackerfield Avenue, Long Beach, CA",5700 ACKERFIELD AVE LONG BEACH CA 90805,,,,,,,,,,,,,,,,Ackerfield 2 LP,The Hive at Ackerfield Apartments,Long Beach,Los Angeles
7157-012-017,"5565-5700 Ackerfield Avenue, Long Beach, CA",5565 ACKERFIELD AVE LONG BEACH CA 90805,,,,,,,,,,,,,,,,Ackerfield 2 LP,The Hive at Ackerfield Apartments,Long Beach,Los Angeles
7075-020-011,"12100 226th St, Hawaiian Gardens, CA 90716",12100 226TH ST HAWAIIAN GARDNS CA 90716,,,,,,,,,,,,,,,,"RK Equity Group Limited Partnership, 12142 Oxnard Limited Partnership, HG Napa Equity Limited
Partnership, HG FSA Capital Limited Partnership",Hawaiian Terrace Senior Apartments,Hawaiian Gardens,Los Angeles
7075-020-012,"12100 226th St, Hawaiian Gardens, CA 90716",12100 226TH ST HAWAIIAN GARDENS CA 90716,,,,,,,,,,,,,,,,"RK Equity Group Limited Partnership, 12142 Oxnard Limited Partnership, HG Napa Equity Limited
Partnership, HG FSA Capital Limited Partnership",Hawaiian Terrace Senior Apartments,Hawaiian Gardens,Los Angeles
