cand_parcelnumb_no_formatting,query_Address,cand_address,cand_usecode,cand_usedesc,cand_zoning,cand_zoning_description,cand_numunits,cand_parvaltype,cand_parval,exemption value,cand_owner,cand_mailadd,cand_saddno,cand_saddstr,cand_county,cand_gisacre,cand_ll_gisacre,query_Applicant / Entity,query_Property Name,query_City,query_County
5518027010,3715 W 1ST STREET LOS ANGELES CA,3715 W 1ST ST LOS ANGELES CA 90004-5848,550,Residential - Five or more apartments,R3-1,Multiple Residential,55,GROSS ASSESSED,"$11,906,753",,3715 W 1ST STREET LLC,PO BOX 46342,3715,1ST,los-angeles,,0.25832,3715 W 1st Street LLLP,Seven Lions Apartments,Los Angeles,Los Angeles
21332022,3765 TAMARACK LN SANTA CLARA CA 95051,3765 TAMARACK LN SANTA CLARA CA 95051-2571,4,Five or more Family,R3-25D,Moderate Density Multiple Dwelling,114,ASSESSED,"$27,979,060",,MONTECITO SANTA CLARA LLC,777 S CALIFORNIA AVE STE 100,3765,TAMARACK,santa-clara,2.09,2.09115,"Flag VII Montecito, L.P.",Montecito Apartments,San Jose,Santa Clara
50115064010,38000 CAMDEN ST FREMONT CA 94536,38000.0 CAMDEN ST FREMONT CA 94536-5169,7700,,P-63-2,Planned District 63 2,192,ASSESSED,"$73,418,537",,CAMDEN STREET APARTMENTS LLC,7 CORPORATE PARK DR,38000,CAMDEN,alameda,,10.94495,"Flag VII Camden Village, L.P.",Camden Village Apartments,Fremont,Alameda
0345012C,381 TURK ST SAN FRANCISCO CA,381 TURK ST SAN FRANCISCO CA 94102-3749,,,RC-4-80-T,Residential Commercial High Density,32,ASSESSED,"$7,398,189",,381 TURK STREET ASSOCIATES LLC,220 MONTGOMERY ST FL 20,381,TURK,san-francisco,,0.14125,381 Turk Street Associates,381 Turk Street Apartment,San Francisco,San Francisco
3004004033,38441 5TH ST W PALMDALE CA 93551,38441 5TH ST W PALMDALE CA 93551-4262,501,Residential - Five or more apartments,RN-2,Residential Neighborhood 2,296,GROSS ASSESSED,"$14,702,565",,PALM CHAPARRAL APARTMENTS LLC,8149 SANTA MONICA BLVD PMB 298,38441,5TH,los-angeles,,18.7347,"Post Chaparral, LP",Chaparral Apartments,Palmdale,Los Angeles
01419405,400 CANAL ST SAN RAFAEL CA 94901,400 CANAL ST SAN RAFAEL CA 94901-4173,21,Multiple-Resid. - Improved,HR1-C,High Density Multi Family Residential And Canalfront Review Overlay District,98,,"$33,879,341",-,400 MERIDIAN LP,2191 MARKET ST,400,CANAL,marin,2.526,2.52513,"400 Meridian, LP, a California limited partnership",Meridian Apartments,San Rafael,Marin
5032015003,4101 SOMERSET DRIVE LOS ANGELES CA,4101 SOMERSET DR LOS ANGELES CA 90008-3465,500,Residential - Five or more apartments,C2-1-SP,Commercial Specific Plan,4,GROSS ASSESSED,"$3,451,872",,3 SIOF 4101 SOMERSET DR LLC,8629 S VERMONT AVE,4101,SOMERSET,los-angeles,,0.21107,"6 SIOF 4101 Somerset Dr, LP",4101 Somerset Dr. Apartments,Los Angeles,Los Angeles
4231018020,4129 CENTINELA AVENUE LOS ANGELES CA 90066,4129 S CENTINELA AVE LOS ANGELES CA 90066-4908,1100,Commercial - Stores,C2-1,Commercial,0,GROSS ASSESSED,"$1,630,000",,PASSO CENTINELA LP,121 S PALM DR APT 301,4129,CENTINELA,los-angeles,,0.11423,"Passo Centinela, LP",Passo Centinela I Apartments,Los Angeles,Los Angeles
5021028002,4209 S WESTERN AVE LOS ANGELES CA 90062,4209 S WESTERN AVE LOS ANGELES CA 90062-1643,1210,Commercial - Store Combination,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,25,GROSS ASSESSED,"$10,924,200",,BIF NON OZ 4209 WESTERN AVE LP,1000 E 60TH ST,4209,WESTERN,los-angeles,,0.14935,"BIF NON OZ 4209 WESTERN AVE, LP",4209 Western Avenue Apartments,Los Angeles,Los Angeles
5021009036,4228 WESTERN AVENUE LOS ANGELES CA,4228 S WESTERN AVE LOS ANGELES CA 90062-1642,1100,Commercial - Stores,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,0,GROSS ASSESSED,"$17,790,840",,BIF NON 4228 WESTERN AVE LP,1000 E 60TH ST,4228,WESTERN,los-angeles,,0.3961,"BIF NON OZ 4228 WESTERN AVE, LP",4228 Western Ave. Apartments,Los Angeles,Los Angeles
