project_id,county,property,ain,legacy_ain,legacy_redundant,apn,situs_address,situs_city,situs_zip,input_address,property_name,tract_number,method,use_description,use_type,use_code,year_built,units,bedrooms,bathrooms,sqft,roll_year,roll_land_value,roll_imp_value,roll_total_value,roll_land_base_year,roll_imp_base_year,real_estate_exemp,tax_rate_area,tax_rate_city,latitude,longitude,legal_description,notes,CMFA Total Units,CMFA Restricted,Total Tax Rate
37,Los Angeles,2330 E. 3rd Street Apartments,5183013023,5183013001,False,5183-013-023,2330 E 3RD ST,LOS ANGELES CA,90033-4012,"2330 E. 3rd Street, Los Angeles, CA",2330 E. 3rd Street Apartments,,parcel_in_transition,Vacant Land,,,,,,,,2025,1275000,0,1275000,2025,,,4,LOS ANGELES,34.04134208,-118.21155602,,Legacy AIN 5183013001 consolidated to 5183013023,53,53,0.0118738
38,Los Angeles,Marquee Apartments,2321001019,,False,2321-001-019,12300 SHERMAN WAY LOS ANGELES CA 91605,LOS ANGELES CA,91605-5527,"12300 Sherman Way, North Hollywood, CA 91605",Marquee Apartments,,manual_verified,Five or more apartments,Residential,501,1965,236,99,99,135223,2025,29800000,14000000,43800000,2025,2025,0,13,LOS ANGELES,34.19994479,-118.40139209,"LOT COM AT SW COR OF LOT 1 TR NO 28781 TH N 89¢56'39"" W TO SE LINE OF HOLLYWOOD FRWY TH NE THEREON TO W LINE OF SD LOT TH N AND FOLLOWING BDRY LINE OF SD LOT TO BEG   ALL OF LOT 1 TRACT NO 28781 AND PART OF LOT 7 TRACT NO 2514 AND PART OF LOT 14 TRACT NO 2198",,236,236,0.0118738
39,Los Angeles,6200 S. Broadway Apartments,6005021032,,False,6005-021-032,6200 S BROADWAY LOS ANGELES CA 90003,LOS ANGELES CA,90003-1430,"6200 S Broadway, Los Angeles, CA",6200 S. Broadway Apartments,,manual_verified,Commercial,Commercial,100V,2012,1,0,1,1488,2025,1326510,0,1326510,2023,2023,0,6659,LOS ANGELES,33.98309442,-118.277933,WALTERS' MAIN ST AND MONETA AVE TRACT NO 2 EX OF ST LOTS 181 AND LOT  182,,66,51,0.0118738
40,Los Angeles,4228 Western Ave. Apartments,5021009036,,False,5021-009-036,4238 S WESTERN AVE LOS ANGELES CA 90062,LOS ANGELES CA,90062-1642,"4228 Western Avenue, Los Angeles, CA",4228 Western Ave. Apartments,,manual_verified,Stores,Commercial,1100,2024,68,76,76,40081,2025,17790840,0,17790840,2023,2023,0,212,LOS ANGELES,34.00635241,-118.30856925,"DARTMOUTH SQUARE LOTS 7, 8 AND 9",,68,14,0.0118738
41,Los Angeles,4327 S. Vermont Apartments,5020025039,,False,5020-025-039,4301 S VERMONT AVE LOS ANGELES CA 90037,LOS ANGELES CA,90037-2411,"4327 S Vermont, Los Angeles, CA",4327 S. Vermont Apartments,,manual_verified,Stores,Commercial,1100,1968,11,0,0,10486,2025,3529071,190487,3719558,2023,2023,0,6660,LOS ANGELES,34.00491555,-118.29205355,P.M.6-70 LOT B,,188,111,0.0118738
42,Los Angeles,2023 Imperial Apartments,6083001009,,False,6083-001-009,110 E IMPERIAL HWY LOS ANGELES CA 90061,LOS ANGELES CA,90061-2543,"110 Imperial Highway, Los Angeles, CA",2023 Imperial Apartments,,manual_verified,Lgt Manf.Sm. EQPT. Manuf Sm.Shps Instr.Manuf. Prnt Plnts,Industrial,3100,1951,0,0,0,7675,2025,213261,216103,429364,2004,2004,0,6654,LOS ANGELES,33.93076254,-118.27311366,TRACT NO 3598 LOT COM AT MOST S COR OF LOT 9 TH N 54 DEG 17 M1N 2O SEC W 145.46 FT TH N ON A CURVE CONCAVE TO E RAD1US EQUALS 4O FT 37.51 FT TH N 44 DEG 38 M1N 56 SEC E 11.31 FT TH N 89 DEG 38 M1N 56 SEC E 126.42 FT TH S O DEG 33 M1N 3O SEC E 126.89 FT TO BEG PART OF LOT    9,,90,71,0.0118738
43,Marin,Meridian Apartments,01419405,,False,,400 CANAL ST SAN RAFAEL CA 94901-4173,,,,,,,,,,,,,,,,-,-,33879341,,,,San Rafael,,,,,,99,99,0.01084
44,Los Angeles,Soto Apartments,5180001024,5180001013,False,5180-001-024,228 N SOTO ST,LOS ANGELES CA,90033-2915,"228 N Soto Street, Los Angeles, CA",Soto Apartments,,parcel_in_transition,Vacant Land,,,,,,,,2025,1560600,948500,2509100,2023,2025,0,12703,LOS ANGELES,34.04586647,-118.2079048,,Legacy AIN 5180001013 consolidated to 5180001024,41,40,0.0118738
45,Orange,Horizon Apartments,39626156,,False,,2414 N TUSTIN AVE SANTA ANA CA 92705-1602,,,,,,,,,,,,,,,,22102919,3397081,25500000,,,,Santa Ana,,,,,,406,406,0.011195
45,Orange,Horizon Apartments,39626155,,False,,2414 N TUSTIN AVE SANTA ANA CA 92705-1602,,,,,,,,,,,,,,,,88942193,14757807,103700000,,,,11-036,SANTA ANA,,,,,,,
46,Los Angeles,4752 Main Street Apartments,5109003014,,False,5109-003-014,4752 S MAIN ST LOS ANGELES CA 90037,LOS ANGELES CA,90037-3251,"4752 Main St, Los Angeles, CA 90037",4752 Main Street Apartments,,manual_verified_multi,Parking Lots (Commercial Use Properties),Commercial,2700,1955,1,0,0,5400,2025,599666,1081,600747,2021,2021,0,6659,LOS ANGELES,33.99975865,-118.27360606,TRACT # 2816 LOT    1,Multi-parcel (2),53,53,0.0118738
46,Los Angeles,4752 Main Street Apartments,5109003001,,False,5109-003-001,4760 S MAIN ST LOS ANGELES CA 90037,LOS ANGELES CA,90037-3251,"4752 Main St, Los Angeles, CA 90037",4752 Main Street Apartments,,manual_verified_multi,Parking Lots (Commercial Use Properties),Commercial,2700,1955,1,0,0,5625,2025,697085,1081,698166,2021,2021,0,6659,LOS ANGELES,33.99994304,-118.27370905,LINN HOME TRACT W 75 FT OF LOTS 1 AND LOT    2,Multi-parcel (2),53,53,0.0118738
47,San Diego,6171 Mission Gorge Apartments,4610304300,,False,,6171.0 MISSION GORGE RD SAN DIEGO CA 92120-3426,,,,,,,,,,,,,,,,-,-,13362000,,,,San Diego,,,,,,488,483,0.0125114
48,San Mateo,Hillsdale Gardens Apartments,039-481-250,,False,,"3500 Edison St, San Mateo, CA",,,,,,,,,,,,,,,,-,-,31083000,,,7000,San Mateo,,,,,,697,697,0.011201
48,San Mateo,Hillsdale Gardens Apartments,039-482-130,,False,,"3500 Edison St, San Mateo, CA",,,,,,,,,,,,,,,,-,-,62932900,,,7000,San Mateo,,,,,,697,697,0.011201
48,San Mateo,Hillsdale Gardens Apartments,042-112-240,,False,,242 36TH AVE SAN MATEO,,,,,,,,,,,,,,,,-,-,44821400,,,7000,San Mateo,,,,,,697,697,0.011201
48,San Mateo,Hillsdale Gardens Apartments,042-113-250,,False,,3640 EDISON ST,,,,,,,,,,,,,,,,-,-,31161700,,,7000,San Mateo,,,,,,697,697,0.011201
48,San Mateo,Hillsdale Gardens Apartments,042-121-090,,False,,186 36TH AVE SAN MATEO,,,,,,,,,,,,,,,,-,-,41355000,,,0,San Mateo,,,,,,697,697,0.011201
48,San Mateo,Hillsdale Gardens Apartments,042-122-050,,False,,3675 EDISON ST SAN MATEO,,,,,,,,,,,,,,,,-,-,41008500,,,0,San Mateo,,,,,,697,697,0.011201
49,Alameda,Summerwood Apartments Homes Apartments,428-16-49,,False,,"21701 FOOTHILL BLVD, HAYWARD, CA 94541",,,,,,,,,,,,,,,,9734661,28843440,38656726,,,,Hayward,,,,,,162,162,0.011724
50,San Diego,Market Street Village Apartments,5351441500,,False,,699.0 14TH ST SAN DIEGO CA 92101-7586,,,,,,,,,,,,,,,,-,-,53339453,,,,San Diego,,,,,,229,229,0.0125114
51,San Diego,Creekside Villas Apartments,5473131800,,False,,220 47TH ST SAN DIEGO CA 92102-5037,,,,,,,,,,,,,,,,-,-,5832864,,,,San Diego,,,,,,145,144,0.0125114
52,Sacramento,The Carla Apartments,28501900330000,,False,,1201.0 FULTON AVE SACRAMENTO CA 95825-7386,,,,,,,,,,,,,,,,-,-,15111810,,,,Sacramento,,,,,,63,62,0.011454
53,Sacramento,Skylark Place by Trion Living Apartments,26003700120000,,False,,6930.0 FAIR OAKS BLVD CARMICHAEL CA 95608-3369,,,,,,,,,,,,,,,,-,-,12145525,,,,Carmichael,,,,,,198,198,0.011873
54,Los Angeles,Seaport Village Apartments,7157031001,,False,7157-031-001,2697 E 56TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-5068,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,501,1963,10,21,16,9608,2025,857455,2000377,2857832,2022,2022,1693979,7211,LONG BEACH,33.85882359,-118.16026011,TRACT NO 27326 LOT    1,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031002,,False,7157-031-002,2687 E 56TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-7003,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1963,11,19,16,9608,2025,779987,2000377,2780364,2022,2022,1263955,7211,LONG BEACH,33.85881999,-118.16060543,TRACT NO 27326 LOT    2,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031003,,False,7157-031-003,2677 E 56TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-5067,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1963,11,19,16,9608,2025,779987,2000377,2780364,2022,2022,1516689,7211,LONG BEACH,33.85881736,-118.16093316,TRACT NO 27326 LOT    3,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031004,,False,7157-031-004,2667 E 56TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-5066,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1963,11,19,16,9608,2025,806518,2000377,2806895,2022,2022,1276016,7211,LONG BEACH,33.85881516,-118.16126232,TRACT NO 27326 LOT    4,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031005,,False,7157-031-005,2657 E 56TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-5096,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,501,1963,21,33,25,16663,2025,1580138,4276668,5856806,2022,2022,2231444,7211,LONG BEACH,33.8588042,-118.16169206,TRACT NO 27326 LOT    5,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031006,,False,7157-031-006,5679 LANGPORT AVE LONG BEACH CA 90805,LONG BEACH CA,90805-7012,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1963,10,20,16,9280,2025,702518,1931398,2633916,2022,2022,1580350,7211,LONG BEACH,33.85853736,-118.1617871,TRACT NO 27326 LOT    6,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031007,,False,7157-031-007,5649 LANGPORT AVE LONG BEACH CA 90805,LONG BEACH CA,90805-5064,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1963,10,20,16,9280,2025,702518,1931398,2633916,2022,2022,790176,7211,LONG BEACH,33.85828173,-118.161799,TRACT NO 27326 LOT    7,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031008,,False,7157-031-008,5639 LANGPORT AVE LONG BEACH CA 90805,LONG BEACH CA,90805-7010,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1963,10,20,16,9280,2025,702518,1931398,2633916,2022,2022,790176,7211,LONG BEACH,33.85803056,-118.16179713,TRACT NO 27326 LOT    8,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031009,,False,7157-031-009,5599 LANGPORT AVE LONG BEACH CA 90805,LONG BEACH CA,90805-7009,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1963,10,20,16,9280,2025,702518,1931398,2633916,2022,2022,526784,7211,LONG BEACH,33.85777776,-118.16179606,TRACT NO 27326 LOT    9,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031010,,False,7157-031-010,5579 LANGPORT AVE LONG BEACH CA 90805,LONG BEACH CA,90805-5063,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1963,10,20,16,9280,2025,702518,1931398,2633916,2022,2022,1316958,7211,LONG BEACH,33.8575211,-118.16179379,TRACT NO 27326 LOT   10,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031011,,False,7157-031-011,5549 LANGPORT AVE LONG BEACH CA 90805,LONG BEACH CA,90805-7007,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1962,10,20,16,9280,2025,702518,1931398,2633916,2022,2022,1316958,7211,LONG BEACH,33.85726332,-118.16179233,TRACT NO 27326 LOT   11,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031012,,False,7157-031-012,5539 LANGPORT AVE LONG BEACH CA 90805,LONG BEACH CA,90805-5061,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1962,10,20,16,9280,2025,727988,1931398,2659386,2022,2022,797817,7211,LONG BEACH,33.85700307,-118.1617762,TRACT NO 27326 LOT   12,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031013,,False,7157-031-013,2656 E 55TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-5079,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,501,1962,20,30,24,15036,2025,1299979,3173011,4472990,2022,2022,2343400,7211,LONG BEACH,33.85674802,-118.16167703,TRACT NO 27326 LOT   13,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031014,,False,7157-031-014,2666 E 55TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-5080,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1962,10,21,16,9608,2025,727988,2000377,2728365,2022,2022,1091347,7211,LONG BEACH,33.85674328,-118.16124518,TRACT NO 27326 LOT   14,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031015,,False,7157-031-015,2676 E 55TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-5055,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1962,10,21,16,9608,2025,727988,2000377,2728365,2022,2022,818511,7211,LONG BEACH,33.85674563,-118.16091751,TRACT NO 27326 LOT   15,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031016,,False,7157-031-016,2686 E 55TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-5084,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,501,1962,10,21,16,9608,2025,727988,2000377,2728365,2022,2022,545674,7211,LONG BEACH,33.8567476,-118.16059029,TRACT NO 27326 LOT   16,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031017,,False,7157-031-017,2696 E 55TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-5074,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1962,10,21,16,9608,2025,806518,2000377,2806895,2022,2022,1403448,7211,LONG BEACH,33.85674922,-118.1602458,TRACT NO 27326 LOT   17,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031018,,False,7157-031-018,2666 E 56TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-5073,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,501,1963,11,19,16,9584,2025,727988,2000377,2728365,2022,2022,744299,7211,LONG BEACH,33.85835122,-118.16125983,TRACT NO 27326 LOT   18,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031019,,False,7157-031-019,2676 E 56TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-5072,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1963,11,19,16,9608,2025,727988,2000377,2728365,2022,2022,2232349,7211,LONG BEACH,33.85835534,-118.16093556,TRACT NO 27326 LOT   19,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031020,,False,7157-031-020,2686 E 56TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-7002,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1962,11,19,16,9608,2025,727988,2000377,2728365,2022,2022,992308,7211,LONG BEACH,33.85835784,-118.16060718,TRACT NO 27326 LOT   20,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031021,,False,7157-031-021,2696 E 56TH ST LONG BEACH CA 90805,LONG BEACH CA,90805-5058,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1963,10,21,16,9608,2025,806518,2000377,2806895,2022,2022,1122759,7211,LONG BEACH,33.85835922,-118.16025866,TRACT NO 27326 LOT   21,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031022,,False,7157-031-022,2667 E 56TH ST LONG BEACH CA 90805,LONG BEACH CA,90805-5089,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1963,11,21,16,9608,2025,727988,2000377,2728365,2022,2022,1736332,7211,LONG BEACH,33.85800741,-118.16125906,TRACT NO 27326 LOT   22,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031023,,False,7157-031-023,2677 E 56TH ST LONG BEACH CA 90805,LONG BEACH CA,90805-5071,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,501,1963,10,21,16,9608,2025,727988,2000377,2728365,2022,2022,1091347,7211,LONG BEACH,33.85800917,-118.16093487,TRACT NO 27326 LOT   23,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031024,,False,7157-031-024,2687 E 56TH ST LONG BEACH CA 90805,LONG BEACH CA,90805-5093,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1963,10,21,16,9608,2025,727988,2000377,2728365,2022,2022,818511,7211,LONG BEACH,33.85801184,-118.16060595,TRACT NO 27326 LOT   24,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031025,,False,7157-031-025,2697 E 56TH ST LONG BEACH CA 90805,LONG BEACH CA,90805-5095,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,501,1963,10,21,16,9608,2025,806518,2000377,2806895,2022,2022,2245517,7211,LONG BEACH,33.85801591,-118.16025654,TRACT NO 27326 LOT   25,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031026,,False,7157-031-026,2666 E 56TH ST LONG BEACH CA 90805,LONG BEACH CA,90805-5088,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,501,1963,10,21,16,9560,2025,727988,2000377,2728365,2022,2022,545674,7211,LONG BEACH,33.85754308,-118.1612564,TRACT NO 27326 LOT   26,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031027,,False,7157-031-027,2676 E 56TH ST LONG BEACH CA 90805,LONG BEACH CA,90805-5060,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1963,10,21,16,9608,2025,727988,2000377,2728365,2022,2022,818511,7211,LONG BEACH,33.85754745,-118.16093277,TRACT NO 27326 LOT   27,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031028,,False,7157-031-028,2686 E 56TH ST LONG BEACH CA 90805,LONG BEACH CA,90805-5092,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,501,1963,10,21,16,9608,2025,727988,2000377,2728365,2022,2022,1364183,7211,LONG BEACH,33.85755009,-118.16060404,TRACT NO 27326 LOT   28,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031029,,False,7157-031-029,2696 E 56TH ST LONG BEACH CA 90805,LONG BEACH CA,90805-5058,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,501,1963,10,21,16,9608,2025,806518,2000377,2806895,2022,2022,1403448,7211,LONG BEACH,33.85755188,-118.16025406,TRACT NO 27326 LOT   29,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031030,,False,7157-031-030,2667 E 55TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-5081,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1962,10,21,16,9560,2025,727988,2000377,2728365,2022,2022,1637020,7211,LONG BEACH,33.85719572,-118.16125246,TRACT NO 27326 LOT   30,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031031,,False,7157-031-031,2677 E 55TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-5083,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,501,1962,10,21,16,9608,2025,727988,2000377,2728365,2022,2022,1091347,7211,LONG BEACH,33.85719651,-118.16092894,TRACT NO 27326 LOT   31,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031032,,False,7157-031-032,2687 E 55TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-5057,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1962,10,21,16,9608,2025,727988,2000377,2728365,2022,2022,1091347,7211,LONG BEACH,33.85719975,-118.1606007,TRACT NO 27326 LOT   32,Multi-parcel (33),356,144,0.01206499
54,Los Angeles,Seaport Village Apartments,7157031033,,False,7157-031-033,2697 E 55TH WAY LONG BEACH CA 90805,LONG BEACH CA,90805-5087,"5601 North Paramount Boulevard, Long Beach, Los Angeles",Seaport Village Apartments,,manual_verified_multi,Five or more apartments,Residential,501,1962,10,21,16,9608,2025,806518,2000377,2806895,2022,2022,1403448,7211,LONG BEACH,33.85720432,-118.16025148,TRACT NO 27326 LOT   33,Multi-parcel (33),356,144,0.01206499
55,Los Angeles,1457 Main Street Apartments,5409005030,,False,5409-005-030,1457 N MAIN ST LOS ANGELES CA 90012,LOS ANGELES CA,90012-1914,"1457 N Main St, Los Angeles, CA 90012",1457 Main Street Apartments,,manual_verified,Food Processing Plants,Industrial,3420,,,,,,2025,13753255,3540000,17293255,2022,2025,16976485,4,LOS ANGELES,34.06590217,-118.23009531,POR OF NEW DEPOT TR AND POR OF TR=3669 AND POR TR=10388 AND POR MR 2-504-505,,377,151,0.0118738
56,Alameda,Viewpoint Apartments,56-1954-9,,False,,2020 3RD ST BERKELEY 94710,,,,,,,,,,,,,,,,5175000,26663150,31838150,,,0,Berkeley,,,,,,94,71,0.012323
58,Los Angeles,Chaparral Apartments,3004004033,,False,3004-004-033,38441 5TH ST W PALMDALE CA 93551,PALMDALE CA,93551-4262,"38441 5th St W, Palmdale, CA 93551",Chaparral Apartments,,manual_verified,Five or more apartments,Residential,501,1987,296,99,99,207582,2025,1997155,12705410,14702565,1994,1994,4371074,2241,PALMDALE,34.58077104,-118.14079808,S 1/2 OF SE 1/4 OF NW 1/4 EX OF STS OF SEC 27 T6N R12W,,296,296,0.01233086
59,San Francisco,Ventana Residences Apartments,6954018,,False,,99 OCEAN AVE SAN FRANCISCO CA 94112-2560,,,,,,,,,,,,,,,,-,-,82453101,,,,San Francisco,,,,,,193,100,0.012
61,Los Angeles,11422 Broadway Apartments,6087002036,,False,6087-002-036,11422 S BROADWAY LOS ANGELES CA 90061,LOS ANGELES CA,90061-1833,"11422 S Broadway, Los Angeles, CA 90061",11422 Broadway Apartments,,manual_verified,"Warehousing, Distribution, Storage",Industrial,33T0,1917,0,0,0,10608,2025,2382411,468180,2850591,2023,2023,0,6654,LOS ANGELES,33.93033691,-118.27760877,TR=3039 EX OF ST LOTS 23 THRU 29 AND POR OF LOT C BLK 20,,166,165,0.0118738
62,Los Angeles,Mansfield Micro Apartments,5049009082,,False,5049-009-082,,,,"2533 S Mansfield Ave, Los Angeles, CA 90016",Mansfield Micro Apartments,,manual_verified,Single,Residential,010V,,,,,,2025,2065837,0,2065837,2017,2017,0,401,LOS ANGELES,34.03322648,-118.35192845,"TR=1566 EX ALLEYS LOT 81, EX ST LOTS 82, 83, EX ST AND ALLEY LOTS 84 AND 85",,116,115,0.0118738
63,Contra Costa,The Enclave Apartments,1701000273,,False,,3081.0 N MAIN ST WALNUT CREEK CA 94597-1940,,,,,,,,,,,,,,,,-,-,10616112,,,,Walnut Creek,,,,,,32,32,0.011015
64,Los Angeles,333 Douglas Apartments,5160009020,,False,5160-009-020,333 DOUGLAS ST LOS ANGELES CA 90026,LOS ANGELES CA,90026-5632,"333 Douglas St, Los Angeles, CA",333 Douglas Apartments,,manual_verified,Single,Residential,100,1906,1,2,1,858,2025,1040400,104040,1144440,2023,2023,0,67,LOS ANGELES,34.0657437,-118.2579405,"L A IMP COS SUB OF PARTS OF LOTS 2,3,7 AND 8 BLK 39 H S LOT   34 BLK   15",,33,32,0.0118738
65,Orange,Casa La Palma Apartments,263-241-46,,False,,7799 VALLEY VIEW ST LA PALMA,,,,,,,,,,,,,,,,-,-,53482929,,,53482929,La Palma,,,,,,272,270,0.011162
66,Los Angeles,The Eaves Apartments,5092023021,,False,5092-023-021,920 S GRAMERCY PL LOS ANGELES CA 90019,LOS ANGELES CA,90019-2141,"920 S. Gramercy Place, Los Angeles, CA",The Eaves Apartments,,manual_verified,Five or more apartments,Residential,550,2024,13,42,46,20594,2025,999261,6803400,7802661,2017,2024,0,67,LOS ANGELES,34.05514057,-118.31289902,COUNTRY CLUB PARK LOT   11 BLK    8,,13,13,0.0118738
67,Orange,Coronado Palms Apartments,12918108,,False,,1250.0 S EUCLID ST ANAHEIM CA 92802-1907,,,,,,,,,,,,,,,,-,-,60690000,,,,Anaheim,,,,,,169,68,0.011372
