project_id,county,property,ain,legacy_ain,legacy_redundant,apn,situs_address,situs_city,situs_zip,input_address,property_name,tract_number,method,use_description,use_type,use_code,year_built,units,bedrooms,bathrooms,sqft,roll_year,roll_land_value,roll_imp_value,roll_total_value,roll_land_base_year,roll_imp_base_year,real_estate_exemp,tax_rate_area,tax_rate_city,latitude,longitude,legal_description,notes,CMFA Total Units,CMFA Restricted,Total Tax Rate
36,Los Angeles,Stadium Village Apartments,4025014010,,False,4025-014-010,9425 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2982,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4038,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.95062617,-118.32697228,TRACT NO 16139 LOT   10,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025014011,,False,4025-014-011,9433 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2983,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4073,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.95046125,-118.32697208,TRACT NO 16139 LOT   11,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025014012,,False,4025-014-012,9441 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2984,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4072,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.95029636,-118.32697182,TRACT NO 16139 LOT   12,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025014013,,False,4025-014-013,9501 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2985,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4072,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.95013149,-118.32697164,TRACT NO 16139 LOT   13,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025014014,,False,4025-014-014,9509 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2986,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4073,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.94996661,-118.32697139,TRACT NO 16139 LOT   14,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025014015,,False,4025-014-015,9517 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2987,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4038,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.94980173,-118.32697118,TRACT NO 16139 LOT   15,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025014016,,False,4025-014-016,9525 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2988,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4038,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.94963686,-118.32697113,TRACT NO 16139 LOT   16,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025014017,,False,4025-014-017,9533 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2989,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4072,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.94947198,-118.32697116,TRACT NO 16139 LOT   17,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025014018,,False,4025-014-018,9541 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2990,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4072,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.94930432,-118.32697231,TRACT NO 16139 LOT   18,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025015001,,False,4025-015-001,9601 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-3142,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4073,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.94898144,-118.32697785,TRACT NO 16139 LOT   19,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025015002,,False,4025-015-002,9609 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-3153,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4072,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.94881707,-118.32697858,TRACT NO 16139 LOT   20,Multi-parcel (20),80,80,0.01280765
