tax_rate_area,total_rate,base_city_rate (prop 13),additional_city_rate,school_rate,other_rate
La Palma,0.011162,0.01,0,0.001092,7.000000000000001e-05
Stanton,0.011333,0.01,0,0.001263,7.000000000000001e-05
Garden Grove,0.011369,0.01,0,0.0012989999999999998,7.000000000000001e-05
Cypress,0.011132,0.01,0,0.001062,7.000000000000001e-05
Westminster,0.010953,0.01,0,0.000883,7.000000000000001e-05
Fountain Valley,0.010883,0.01,0,0.0008129999999999999,7.000000000000001e-05
Los Alamitos,0.011132,0.01,0,0.001062,7.000000000000001e-05
San Juan Capistrano,0.010248,0.01,0.000164,1.4e-05,7.000000000000001e-05
Villa Park,0.010593,0.01,0,0.000523,7.000000000000001e-05
Yorba Linda,0.010599,0.01,0,0.0005290000000000001,7.000000000000001e-05
Irvine,0.010599,0.01,0,0.0005290000000000001,7.000000000000001e-05
Mission Viejo,0.010265,0.01,0,0.000195,7.000000000000001e-05
Dana Point,0.010265,0.01,0,0.000195,7.000000000000001e-05
Laguna Niguel,0.010265,0.01,0,0.000195,7.000000000000001e-05
Lake Forest,0.010084,0.01,0,1.4e-05,7.000000000000001e-05
Laguna Hills,0.010265,0.01,0,0.000195,7.000000000000001e-05
Laguna Woods,0.010265,0.01,0,0.000195,7.000000000000001e-05
Rancho Santa Margarita,0.010084,0.01,0,1.4e-05,7.000000000000001e-05
Aliso Viejo,0.010265,0.01,0,0.000195,7.000000000000001e-05
Isleton,0.010644,0.01,0,0.000644,0
Sacramento,0.011454,0.01,0,0.001454,0
Folsom,0.010719,0.01,0,0.000719,0
Galt,0.010823,0.01,0,0.000823,0
Citrus Heights,0.011775,0.01,0,0.0017749999999999999,0
Elk Grove,0.010457,0.01,0,0.000457,0
Rancho Cordova,0.010719,0.01,0,0.000719,0
Antioch,0.01118,0.01,0,0.001,0.00017999999999999998
Brentwood,0.011084,0.01,4.6e-05,0.000858,0.00017999999999999998
Clayton,0.010992,0.01,0,0.0008119999999999999,0.00017999999999999998
Concord,0.010992,0.01,0,0.0008119999999999999,0.00017999999999999998
Danville,0.010824,0.01,0,0.000644,0.00017999999999999998
El Cerrito,0.012792,0.01,0,0.0026119999999999997,0.00017999999999999998
Hercules,0.012792,0.01,0,0.0026119999999999997,0.00017999999999999998
Lafayette,0.010886,0.01,4e-05,0.000666,0.00017999999999999998
Martinez,0.011407,0.01,0,0.001044,0.000363
Moraga,0.011139,0.01,0,0.000959,0.00017999999999999998
Oakley,0.010898,0.01,0,0.000718,0.00017999999999999998
Orinda,0.011432,0.01,0,0.000955,0.000477
Pinole,0.012792,0.01,0,0.0026119999999999997,0.00017999999999999998
Pittsburg,0.011114,0.01,0,0.0009339999999999999,0.00017999999999999998
Pleasant Hill,0.011131,0.01,0,0.0008119999999999999,0.000319
Richmond,0.014192,0.01,0.0014000000000000002,0.0026119999999999997,0.00017999999999999998
San Pablo,0.012792,0.01,0,0.0026119999999999997,0.00017999999999999998
San Ramon,0.010824,0.01,0,0.000644,0.00017999999999999998
Walnut Creek,0.011015,0.01,0,0.000835,0.00017999999999999998
Carmichael,0.011873,0.01,0,0.0017749999999999999,9.8e-05
Fair Oaks,0.011873,0.01,0,0.0017749999999999999,9.8e-05
Orangevale,0.011873,0.01,0,0.0017749999999999999,9.8e-05
Gold River,0.011873,0.01,0,0.0017749999999999999,9.8e-05
North Highlands,0.011785,0.01,0,0.001687,9.8e-05
Rio Linda,0.011785,0.01,0,0.001687,9.8e-05
Foothill Farms,0.011785,0.01,0,0.001687,9.8e-05
Arden-Arcade,0.011454,0.01,0,0.001454,0
Natomas (Unincorp),0.011424,0.01,0,0.001424,0
Vineyard,0.010457,0.01,0,0.000457,0
Laguna,0.010457,0.01,0,0.000457,0
El Sobrante,0.012792,0.01,0,0.0026119999999999997,0.00017999999999999998
Rodeo,0.011183,0.01,0,0.001003,0.00017999999999999998
Crockett,0.011183,0.01,0,0.001003,0.00017999999999999998
Alamo,0.010824,0.01,0,0.000644,0.00017999999999999998
Blackhawk,0.010824,0.01,0,0.000644,0.00017999999999999998
Byron,0.010818,0.01,0,0.000638,0.00017999999999999998
Discovery Bay,0.010818,0.01,0,0.000638,0.00017999999999999998
Knightsen,0.010575,0.01,0,0.000395,0.00017999999999999998
Bay Point,0.010992,0.01,0,0.0008119999999999999,0.00017999999999999998
05-000,0.0115,0.01,0.000444,0.000921,3.4e-05
