Project ID,Property Name,Applicant / Entity,City,County,Agency,Grant Description,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Stale,Total Unit Count,Restricted Unit Count,Restricted Ratio,Address,City's Cut,Parcel Identified,Welfare Exemption On 2025 Roll,Total Roll Value,Confirmed Exemption,Best Estimate Exemption,Confirmed or Best Estimate Exemption,Tax Rate,Confirmed Annual Revenue Loss,Best Estimate Annual Revenue Loss,Link,Leasing Link,New build?,Built,Acquisition Price (M),Acquisition Date
30,Santa Monica Portfolio D Apartments,"GC 1522 6th, LP",Santa Monica,Los Angeles,CMFA,"Grant up to $10,000",24-283,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",FALSE,26,25,96.15%,"1522 6th St, Santa Monica, CA","$3,750",TRUE,TRUE,"$7,050,000.00","$3,659,058.00","$6,100,961.54","$3,659,058.00",1.2038%,"$44,046.17","$44,046.17",,,,2004,,
31,Santa Monica Portfolio E Apartments,"GC 1537 7th, LP",Santa Monica,Los Angeles,CMFA,"Grant up to $10,000",24-284,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",FALSE,26,25,96.15%,"1537 7th, Santa Monica, CA","$3,750",TRUE,TRUE,"$6,580,000.00","$4,088,045.00","$5,694,230.77","$4,088,045.00",1.2038%,"$49,210.13","$49,210.13",,,,,"$5,390,000",9/12/2024
32,Santa Monica Portfolio F Apartments,"GC 2001-2029 Olympic, LP",Santa Monica,Los Angeles,CMFA,"Grant up to $10,000",24-285,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",FALSE,165,98,59.39%,"2001-2029 Olympic Blvd, Santa Monica","$14,700",TRUE,TRUE,"$29,350,000.00","$22,352,409.00","$15,688,909.09","$22,352,409.00",1.2038%,"$269,068.69","$269,068.69",,,,2008,,
33,7524 S. Hoover St. Apartments,"BIF NON OZ 7524 S HOOVER ST, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-279,8/9/2024,"SoLa Impact, LLC",,Housing on Merit,TRUE,79,48,60.76%,"7518 S. Hoover, Los Angeles, CA","$11,850",TRUE,FALSE,$0.00,$0.00,$0.00,$0.00,1.1874%,$0.00,$0.00,,,YES,,,
34,Appian Terrace Apartments,APPIAN LP,El Sobrante,Contra Costa,CMFA,"Grant up to $10,000",24-277,8/9/2024,Tesseract Capital Group,,Housing on Merit,FALSE,41,41,,"4481 Appian Way, El Sobrante, CA 94803","$6,150",TRUE,FALSE,"$9,977,564.00",$0.00,"$8,979,807.60","$8,979,807.60",1.28%,$0.00,"$114,869.70",,,,,,
35,Sierra Park Apartments,"Sierra Park LP, a California Limited Partnership",Unincorporated,Sacramento,CMFA,"Grant up to $10,000",24-278,8/9/2024,Tesseract Capital Group,,Housing on Merit,FALSE,104,104,,"4930 Polk St, North Highlands, CA 95660","$15,600",TRUE,TRUE,"$25,646,900.00","$23,179,668.00","$23,082,210.00","$23,179,668.00",1.18%,"$273,172.39","$273,172.39",,,,,,
36,Stadium Village Apartments,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Inglewood,Los Angeles,CMFA,"Grant up to $10,000",24-361,8/30/2024,Community HousingWorks,,Community HousingWorks,FALSE,80,80,100.00%,"9301 – 9609 Crenshaw
Blvd, Inglewood, CA","$12,000",TRUE,FALSE,"$26,900,000.00",$0.00,"$24,210,000.00","$24,210,000.00",1.2808%,$0.00,"$310,073.21",,,,,,
37,2330 E. 3rd Street Apartments,2330 3rd Street Apartments L.P.,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-363,8/30/2024,Terra Capital Development Group LLC,,Pacific Housing,FALSE,53,53,100.00%,"2330 E. 3rd Street, Los Angeles, CA","$7,950",TRUE,FALSE,"$1,275,000.00",$0.00,"$1,147,500.00","$1,147,500.00",1.1874%,$0.00,"$13,625.19",,,YES,,,
38,Marquee Apartments,"Post Marquee North Hollywood, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-383,9/20/2024,Ascenda Capital,,Integrity Housing,FALSE,236,236,100.00%,"12300 Sherman Way, North Hollywood, CA 91605","$35,400",TRUE,FALSE,"$43,800,000.00",$0.00,"$39,420,000.00","$39,420,000.00",1.1874%,$0.00,"$468,065.20",,,NO,1965,,
39,6200 S. Broadway Apartments,"BIF NON OZ 6200 BROADWAY BLK, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-379,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,FALSE,66,51,77.27%,"6200 S Broadway, Los Angeles, CA","$7,950",TRUE,FALSE,"$1,326,510.00",$0.00,"$922,527.41","$922,527.41",1.1874%,$0.00,"$10,953.91",,,YES,,,
