Project ID,Property Name,Applicant / Entity,City,County,Agency,Grant Description,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Stale,Total Unit Count,Restricted Unit Count,Restricted Ratio,Address,City's Cut,Parcel Identified,Welfare Exemption On 2025 Roll,Total Roll Value,Confirmed Exemption,Best Estimate Exemption,Confirmed or Best Estimate Exemption,Tax Rate,Confirmed Annual Revenue Loss,Best Estimate Annual Revenue Loss,Link,Leasing Link,New build?,Built,Acquisition Price (M),Acquisition Date
125,Kingsley Apartments,530 Kingsley LLLP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",25-491,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,45,45,100.00%,"530 Kingsley Drive, Los Angeles, CA","$6,750",TRUE,FALSE,"$10,516,571.00",$0.00,"$9,464,913.90","$9,464,913.90",1.1874%,$0.00,"$112,384.49",,,NO,,,
126,Mariposa I Apartments,Mariposa 20 LLLP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",25-492,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,40,40,100.00%,"727 S. Mariposa Avenue, Los Angeles, CA","$6,000",TRUE,FALSE,"$7,089,929.00",$0.00,"$6,380,936.10","$6,380,936.10",1.1874%,$0.00,"$75,765.96",,,NO,,,
127,Mariposa III Apartments,750 Mariposa LLLP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",25-493,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,23,23,100.00%,"750-752 S. Mariposa Avenue, Los Angeles, CA","$3,450",TRUE,FALSE,"$6,547,652.00",$0.00,"$5,892,886.80","$5,892,886.80",1.1874%,$0.00,"$69,970.96",,,NO,,,
128,Mariposa IV Apartments,520 Mariposa LLLP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",25-494,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,48,48,100.00%,"520 S. Mariposa Avenue, Los Angeles, CA","$7,200",TRUE,FALSE,"$11,471,658.00",$0.00,"$10,324,492.20","$10,324,492.20",1.1874%,$0.00,"$122,590.96",,,NO,,,
129,Oxford II Apartments,Oxford 20 LLLP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",25-495,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,32,32,100.00%,"207 S. Oxford Avenue, Los Angeles, CA","$4,800",TRUE,FALSE,"$6,452,506.00",$0.00,"$5,807,255.40","$5,807,255.40",1.1874%,$0.00,"$68,954.19",,,NO,,,
130,Western Apartments,Western 19 LLLP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",25-496,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,76,76,100.00%,"1057 S. Western Avenue, Los Angeles, CA","$11,400",TRUE,FALSE,"$14,010,916.00",$0.00,"$12,609,824.40","$12,609,824.40",1.1874%,$0.00,"$149,726.53",,,NO,,,
131,Citrine Apartments,"Citrine Preservation, LP",Healdsburg,Sonoma,CMFA,"Grant up to $10,000",25-485,10/10/2025,The Transcend Group,,Retail Store Employees Building Corporation,FALSE,37,37,,"1260 Grove St, Healdsburg, CA 95448","$5,550",TRUE,FALSE,"$10,140,095.00",$0.00,"$9,126,085.50","$9,126,085.50",1.15%,$0.00,"$104,949.98",,,NO,,,
132,7524 S. Hoover St Apartments,"PS 7518 Hoover St, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",25-513,10/24/2025,California State Teachers’ Retirement System,,Housing on Merit,FALSE,79,78,98.73%,"7524 S. Hoover St, Los Angeles, CA","$11,850",TRUE,FALSE,"$2,856,000.00",$0.00,"$2,537,863.29","$2,537,863.29",1.1874%,$0.00,"$30,134.08",,,,,,
134,10705 Avalon Blvd Apartments,"PS 10705 Avalon Blvd, LP",Los Angeles,Los Angeles,CMFA,,25-512,10/24/2025,California State Teachers’ Retirement System,,Housing on Merit,FALSE,68,68,100.00%,"10705 Avalon Blvd, Los Angeles, CA","$10,200",TRUE,TRUE,"$936,360.00","$936,360.00","$842,724.00","$936,360.00",1.1874%,"$11,118.15","$11,118.15",,,YES,,,
135,236 Berendo Apartments,236 Berendo Holdings OZ LP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",25-510,10/24/2025,Terra Capital Development Group LLC,,"Pacific Housing, Inc.",FALSE,52,52,100.00%,"236 N. Berendo Street., Los Angeles, CA","$7,800",TRUE,FALSE,"$1,387,200.00",$0.00,"$1,248,480.00","$1,248,480.00",1.1874%,$0.00,"$14,824.20",,,YES,,,
136,Ascent Apartments,"Ethos GP I Venture, LP",San Jose,Santa Clara,CSCDA,Governmental Grant,CSCDA,11/20/2025,Ethos Real Estate,,,FALSE,650,260,,"5805 Charlotte Drive, San Jose, CA 95123",,TRUE,FALSE,"$269,608,107.00",$0.00,"$97,058,918.52","$97,058,918.52",1.24%,$0.00,"$1,203,627.65",,,,,,
137,Kittridge Affordable Housing Apartments,"18337 Kittridge, LP",Los Angeles,Los Angeles,CMFA,,25-552,11/21/2025,"Angeleno Investments, LP",,Las Palmas Housing & Development Corporation,FALSE,41,41,100.00%,"18337 Kittridge St, Reseda, CA 91335","$6,150",TRUE,FALSE,"$943,500.00",$0.00,"$849,150.00","$849,150.00",1.1874%,$0.00,"$10,082.64",,,YES,,,
138,Montecito Apartments,"Flag VII Montecito, L.P.",San Jose,Santa Clara,CMFA,,25-557,11/21/2025,Belveron Partners,,Las Palmas Housing & Development Corporation,FALSE,114,114,,"3765 Tamarack Ln, Santa Clara, CA 95051","$17,100",TRUE,FALSE,"$27,979,060.00",$0.00,"$25,181,154.00","$25,181,154.00",1.14%,$0.00,"$287,996.86",,,NO,,,
139,Thornbridge Apartments,"Thornbridge Holdings, L.P.",San Jose,Santa Clara,CMFA,,25-556,11/21/2025,Community HousingWorks,,Community HousingWorks,FALSE,286,286,,"5210 Monterey Rd, San Jose, CA 95111","$42,900",TRUE,TRUE,"$60,096,598.00","$60,096,598.00","$54,086,938.20","$60,096,598.00",1.24%,"$745,257.91","$745,257.91",,,NO,,,
140,The Crossings Apartments,"Ethos GP I Venture, LP",Sunnyvale,Santa Clara,CMFA,,25-555,11/21/2025,"Ethos GP I Venture, LP",,"Pacific Housing, Inc",FALSE,148,148,,"1180 Lochinvar Ave, Sunnyvale, CA 94087","$22,200",TRUE,FALSE,"$70,919,811.00",$0.00,"$63,827,829.90","$63,827,829.90",1.13%,$0.00,"$722,658.69",,,NO,,,
141,Renaissance Apartment Homes,"Post Renaissance Apartments, LP",Fresno,Fresno,CMFA,,25-551,11/21/2025,Post Investment Group,,Foundation for Affordable Housing,FALSE,278,278,,"5669 N Fresno St, Fresno, CA 93710","$41,700",TRUE,FALSE,"$30,330,305.00",$0.00,"$27,297,274.50","$27,297,274.50",1.25%,$0.00,"$341,215.93",,,NO,1984,,
142,9033 Ramsgate Apartments,9033 Ramsgate LP,Los Angeles,Los Angeles,CMFA,,25-553,11/21/2025,Six Peak Capital,,Housing on Merit,FALSE,116,116,100.00%,"9033 Ramsgate Avenue, Westchester, CA","$17,400",TRUE,FALSE,"$1,206,999.00",$0.00,"$1,086,299.10","$1,086,299.10",1.1874%,$0.00,"$12,898.50",,,,,,
143,Coliseum Transit Village,"Coliseum Transit Village One, LP",Oakland,Alameda,CMFA,,25-554,11/21/2025,UrbanCore Development,,"Pacific Housing, Inc.",FALSE,110,55,,"805 71st Avenue, Oakland, CA","$8,250",TRUE,FALSE,$0.00,$0.00,$0.00,$0.00,1.28%,$0.00,$0.00,,,NO,,,
144,La Vista Apartment Homes,TBD LP,Santa Maria,Santa Barbara,CMFA,,Proposed ,12/12/2025,Farallon Capital Management L.L.C.,,Las Palmas Housing & Development Corporation,FALSE,460,184,,"740 S. Western Avenue, Santa Maria, CA 93458","$27,600",TRUE,FALSE,"$22,728,000.00",$0.00,"$8,182,080.00","$8,182,080.00",1.05%,$0.00,"$85,682.74",,,NO,,,
145,Golden Gardens Apartments,Golden Gardens Housing Partners LP,Fresno,Fresno,CMFA,,Proposed ,12/12/2025,"Islas Development, LLC",,"Pacific Housing, Inc.",FALSE,110,110,,"2130 N Marks Ave, Fresno, CA 93722","$16,500",TRUE,FALSE,"$10,673,404.00",$0.00,"$9,606,063.60","$9,606,063.60",1.25%,$0.00,"$120,075.80",,,NO,,,
146,San Pedro Apartments,"7655 San Pedro, LP",Los Angeles,Los Angeles,CMFA,,25-562,12/12/2025,"Eleos Ventures, LLC",,Step Forward Communities,FALSE,40,40,100.00%,"7655 S San Pedro St, Los Angeles, CA 90003","$6,000",TRUE,FALSE,"$800,000.00",$0.00,"$720,000.00","$720,000.00",1.1874%,$0.00,"$8,549.14",,,YES,,,
147,Coliseum Connections,"Coliseum Transit Village One, LP",Oakland,Alameda,CMFA,,25-563,12/12/2025,UrbanCore Development,,"Pacific Housing, Inc.",FALSE,110,55,,"805 71st Avenue, Oakland, CA","$8,250",TRUE,FALSE,$0.00,$0.00,$0.00,$0.00,1.28%,$0.00,$0.00,,,NO,,,
148,Park Wilshire Apartments,Concord Park Wilshire LP,Los Angeles,Los Angeles,CMFA,,25-564,12/12/2025,Concord Companies,,"Pacific Housing, Inc.",FALSE,170,170,100.00%,"2424 Wilshire Blvd, Los Angeles, CA 90057","$25,500",TRUE,FALSE,"$3,454,142.00",$0.00,"$3,108,727.80","$3,108,727.80",1.2038%,$0.00,"$37,421.53",,,NO,1929,,
149,Sir Francis Drake Villa Apartments,Concord Sir Francis Drake LP,Los Angeles,Los Angeles,CMFA,,25-565,12/12/2025,Concord Companies,,"Pacific Housing, Inc.",FALSE,61,61,100.00%,"841 S Serrano Ave, Los Angeles, CA 90005","$9,150",TRUE,FALSE,"$4,558,215.00",$0.00,"$4,102,393.50","$4,102,393.50",1.1874%,$0.00,"$48,711.00",,,NO,,,
150,Langham Apartments,Concord Langham LP,Los Angeles,Los Angeles,CMFA,,25-566,12/12/2025,Concord Companies,,"Pacific Housing, Inc.",FALSE,181,181,100.00%,"715 Normandie Ave, Los Angeles, CA 90005","$27,150",TRUE,FALSE,"$5,831,313.00",$0.00,"$5,248,181.70","$5,248,181.70",1.1874%,$0.00,"$62,315.86",,,NO,,,
151,Piccadilly Apartments,Concord Piccadilly LP,Los Angeles,Los Angeles,CMFA,,25-567,12/12/2025,Concord Companies,,"Pacific Housing, Inc.",FALSE,74,74,100.00%,"682 Irolo Street, Los Angeles, CA","$11,100",TRUE,FALSE,"$3,524,298.00",$0.00,"$3,171,868.20","$3,171,868.20",1.1874%,$0.00,"$37,662.13",,,NO,,,
152,The Hive at Ackerfield Apartments,Ackerfield 2 LP,Long Beach,Los Angeles,CMFA,,25-568,12/12/2025,Golden Bee Properties,,"Kingdom Development, Inc. ",FALSE,152,152,100.00%,"5565 Ackerfield Avenue / 5700 Ackerfield Avenue, Long Beach, CA","$22,800",TRUE,FALSE,"$39,317,756.00",$0.00,"$35,385,980.40","$35,385,980.40",1.2065%,$0.00,"$426,931.50",,,NO,,,
153,Hawaiian Terrace Senior Apartments,"RK Equity Group Limited Partnership, 12142 Oxnard Limited Partnership, HG Napa Equity Limited
Partnership, HG FSA Capital Limited Partnership",Hawaiian Gardens,Los Angeles,CMFA,,25-569,12/12/2025,MKCR Capital LLC,,Foundation for Affordable Housing,FALSE,101,101,100.00%,"12100 226th St, Hawaiian Gardens, CA 90716","$15,150",TRUE,FALSE,"$23,346,575.00",$0.00,"$21,011,917.50","$21,011,917.50",1.1356%,$0.00,"$238,605.45",,,NO,1990,,
154,Crystal Springs Terrace,"Crystal Springs Terrace Apartments, LP",San Bruno,San Mateo,CMFA,,25-570,12/12/2025,Prometheus Real Estate Group,,Integrity Housing,FALSE,482,216,,"2000 Crystal Springs Rd, San Bruno, CA 94066","$32,400",TRUE,FALSE,"$180,060,039.00",$0.00,"$72,621,725.27","$72,621,725.27",1.09%,$0.00,"$794,554.30",,,NO/YES,,,
155,Trailview Apartments,TBD LP,Concord,Contra Costa,CMFA,,25-571,12/12/2025,Kairos Investment Management Company,,"Pacific Housing, Inc.",FALSE,120,120,,"1070 San Miguel Road, Concord, CA","$18,000",TRUE,FALSE,"$34,848,175.00",$0.00,"$31,363,357.50","$31,363,357.50",1.10%,$0.00,"$344,746.03",,,NO,1974,,
156,Casa Serena Apartments,TBD LP,Fremont,Alameda,CMFA,,25-572,12/12/2025,Kairos Investment Management Company,,"Pacific Housing, Inc.",FALSE,170,170,,"36000 Fremont Boulevard, Fremont, CA","$25,500",TRUE,FALSE,"$65,613,972.00",$0.00,"$59,052,574.80","$59,052,574.80",1.17%,$0.00,"$693,336.28",,,NO,1969,,
157,Hendrix and Hadley Apartments,"Hendrix EREP, LP & Hadley EREP, LP",Escondido,San Diego,CSCDA,,CSCDA,12/18/2025,Eagle Partners,,,FALSE,551,440,,"439 West El Norte Parkway / 1045 Morning View Drive, Escondido, CA",,TRUE,FALSE,"$85,170,741.00",$0.00,"$61,211,639.63","$61,211,639.63",1.14%,$0.00,"$697,880.02",,,,,,
158,Kalmia Apartments,"Kalmia Supportive Housing, LP",Los Angeles,Los Angeles,CMFA,,25-306,7/18/2025,A Community of Friends,,A Community of Friends,FALSE,29,29,100.00%,,"$4,350",FALSE,FALSE,$0.00,$0.00,$0.00,$0.00,#N/A,#N/A,#N/A,,,YES,,,
159,12th Street Apartments,12th Street 19 LLLP,Los Angeles,Los Angeles,CMFA,,25-486,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,16,16,100.00%,"3048 W. 12th Street, CA 90006","$2,500",TRUE,FALSE,"$2,688,395.00",$0.00,"$2,419,555.50","$2,419,555.50",1.1874%,$0.00,"$28,729.32",,,NO,,,
