project_id,ain,legacy_ain,apn,situs_address,situs_city,situs_zip,input_address,property_name,tract_number,method,use_description,use_type,use_code,year_built,units,bedrooms,bathrooms,sqft,roll_year,roll_land_value,roll_imp_value,roll_fixture_value,roll_pers_prop_value,roll_land_base_year,roll_imp_base_year,real_estate_exemp,tax_rate_area,tax_rate_city,latitude,longitude,legal_description,notes
130,5080006008,,5080-006-008,1057 S WESTERN AVE LOS ANGELES CA 90006,LOS ANGELES CA,90006-2344,"1057 S. Western Avenue, Los Angeles, CA",Western Apartments,,manual_verified,Five or more apartments,Residential,0500,1926,76,74,74,51116,2025,11155189,2855727,,91200,2019,2019,0,06657,LOS ANGELES,34.05107618,-118.30939309,COUNTRY CLUB HEIGHTS LOTS 22 AND LOT   23,
151,5094002004,,5094-002-004,682 IROLO ST LOS ANGELES CA 90005,LOS ANGELES CA,90005-2367,"682 Irolo Street, Los Angeles, CA",Piccadilly Apartments,,manual_verified,Five or more apartments,Residential,0550,1929,74,0,0,62933,2025,1197304,2326994,,49987,2000,2000,0,06657,LOS ANGELES,34.06036012,-118.30057788,WILSHIRE HARVARD HEIGHTS N 6 FT OF LOT 91 AND ALL OF LOT 92 AND S 40 FT OF LOT   93,
8,5134017037,5134017016,5134-017-037,,,,"1317 S. Grand St, Los Angeles, CA 90015",1317 S. Grand Apartments,,parcel_in_transition,(pending),,,,,,,,,,,,,,,,,LOS ANGELES,34.03849628,-118.26502654,,AIN not in DB
9,5134009025,5134009008,5134-009-025,,,,"1411 Flower St, Los Angeles, CA 90015",1411 S. Flower Apartments,,parcel_in_transition,(pending),,,,,,,,,,,,,,,,,LOS ANGELES,34.03799902,-118.26860234,,Multi-parcel (2). AIN not in DB.
9,5134009024,5134009007,5134-009-024,,,,"1411 Flower St, Los Angeles, CA 90015",1411 S. Flower Apartments,,parcel_in_transition,(pending),,,,,,,,,,,,,,,,,LOS ANGELES,34.03799902,-118.26860234,,Multi-parcel (2). AIN not in DB.
12,5402028023,,5402-028-023,801 WATERLOO ST LOS ANGELES CA 90026,LOS ANGELES CA,90026-4039,"801-809 Waterloo Street, Los Angeles, CA ",The Waterloo Apartments,,manual_verified,Five or more apartments,Residential,0500,1917,4,4,4,3838,2025,985000,375000,,,2025,2025,0,00013,LOS ANGELES,34.07581866,-118.26848761,WATERLOO TRACT LOT   12 BLK    1,
20,2102015045,,2102-015-045,7940 RESEDA BLVD LOS ANGELES CA 91335,LOS ANGELES CA,91335-1927,"7940 Reseda Boulevard, Reseda, CA ",Pinetree Terrace Apartments,,manual_verified,Five or more apartments,Residential,0501,1978,58,8,8,63362,2025,7140000,10812000,,43500,2024,2024,15786989,08852,LOS ANGELES,34.2151477,-118.53553608,*TR=32921 LOT    1,
21,2119001222,,2119-001-222,18325 SATICOY ST LOS ANGELES CA 91335,LOS ANGELES CA,91335-2965,"18325 Saticoy St, Reseda, CA 91335",Windmere Court Apartments,,manual_verified,Five or more apartments,Residential,0501,1989,52,99,99,53440,2025,7140000,9486000,,,2024,2024,16306781,08852,LOS ANGELES,34.20888824,-118.53262522,TR=9035 POR OF LOT 32 AND ALL OF LOT 31,
24,5021028002,,5021-028-002,4209 S WESTERN AVE LOS ANGELES CA 90062,LOS ANGELES CA,90062-1643,"4209 S Western Ave, Los Angeles, CA 90062",4209 Western Avenue Apartments,,manual_verified,Store Combination,Commercial,1210,2022,25,11,25,21557,2025,6242400,4681800,,,2023,2023,10903361,00068,LOS ANGELES,34.00696453,-118.30925999,VERMONT AVE SQUARE LOT    2 BLK   65,
26,7455002027,,7455-002-027,441 W 3RD ST LOS ANGELES CA 90731,LOS ANGELES CA,90731-2650,"441 W 3rd St, San Pedro, CA 90731",Harbor Terrace Apartments,,manual_verified,Five or more apartments,Residential,0500,1987,93,78,93,55726,2025,2860000,21390000,,208373,2025,2025,16429375,13245,LOS ANGELES,33.74101739,-118.28695419,LOT A P M 179-44-45 AND E 130 FT OF LOT 2 BLK 4 TOWN OF SAN PEDRO,
