ain,apn,situs_address,input_address,property_name,tract_number,method,use_description,notes
5159020009,5159-020-009,1520 W COURT ST LOS ANGELES CA 90026,"1540 W Court St, Los Angeles, CA 90026",1540 W Court Apartments,,manual_verified_multi,Single,Multi-parcel (7)
6083010038,6083-010-038,,"11630 Main St, Los Angeles, CA 90061",11630 S. Main Street Apartments,,parcel_in_transition,(pending),AIN not in DB
6011008052,6011-008-052,325 E FLORENCE AVE LOS ANGELES CA 90003,"321 E. Florence Ave, Los Angeles, CA ",321 E. Florence Apartments,,manual_verified,Five or more apartments,
6048022067,6048-022-067,9300 COMPTON AVE XX LOS ANGELES CA 90002,"9300 Compton Ave., Los Angeles, CA",9300 Compton Ave. Apartments,,manual_verified,Single,
5501013028,5501-013-028,209 S WESTMORELAND AVE LOS ANGELES CA 90004,"209 Westmoreland Ave, Los Angeles, CA 90004",Chadwick Apartments,,manual_verified,Five or more apartments,
2695003001,2695-003-001,,"17188 Chatsworth St., Los Angeles, CA",Chatsworth Apartments,,parcel_in_transition,(pending),AIN not in DB
8630009026,8630-009-026,18615 E ARROW HWY AZUSA CA 91722,"18615 E Arrow Hwy, Covina, CA 91722",Pacific Trails Apartments,,manual_verified,Five or more apartments,
2421011010,2421-011-010,10910 HUSTON ST LOS ANGELES CA 91601,"10910 Huston St, North Hollywood, CA 91601",Huston Affordable Housing Apartments,,manual_verified,Single,
4262018026,4262-018-026,1734 S BARRINGTON AVE LOS ANGELES CA 90025,"1734 S. Barrington Ave., Los Angeles, CA, 90025",Passo Barrington Apartments,,manual_verified,Three Units (Any Combination),
4231018020,4231-018-020,4129 S CENTINELA AVE LOS ANGELES CA 90066,"4129 Centinela Avenue, Los Angeles, CA 90066",Passo Centinela I Apartments,,manual_verified,Stores,
4221007056,4221-007-056,4706 S CENTINELA AVE LOS ANGELES CA 90066,"4706 Centinela Avenue, Los Angeles, CA 90066",Passo Centinela II Apartments,,manual_verified,Five or more apartments,
4262016011,4262-016-011,1747 STONER AVE LOS ANGELES CA 90025,"1747 Stoner Avenue, Los Angeles, CA 90025",Passo Stoner Apartments,,manual_verified,Three Units (Any Combination),
5518008009,5518-008-009,247 S ALEXANDRIA AVE LOS ANGELES CA 90004,"247 S. Alexandria Avenue, Los Angeles, CA",Alexandria I Apartments,,manual_verified,Five or more apartments,
5094021028,5094-021-028,932 IROLO ST LOS ANGELES CA 90006,"832 Irolo Street, Los Angeles, CA",Irolo Apartments,,manual_verified,Five or more apartments,
5503015016,5503-015-016,426 S MANHATTAN PL LOS ANGELES CA 90020,"426 S. Manhattan Place, Los Angeles, CA",Manhattan III Apartments,,manual_verified,Five or more apartments,
5518008014,5518-008-014,260 S MARIPOSA AVE LOS ANGELES CA 90004,"260 S. Mariposa Avenue, Los Angeles, CA",Mariposa II Apartments,,manual_verified,Five or more apartments,
5094004004,5094-004-004,739 S NORMANDIE AVE LOS ANGELES CA 90005,"739 S. Normandie Avenue, Los Angeles, CA",Normandie Apartments,,manual_verified,Five or more apartments,
5080015003,5080-015-003,960 S OXFORD AVE LOS ANGELES CA 90006,"960 S. Oxford Avenue, Los Angeles, CA",Oxford III Apartments,,manual_verified,Five or more apartments,
5503017013,5503-017-013,516 S ST ANDREWS PL LOS ANGELES CA 90020,"516 S. St. Andrews Place, Los Angeles, CA 90020",St. Andrews II Apartments,,manual_verified,Five or more apartments,
5518013024,5518-013-024,130 S ALEXANDRIA AVE LOS ANGELES CA 90004,"130 S. Alexandria Avenue, Los Angeles, CA",Alexandria II Apartments,,manual_verified,Five or more apartments,
5094006003,5094-006-003,750 S MARIPOSA AVE LOS ANGELES CA 90005,"750-752 S. Mariposa Avenue, Los Angeles, CA",Mariposa III Apartments,,manual_verified,Five or more apartments,
5517005016,5517-005-016,207 N OXFORD AVE LOS ANGELES CA 90004,"207 S. Oxford Avenue, Los Angeles, CA",Oxford II Apartments,,manual_verified,Five or more apartments,
