project_id,agency,property_name,entity,city,county,resolution,meeting_date,item_type,minutes_status,authorization_status,superseded_by,manual_status,scc_filed,scc_number,scc_issue_date,agenda_url,staff_report_url,minutes_url,investor_1,investor_2,nonprofit_partner,total_units,restricted_units,rent_restricted_pct,term_years,city_cut,grant_description,address,estimated_closing,new_build,built,acquisition_price_m,acquisition_date,link,leasing_link,row_source,field_overrides
21,CMFA,Windmere Court Apartments,Hacienda Investors LP,Los Angeles,Los Angeles,24-221,2024-06-07,authorize,approved,operative,,,True,14877,2024-09-16,https://www.cmfa-ca.com/wp-content/uploads/2024/06/CMFA-Agendas-06-07-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/06/Staff-Report-6-7-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/06/2-CMFA-Minutes-06-07-24.pdf,GHC Housing Partners,,Foundation for Affordable Housing,52,52,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)","18325 Saticoy St, Reseda, CA 91335",,,,16300000,2024-06-13,,,generated,acquisition_price_m:collaborator-sheet; acquisition_date:collaborator-sheet; address:collaborator-sheet
22,CMFA,Seville Gardens Apartments,BG Apartments Investors LP,Huntington Park,Los Angeles,24-223,2024-06-07,authorize,approved,operative,,,True,14906,2024-11-21,https://www.cmfa-ca.com/wp-content/uploads/2024/06/CMFA-Agendas-06-07-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/06/Staff-Report-6-7-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/06/2-CMFA-Minutes-06-07-24.pdf,GHC Housing Partners,,Foundation for Affordable Housing,225,225,100% at 80% AMI,20,33750.0,"Grant up to $10,000 (Charitable Affordable Housing)","2701 Randolph St., Huntington Park, CA",,,1989,,,,,generated,built:collaborator-sheet; address:collaborator-sheet
23,CMFA,Harbour Residences Apartments,"RMG Fee Avalon, LP, a California limited partnership",Los Angeles,Los Angeles,24-252,2024-07-19,authorize,,operative,,dead,,,,https://www.cmfa-ca.com/wp-content/uploads/2024/07/1-CMFA-Agenda-07-19-2024.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/07/07-19-24-CMFA-Staff-Reports.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/07/2-CMFA-Minutes-07-19-2024.docx,RMG Housing LLC,,DECRO Corporation,74,74,100% at 80% AMI,30,11100.0,"Grant up to $10,000 (Charitable Affordable Housing)",445 N Avalon Blvd,,YES,,,,,,generated,new_build:collaborator-sheet; manual_status:collaborator-sheet
24,CMFA,4209 Western Avenue Apartments,"BIF NON OZ 4209 WESTERN AVE, LP",Los Angeles,Los Angeles,24-253,2024-07-19,authorize,,operative,,,True,14952,2024-11-25,https://www.cmfa-ca.com/wp-content/uploads/2024/07/1-CMFA-Agenda-07-19-2024.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/07/07-19-24-CMFA-Staff-Reports.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/07/2-CMFA-Minutes-07-19-2024.docx,"SoLa Impact, LLC",,Housing on Merit,25,24,100% at 80% AMI,30,3600.0,"Grant up to $10,000 (Charitable Affordable Housing)","4209 S Western Ave, Los Angeles, CA 90062",,,,,,,,generated,resolution:collaborator-sheet; address:collaborator-sheet
25,CMFA,1130 Martin Luther King Jr. Blvd Apartments,"BIF NON OZ 1100 MLK BLK, LP, a California limited partnership",Los Angeles,Los Angeles,24-254,2024-07-19,authorize,,operative,,,True,14954,2024-12-02,https://www.cmfa-ca.com/wp-content/uploads/2024/07/1-CMFA-Agenda-07-19-2024.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/07/07-19-24-CMFA-Staff-Reports.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/07/2-CMFA-Minutes-07-19-2024.docx,"SoLa Impact, LLC",,Housing on Merit,29,28,100% at 80% AMI,30,4200.0,"Grant up to $10,000 (Charitable Affordable Housing)","1130 W Martin Luther King Jr Blvd, Los Angeles, CA 90037",,,,,,,,generated,address:collaborator-sheet
26,CMFA,Harbor Terrace Apartments,"Post Harbor Terrace, LP",Los Angeles,Los Angeles,24-286,2024-08-09,authorize,approved,operative,,,True,15006,2025-01-03,https://www.cmfa-ca.com/wp-content/uploads/2024/08/CMFA-Agendas-08-09-2024.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/08/CMFA-Staff-Reports-8-9-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/08/2-CMFA-Minutes-08-09-2024.pdf,Ascenda Capital,,Integrity Housing,93,93,100% at 80% AMI,30,13950.0,"Grant up to $10,000 (Charitable Affordable Housing)","441 W 3rd St, San Pedro, CA 90731",,,1987,,,,,generated,built:collaborator-sheet; address:collaborator-sheet
27,CMFA,Santa Monica Portfolio A Apartments,"GC 1422-1428 6th, LP",Santa Monica,Los Angeles,24-280,2024-08-09,authorize,approved,operative,,,True,14975,2025-01-17,https://www.cmfa-ca.com/wp-content/uploads/2024/08/CMFA-Agendas-08-09-2024.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/08/CMFA-Staff-Reports-8-9-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/08/2-CMFA-Minutes-08-09-2024.pdf,Gortikov Capital,,"Kingdom Development, Inc.",52,32,60% at 80% AMI,26,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)","1422-1428 6th St., Santa Monica, CA",,NO,1997,17170000,2024-09-12,https://www.1422on6th.com/,,generated,new_build:collaborator-sheet; built:collaborator-sheet; acquisition_price_m:collaborator-sheet; acquisition_date:collaborator-sheet; link:collaborator-sheet; total_units:collaborator-sheet; address:collaborator-sheet
28,CMFA,Santa Monica Portfolio B Apartments,"GC 1422-1432 7th, LP",Santa Monica,Los Angeles,24-281,2024-08-09,authorize,approved,operative,,,True,14977,2025-01-17,https://www.cmfa-ca.com/wp-content/uploads/2024/08/CMFA-Agendas-08-09-2024.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/08/CMFA-Staff-Reports-8-9-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/08/2-CMFA-Minutes-08-09-2024.pdf,Gortikov Capital,,"Kingdom Development, Inc.",72,49,60% at 80% AMI,26,7350.0,"Grant up to $10,000 (Charitable Affordable Housing)","1422-1432 7th, Santa Monica, CA",,,,,,,,generated,total_units:collaborator-sheet; address:collaborator-sheet
29,CMFA,Santa Monica Portfolio C Apartments,"GC 1423-1425 6th, LP",Santa Monica,Los Angeles,24-282,2024-08-09,authorize,approved,operative,,,True,14984,2025-01-23,https://www.cmfa-ca.com/wp-content/uploads/2024/08/CMFA-Agendas-08-09-2024.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/08/CMFA-Staff-Reports-8-9-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/08/2-CMFA-Minutes-08-09-2024.pdf,Gortikov Capital,,"Kingdom Development, Inc.",48,29,60% at 80% AMI,27,4350.0,"Grant up to $10,000 (Charitable Affordable Housing)","1423-1425 6th, Santa Monica, CA",,,,,,,,generated,total_units:collaborator-sheet; address:collaborator-sheet
30,CMFA,Santa Monica Portfolio D Apartments,"GC 1522 6th, LP",Santa Monica,Los Angeles,24-283,2024-08-09,authorize,approved,operative,,,True,14983,2025-01-29,https://www.cmfa-ca.com/wp-content/uploads/2024/08/CMFA-Agendas-08-09-2024.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/08/CMFA-Staff-Reports-8-9-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/08/2-CMFA-Minutes-08-09-2024.pdf,Gortikov Capital,,"Kingdom Development, Inc.",26,25,100% at 80% AMI,30,3750.0,"Grant up to $10,000 (Charitable Affordable Housing)","1522 6th St, Santa Monica, CA",,,2004,,,,,generated,built:collaborator-sheet; address:collaborator-sheet
